match_id,family,estimand,estimate,ci_low,ci_high,valid,attempted
J03WMX,primary,D1,0.15008048035076774,0.12409470602557561,0.17691471694870595,2000,2000
J03WMX,primary,D2,0.062284524197047685,0.04252224671589136,0.08383111426242648,2000,2000
J03WMX,primary,D3,0.08126479384628515,0.05960027495784606,0.10310227386053318,2000,2000
J03WMX,primary,D4,0.06130437903575778,0.03824714186907084,0.08559070827273235,2000,2000
J03WMX,primary,D5,0.046498813033035824,0.02516322388081662,0.06878419856143368,2000,2000
J03WMX,primary,D6,0.046665544091760665,0.021789724688316442,0.06969437149838714,2000,2000
J03WMX,primary,D7,0.04540715162832132,0.022113485828904943,0.0666084496063468,2000,2000
J03WMX,primary,D8,0.03468522945327571,0.011669741285121847,0.05844420512640272,2000,2000
J03WMX,primary,D9,0.06848484305625038,0.043380843880183186,0.0929598430749187,2000,2000
J03WMX,primary,D10,0.06470555635019648,0.04045138742051684,0.08988170615282427,2000,2000
J03WMX,primary,near,0.09787659946470019,0.08194823812134656,0.11461039815632514,2000,2000
J03WMX,primary,middle,0.049968971947218895,0.03228250958961644,0.06741941741947421,2000,2000
J03WMX,primary,far,0.055958542953240854,0.036299240062565026,0.07628587370912013,2000,2000
J03WMX,primary,near_minus_middle,0.047907627517481295,0.03504437709907432,0.06016103096581017,2000,2000
J03WMX,secondary,D1,0.12081342450436866,0.10145010835930535,0.14093435930269368,2000,2000
J03WMX,secondary,D2,0.07775781593698511,0.05777567442350486,0.09858328044259934,2000,2000
J03WMX,secondary,D3,0.0832544408881205,0.06276455664225136,0.10375926197073064,2000,2000
J03WMX,secondary,D4,0.07824779314319415,0.05808569390926672,0.09935101551238257,2000,2000
J03WMX,secondary,D5,0.06836739544364176,0.049149734998138905,0.08903626530514148,2000,2000
J03WMX,secondary,D6,0.06565055370341191,0.044111472100314214,0.08682791023492187,2000,2000
J03WMX,secondary,D7,0.06532932443237165,0.04413605356844684,0.08650844853489723,2000,2000
J03WMX,secondary,D8,0.06144685764543467,0.04229716540123373,0.0806889940939254,2000,2000
J03WMX,secondary,D9,0.08191067733664048,0.059641849739120664,0.1033699113763443,2000,2000
J03WMX,secondary,D10,0.07585969803251853,0.05225087934856756,0.09898704180521958,2000,2000
J03WMX,secondary,near,0.09394189377649143,0.07666167859080471,0.11173619280705743,2000,2000
J03WMX,secondary,middle,0.06939876668065487,0.05075873295915228,0.08829835899118507,2000,2000
J03WMX,secondary,far,0.07307241100486456,0.05306009380489732,0.09291929423928576,2000,2000
J03WMX,secondary,near_minus_middle,0.02454312709583656,0.01626885400766232,0.032991608244376476,2000,2000
J03WMX,trimmed,D1,0.13851974814394188,0.11377930075692079,0.16296508417580105,2000,2000
J03WMX,trimmed,D2,0.07031810346925838,0.05023801076191975,0.0928252929695285,2000,2000
J03WMX,trimmed,D3,0.08552558666887544,0.06313417156673026,0.10652750902332501,2000,2000
J03WMX,trimmed,D4,0.05900929138036595,0.03591824282387299,0.08252620970759114,2000,2000
J03WMX,trimmed,D5,0.05061140130002957,0.028766939622919128,0.07366684605433818,2000,2000
J03WMX,trimmed,D6,0.05080111168814608,0.025443098361479167,0.07487549399407206,2000,2000
J03WMX,trimmed,D7,0.051427496347986254,0.026680819868988365,0.0736437594832666,2000,2000
J03WMX,trimmed,D8,0.03842859045032937,0.014723423959993577,0.06275257798135775,2000,2000
J03WMX,trimmed,D9,0.0713123979771031,0.045002073631602836,0.0970134547967775,2000,2000
J03WMX,trimmed,D10,0.06943873170938336,0.043005296274216266,0.09706339536251618,2000,2000
J03WMX,trimmed,near,0.09812114609402522,0.08274184007049012,0.11473066629914457,2000,2000
J03WMX,trimmed,middle,0.052962325179131964,0.03435138444275216,0.07136349268070026,2000,2000
J03WMX,trimmed,far,0.05972657337893861,0.038946921048817314,0.08096936988130829,2000,2000
J03WMX,trimmed,near_minus_middle,0.04515882091489326,0.031914446691001096,0.057936203535347126,2000,2000
J03WN1,primary,D1,0.18151076932381466,0.13872482011956183,0.22255778749229382,1998,2000
J03WN1,primary,D2,0.07148309510942513,0.04260318331537243,0.10056444379119961,1998,2000
J03WN1,primary,D3,0.04821515186130326,0.020297461623696375,0.07631355533955866,1998,2000
J03WN1,primary,D4,0.039239458375863956,0.015319693424875222,0.06446918845107788,1998,2000
J03WN1,primary,D5,0.05900785058534064,0.032425087989508695,0.08678681446881817,1998,2000
J03WN1,primary,D6,0.02626575342008175,-0.002248960061183212,0.055178036690330765,1998,2000
J03WN1,primary,D7,0.031171184459731827,8.74861048320197e-05,0.06151788067266026,1998,2000
J03WN1,primary,D8,0.07663223240033978,0.040257708194868215,0.11511243302626467,1998,2000
J03WN1,primary,D9,0.045943746909562766,0.011129876442778299,0.08086039050847496,1998,2000
J03WN1,primary,D10,0.077020741031669,0.03919848418447043,0.11355549832481561,1998,2000
J03WN1,primary,near,0.10040300543151436,0.07744104812298898,0.12325040376295701,1998,2000
J03WN1,primary,middle,0.03892106171025454,0.01808445039059559,0.058739574536745366,1998,2000
J03WN1,primary,far,0.06653224011385718,0.03818199190822752,0.09512808924368654,1998,2000
J03WN1,primary,near_minus_middle,0.06148194372125981,0.03780268554492581,0.08552107063917182,1998,2000
J03WN1,secondary,D1,0.12346428388887645,0.08463977004500876,0.15959032842247853,1998,2000
J03WN1,secondary,D2,0.07201708350744428,0.0399997547952559,0.10250023156618505,1998,2000
J03WN1,secondary,D3,0.06952815260276118,0.04029724283029265,0.09886212966274806,1998,2000
J03WN1,secondary,D4,0.05547852638903805,0.0259395706648732,0.08541999199826494,1998,2000
J03WN1,secondary,D5,0.06906620562140928,0.0422979414631199,0.09576329662435853,1998,2000
J03WN1,secondary,D6,0.06012735766438598,0.028265743275113223,0.09096538896303467,1998,2000
J03WN1,secondary,D7,0.0633411244073932,0.030810689283945505,0.0961554058782717,1998,2000
J03WN1,secondary,D8,0.0798107568515605,0.0438312456315719,0.11922824105460908,1998,2000
J03WN1,secondary,D9,0.056272765288597204,0.021847197783476734,0.08778515843635837,1998,2000
