match_id,period,time_period_s,attacker_id,reason
J03WMX,2,1258.0,,possession_or_open_play
J03WMX,2,1262.0,,possession_or_open_play
J03WMX,2,1266.0,,possession_or_open_play
J03WMX,2,1270.0,,possession_or_open_play
J03WMX,2,1274.0,,possession_or_open_play
J03WMX,2,1278.0,,possession_or_open_play
J03WMX,2,1294.0,,possession_or_open_play
J03WMX,2,1314.0,,possession_or_open_play
J03WMX,2,1318.0,,possession_or_open_play
J03WMX,2,1322.0,,possession_or_open_play
J03WMX,2,1326.0,,possession_or_open_play
J03WMX,2,1398.0,,possession_or_open_play
J03WMX,2,1402.0,,possession_or_open_play
J03WMX,2,1406.0,,possession_or_open_play
J03WMX,2,1410.0,,possession_or_open_play
J03WMX,2,1526.0,,possession_or_open_play
J03WMX,2,1530.0,,possession_or_open_play
J03WMX,2,1534.0,,possession_or_open_play
J03WMX,2,1538.0,,possession_or_open_play
J03WMX,2,1542.0,,possession_or_open_play
J03WMX,2,1546.0,,possession_or_open_play
J03WMX,2,1550.0,,possession_or_open_play
J03WMX,2,1554.0,,possession_or_open_play
J03WMX,2,1658.0,,possession_or_open_play
J03WMX,2,1662.0,,possession_or_open_play
J03WMX,2,1666.0,,possession_or_open_play
J03WMX,2,1670.0,,possession_or_open_play
J03WMX,2,1714.0,,possession_or_open_play
J03WMX,2,1718.0,,possession_or_open_play
J03WMX,2,1734.0,,possession_or_open_play
J03WMX,2,1758.0,,possession_or_open_play
J03WMX,2,1798.0,,possession_or_open_play
J03WMX,2,1802.0,,possession_or_open_play
J03WMX,2,1806.0,,possession_or_open_play
J03WMX,2,1810.0,,possession_or_open_play
J03WMX,2,1814.0,,possession_or_open_play
J03WMX,2,1818.0,,possession_or_open_play
J03WMX,2,1874.0,,possession_or_open_play
J03WMX,2,1906.0,,possession_or_open_play
J03WMX,2,1910.0,,possession_or_open_play
J03WMX,2,1982.0,,possession_or_open_play
J03WMX,2,2106.0,,possession_or_open_play
J03WMX,2,2110.0,,possession_or_open_play
J03WMX,2,2114.0,,possession_or_open_play
J03WMX,2,2118.0,,possession_or_open_play
J03WMX,2,2122.0,,possession_or_open_play
J03WMX,2,2126.0,,possession_or_open_play
J03WMX,2,2130.0,,possession_or_open_play
J03WMX,2,2134.0,,possession_or_open_play
J03WMX,2,2138.0,,possession_or_open_play
J03WMX,2,2142.0,,possession_or_open_play
J03WMX,2,2146.0,,possession_or_open_play
J03WMX,2,2150.0,,possession_or_open_play
J03WMX,2,2154.0,,possession_or_open_play
J03WMX,2,2158.0,,possession_or_open_play
J03WMX,2,2162.0,,possession_or_open_play
J03WMX,2,2166.0,,possession_or_open_play
J03WMX,2,2170.0,,possession_or_open_play
J03WMX,2,2174.0,,possession_or_open_play
J03WMX,2,2178.0,,possession_or_open_play
J03WMX,2,2182.0,,possession_or_open_play
J03WMX,2,2186.0,,possession_or_open_play
J03WMX,2,2190.0,,possession_or_open_play
J03WMX,2,2194.0,,possession_or_open_play
J03WMX,2,2198.0,,possession_or_open_play
J03WMX,2,2230.0,,possession_or_open_play
J03WMX,2,2274.0,,possession_or_open_play
J03WMX,2,2290.0,,possession_or_open_play
J03WMX,2,2294.0,,possession_or_open_play
J03WMX,2,2358.0,,possession_or_open_play
J03WMX,2,2390.0,,possession_or_open_play
J03WMX,2,2394.0,,possession_or_open_play
