estimand,estimate,interval_percent,ci_low,ci_high,attempted,valid
N,0.11304215855417558,97.5,0.090885479083892856,0.13445794336435321,2000,2000
M,0.06841511342296297,97.5,0.049872673383799672,0.087502601894490079,2000,2000
F,0.065194946581651342,97.5,0.040255975130432588,0.090643098857369112,2000,2000
Delta_NM,0.044627045131212614,97.5,0.027159965294447364,0.06372641094416448,2000,2000
Delta_MF,0.003220166841311628,97.5,-0.016281356137961736,0.022607409797278002,2000,2000
Delta_NF,0.047847211972524242,97.5,0.02072574677939942,0.074695538522454683,2000,2000
