estimand,estimate,interval_percent,ci_low,ci_high,attempted,valid,rows,anchors
"[0,10)",0.17117890233009359,95,0.13489616678404706,0.20799018983728779,2000,2000,1614,866
"[10,20)",0.10943075196376995,95,0.063118804821732391,0.16996239176599517,2000,2000,3091,1042
"[20,30)",0.083047152615771863,95,0.03155023822958665,0.14459498446968591,2000,2000,3103,1039
"[30,40)",0.056274458271130839,95,-0.0042251590277976713,0.13008465164958877,2000,2000,2145,841
"[40,50)",-0.010947574455807008,95,-0.10005677586393891,0.096232489514119654,2000,2000,785,439
"[50,inf)",-0.056949368523133419,95,-0.41798842198655672,-0.0023245263787492966,2000,2000,132,94
