estimand,estimate,interval_percent,ci_low,ci_high,attempted,valid
D1,0.083450602999504978,95,0.06372173539025551,0.10273203336741532,2000,2000
D2,0.060998189696286717,95,0.04030953452973763,0.085376001896333445,2000,2000
D3,0.054167107818929819,95,0.03641838993048619,0.073370654316518666,2000,2000
D4,0.060248915798058224,95,0.041280611965819614,0.079940220462797293,2000,2000
D5,0.034661959739382596,95,0.016767858931736466,0.052868358325966751,2000,2000
D6,0.054845531960983636,95,0.036383895551980128,0.074978735342582967,2000,2000
D7,0.030402877997029953,95,0.014629001319957658,0.046909167538180495,2000,2000
D8,0.031260425456451871,95,0.014335468007431023,0.048273618169595398,2000,2000
D9,0.040374060436147247,95,0.022493972782267526,0.060504461033100032,2000,2000
D10,0.032433508353129505,95,0.011365755265478892,0.053865895007428909,2000,2000
