estimand,estimate,interval_percent,ci_low,ci_high,attempted,valid
D1,0.15889639744262279,95,0.13589268891324699,0.18211410536111725,2000,2000
D2,0.09839405413955514,95,0.075620898264060862,0.12141833252910257,2000,2000
D3,0.082524668124713915,95,0.062873461209925097,0.10410960065889466,2000,2000
D4,0.085290348292950832,95,0.064683639655404593,0.10908826175869575,2000,2000
D5,0.049632124330813862,95,0.03011584593312731,0.068813963735373032,2000,2000
D6,0.060991101810922078,95,0.03846910391337896,0.08363775745598323,2000,2000
D7,0.056021639793468317,95,0.034425390653050184,0.077376705147813002,2000,2000
D8,0.047939413023642394,95,0.022738519587848519,0.072216365462102819,2000,2000
D9,0.071417186851407702,95,0.045742373722339726,0.10114693094146036,2000,2000
D10,0.066754602075657379,95,0.03715185807661564,0.097176797704440418,2000,2000
