rank,focal_path_2s_m,focal_net_2s_m,orthogonal_2s_m,radial_2s_m,alignment_cosine,defender_absolute_2s_m,centroid_loo_2s_m
1,2.017166582439503,1.8694788778367593,0.02416542974098057,0.08958965381904815,0.21835133299552614,2.7610339580675327,2.2057302219446955
2,1.9712422000822036,1.832604193541124,-0.010663200592286204,0.004891856342341405,0.07319363889330578,2.767382217770553,2.1948691843898476
3,1.9591592335854404,1.8032189689155325,0.0023479229892785503,0.020123900601138556,0.0670444358503115,2.797028821502985,2.188760686964616
4,1.9471354933399827,1.8073009184082316,0.007983755038114299,0.06594699798371736,0.009211259298678193,2.8234554331365245,2.188210831471202
5,1.9385192726457257,1.7978115862059407,-0.02513833416117614,0.04417631554055185,-0.012803659714836359,2.8218655752360067,2.1855098679063523
6,1.9718924305104035,1.8131613575252437,-0.00037939017724314406,0.017918854553940933,-0.04514010715347623,2.840436314817257,2.1965194711452494
7,1.9634912468686054,1.8432537866710341,-0.0012030947113888524,0.06779272926350326,-0.09988028091905149,2.812531885447915,2.193457254731852
8,1.9872381984363805,1.8695710059187476,0.025684345818421755,0.11250783996526481,-0.12255654059533881,2.791594763677169,2.217301549980903
9,1.9798927820099423,1.8546263235050788,-0.06271621215341067,0.13934402652269393,-0.16201944461316087,2.802503434659002,2.209547285347422
10,2.0382944667119847,1.8953015055394242,0.005470516131018382,0.21677786292734852,-0.21055891870467347,2.657350764219888,2.2286905462144846
