estimand,estimate,interval_percent,ci_low,ci_high,attempted,valid
D1,0.16245049919552698,97.5,0.13056440200292185,0.19735217567884258,2000,2000
D2,0.05291871752464614,97.5,0.021790268738699117,0.08840707358584177,2000,2000
D3,0.03583809006494827,97.5,0.00943623989727925,0.06213176807529755,2000,2000
D4,0.01962325345583341,97.5,-0.009176901574657406,0.0518114125731992,2000,2000
D5,-0.01024852192980391,97.5,-0.03549935330513557,0.01306301652951679,2000,2000
D6,-0.014819205619431461,97.5,-0.0433503915484616,0.014459812637960688,2000,2000
D7,-0.04386030277268806,97.5,-0.06815871313331935,-0.01978068661915208,2000,2000
D8,-0.048579538537285,97.5,-0.07788437818279018,-0.018741972048419445,2000,2000
D9,-0.06471286490001765,97.5,-0.10404353663260307,-0.03148900565378674,2000,2000
D10,-0.08441733531838905,97.5,-0.1210882097469218,-0.05093545265492568,2000,2000
