estimand,estimate,ci_low,ci_high,valid,attempted
D1,0.11129297964429993,0.04028343053667042,0.2019055727734365,2000,2000
D2,0.12531919407182515,0.050926453981688186,0.19244790290629257,2000,2000
D3,0.04622663553085071,-0.01044130415298546,0.12248335279454407,2000,2000
D4,0.04628873416340734,0.0016673465374513613,0.08796562813911185,2000,2000
D5,0.041644938607743764,0.010317467981343274,0.06862740487598716,2000,2000
D6,0.04262005427946121,0.0013079427278993951,0.07942414455778189,2000,2000
D7,0.068047544861025,-0.003208180562670242,0.13989571561118727,2000,2000
D8,0.07374132306504377,-0.021942225638488792,0.1711108764134802,2000,2000
D9,0.06610105843650703,0.03190034169295558,0.10107569195841794,2000,2000
D10,0.07410630562119219,0.017752418462146664,0.1240165955522571,2000,2000
near,0.09427960308232526,0.05677088523877551,0.13585286987790388,2000,2000
middle,0.04965031797790932,0.018598387504418463,0.07631684811465354,2000,2000
far,0.07131622904091434,0.029684006138187276,0.10826787216787863,2000,2000
near_minus_middle,0.04462928510441594,0.021508055387816902,0.07848019552944444,2000,2000
