estimand,estimate,ci_low,ci_high,valid,attempted
D1,0.1184545337829574,0.0707407099685675,0.17766086733972566,2000,2000
D2,0.10889979918516471,0.04724364253744135,0.16906192410539633,2000,2000
D3,0.04717837018183357,-0.006616701402155387,0.11617548452590437,2000,2000
D4,0.05993076951113985,0.021271930385528156,0.09994383229647444,2000,2000
D5,0.03893112527226639,0.009407372344146375,0.06917788808119185,2000,2000
D6,0.04239757839811592,0.0010227701147389305,0.08477284419728703,2000,2000
D7,0.07494489631030751,0.016825392210601572,0.14270097665837692,2000,2000
D8,0.07401343790599466,0.008045636609294308,0.13232453622041673,2000,2000
D9,0.07964223544739356,0.052302064848040085,0.10618685185319372,2000,2000
D10,0.08872977642374635,0.043222329824982,0.13419863430876602,2000,2000
near,0.09151090104998523,0.05245522390660009,0.13813814791302287,2000,2000
middle,0.05405109237295742,0.021192533137440135,0.08907061798573633,2000,2000
far,0.08079514992571152,0.041509438391322394,0.1139040624778859,2000,2000
near_minus_middle,0.03745980867702781,0.023252005456987922,0.05493475128404108,2000,2000
