estimand,estimate,ci_low,ci_high,valid,attempted
D1,0.11350075467406764,0.04151514001900458,0.20475418309842652,2000,2000
D2,0.12724823546057545,0.06978655426252585,0.17486332612048436,2000,2000
D3,0.05445176101779925,-0.0067068189993383445,0.13989441265481442,2000,2000
D4,0.05342266265355791,0.0031295270990927943,0.10398810684590136,2000,2000
D5,0.044176815551365545,0.01750469062360289,0.06769575949217307,2000,2000
D6,0.045870487648214914,-0.0006678333182292881,0.08410143545528857,2000,2000
D7,0.07578028181642313,0.0036700750917176227,0.15074463286516634,2000,2000
D8,0.05607560876645573,-0.03178997853150386,0.13441811528369454,2000,2000
D9,0.06645757801764646,0.01932347882501304,0.11777992517753283,2000,2000
D10,0.06589602479328746,0.006580950152065462,0.1215902377002073,2000,2000
near,0.09840025038414746,0.06224857601474619,0.14130145871215116,2000,2000
middle,0.054812561917390375,0.02561654827803128,0.07906991377404396,2000,2000
far,0.06280973719246322,0.02604361397327215,0.09486853965347865,2000,2000
near_minus_middle,0.043587688466757084,0.011459235227908569,0.08603071111035852,2000,2000
