context,estimate,ci_low,ci_high,valid
attacker_minus_unit_goalward_m,-0.010174716018533505,-0.011804976680680647,-0.008498557614481525,2000
attacker_ball_distance_start_m,-0.007569877474425608,-0.008864311549472804,-0.006244614357055032,2000
