context,coefficient_m_per_m,change_in_Y_per_10_m,predictor_p10_m,predictor_p90_m,predictor_p10_to_p90_span_m,change_in_Y_across_p10_to_p90_m
attacker_minus_unit_goalward_m,-0.010161084482222832,-0.10161084482222832,-21.631999914646148,10.306028624432427,31.938028539078573,-0.3245250061812212
attacker_ball_distance_start_m,-0.0075334263786825395,-0.0753342637868254,9.434473996053704,47.37967285601962,37.94519885996591,-0.28585736203602186
