match_id,eligible_rows,unique_anchors,periods,occupied_60_second_blocks,attacker_minus_unit_goalward_m_min_m,attacker_minus_unit_goalward_m_p10_m,attacker_minus_unit_goalward_m_p90_m,attacker_minus_unit_goalward_m_max_m,attacker_ball_distance_start_m_min_m,attacker_ball_distance_start_m_p10_m,attacker_ball_distance_start_m_p90_m,attacker_ball_distance_start_m_max_m
J03WMX,10850,1206,"1,2",97,-41.53171461735453,-22.221114365884237,10.784585477965221,40.13771394453943,0.03867689719718706,9.423242253114802,47.790166891071884,79.68788228057412
J03WN1,4268,523,"1,2",81,-34.05471399341311,-19.556399857827593,9.525942939860483,33.07585714203971,0.08662610356874811,9.089297617355623,43.3200281627623,66.44940081886224
J03WOH,9853,1095,"1,2",92,-39.07014299120222,-22.033400018896376,11.828342971631479,44.78457153609821,0.13183160515255285,10.037007969600436,48.503351464715045,76.49081719766077
J03WOY,10097,1122,"1,2",95,-50.06914301599775,-21.762485880851745,10.625142834058828,47.911142324842515,0.2339546234035865,9.78627140807859,49.09065905624669,80.9425962214663
J03WPY,10913,1213,"1,2",98,-61.01414352703307,-20.946799914836884,9.558857203892298,34.986713657661205,0.1451946861328993,9.987927711895038,47.31036576587533,76.12814331302353
J03WQQ,8682,988,"1,2",94,-51.17999989305224,-21.896857265233994,9.219714429208217,35.86228563444955,0.2445904733785926,7.671477407802875,45.661223810283055,81.22608178793797
J03WR9,10142,1127,"1,2",93,-42.649713984557565,-21.89662855181311,10.012585644721982,30.91128628520029,0.1543721167270791,9.536651076313884,47.047336304853,75.23727760951057
