match_id,family,estimand,estimate,ci_low,ci_high,attempted,valid
J03WMX,primary,D1,0.1643388708597105,0.14558377352181076,0.18410183242024647,2000,2000
J03WMX,primary,D2,0.11272933949836075,0.09450829490330179,0.1314368895851124,2000,2000
J03WMX,primary,D3,0.10172951252602551,0.08293124825418847,0.12141777077793002,2000,2000
J03WMX,primary,D4,0.0750488548008964,0.05846966344231435,0.0924468840918372,2000,2000
J03WMX,primary,D5,0.06986795817566623,0.050828431464122546,0.08988499908026923,2000,2000
J03WMX,primary,D6,0.057940311302841725,0.04175653425784878,0.07653523389626403,2000,2000
J03WMX,primary,D7,0.04983857258603222,0.03362085233170876,0.06628034783779586,2000,2000
J03WMX,primary,D8,0.0429440052129777,0.026182546728607207,0.06035382227807611,2000,2000
J03WMX,primary,D9,0.027922915228520535,0.008219411005418028,0.048319625958070975,2000,2000
J03WMX,primary,D10,0.0336525300062543,0.012926301031422486,0.055513721932700905,2000,2000
J03WMX,primary,near,0.12626590762803228,0.11104972047797897,0.14218717260515887,2000,2000
J03WMX,primary,middle,0.06317392421635915,0.05018450746048214,0.07733909928249685,2000,2000
J03WMX,primary,far,0.03483981681591751,0.020655671251140515,0.05022952479818941,2000,2000
J03WMX,primary,near_minus_middle,0.06309198341167313,0.04993495744014126,0.07629378218054875,2000,2000
J03WMX,primary,middle_minus_far,0.028334107400441635,0.013434614311970657,0.043732384915425485,2000,2000
J03WMX,placebo,D1,0.11216288144707287,0.09560933812967957,0.12888057660611327,2000,2000
J03WMX,placebo,D2,0.08521381944517012,0.07134065503068927,0.09934094969109046,2000,2000
J03WMX,placebo,D3,0.06196374829737609,0.04562242302971557,0.07835011190950805,2000,2000
J03WMX,placebo,D4,0.06121541908970709,0.04531432522871396,0.07673829549101907,2000,2000
J03WMX,placebo,D5,0.04877600826241688,0.03316003449923309,0.06402677061658378,2000,2000
J03WMX,placebo,D6,0.041544344288779865,0.027970314816459885,0.05619857405663891,2000,2000
J03WMX,placebo,D7,0.041246183064431105,0.028286913917173626,0.05377760638051941,2000,2000
J03WMX,placebo,D8,0.043156895026509275,0.026553433294867698,0.05928106346155948,2000,2000
J03WMX,placebo,D9,0.028517171349076952,0.011314658128149531,0.04690132148784442,2000,2000
J03WMX,placebo,D10,0.03407017208882711,0.01603496835351348,0.05262048276927286,2000,2000
J03WMX,placebo,near,0.08644681639653969,0.0733784666020423,0.09952758763965416,2000,2000
J03WMX,placebo,middle,0.048195488676333734,0.03755158148017735,0.058859170170416024,2000,2000
J03WMX,placebo,far,0.035248079488137775,0.02143401223869264,0.04947625290728544,2000,2000
J03WMX,placebo,near_minus_middle,0.03825132772020595,0.029152486296981167,0.048184403650563284,2000,2000
J03WMX,placebo,middle_minus_far,0.012947409188195959,0.0025707900043060268,0.022963734532783286,2000,2000
J03WMX,one,D1,0.08795455655857357,0.07783936684961594,0.09903650719192893,2000,2000
J03WMX,one,D2,0.05783682293753575,0.04783238990367322,0.06798733110537496,2000,2000
J03WMX,one,D3,0.05022672503056023,0.04023115628683383,0.060423584107048144,2000,2000
J03WMX,one,D4,0.03530794107683289,0.027127857109754867,0.044127476842814914,2000,2000
J03WMX,one,D5,0.030641966289344045,0.021023101063412836,0.04113902748132558,2000,2000
J03WMX,one,D6,0.0284735517451588,0.01968553194132449,0.03801639369641363,2000,2000
J03WMX,one,D7,0.021940151453082115,0.01375211205113338,0.030320879265300332,2000,2000
J03WMX,one,D8,0.01838896154808844,0.009756519899527081,0.027474052865944308,2000,2000
J03WMX,one,D9,0.012908757644250798,0.002067562936777427,0.024186371757352082,2000,2000
J03WMX,one,D10,0.01612244251588745,0.005235619931086314,0.027400756353625027,2000,2000
J03WMX,one,near,0.06533936817555651,0.057446290204569365,0.07416603537773378,2000,2000
J03WMX,one,middle,0.029090902641104463,0.02276909103905233,0.03595220261221058,2000,2000
J03WMX,one,far,0.0158067205694089,0.00791272858270879,0.02412431633957973,2000,2000
J03WMX,one,near_minus_middle,0.036248465534452046,0.029168562961564275,0.043509390893439026,2000,2000
J03WMX,one,middle_minus_far,0.013284182071695565,0.005093621990761005,0.021728639620174017,2000,2000
J03WMX,trim,D1,0.1620001108733979,0.14187688901310896,0.18101976054613134,2000,2000
J03WMX,trim,D2,0.11837521504293988,0.10047871405979343,0.13732033786911907,2000,2000
J03WMX,trim,D3,0.10870265351794849,0.08720253367567958,0.13136948066387516,2000,2000
J03WMX,trim,D4,0.08606960017610801,0.06814972037888556,0.10442224013000005,2000,2000
J03WMX,trim,D5,0.07970217210003504,0.060375378427147616,0.10008725818484972,2000,2000
J03WMX,trim,D6,0.06757550275954967,0.04924614066191646,0.0875855450684694,2000,2000
J03WMX,trim,D7,0.05890177274077958,0.04169846900607981,0.076712810025539,2000,2000
J03WMX,trim,D8,0.055129296395401324,0.036405298896259625,0.07348971517908232,2000,2000
J03WMX,trim,D9,0.03992002324762237,0.020465893704843294,0.0607418250728847,2000,2000
J03WMX,trim,D10,0.041763700914566264,0.020121597177643728,0.06413332745748397,2000,2000
J03WMX,trim,near,0.12969265981142877,0.11395967528216384,0.14599241888659373,2000,2000
J03WMX,trim,middle,0.07306226194411806,0.05901023262199665,0.08814518360790115,2000,2000
J03WMX,trim,far,0.04560434018586332,0.030621598764894606,0.0618088619945234,2000,2000
J03WMX,trim,near_minus_middle,0.05663039786731071,0.04315732319210055,0.07006751868753539,2000,2000
J03WMX,trim,middle_minus_far,0.027457921758254747,0.011458909357306209,0.04454734928646191,2000,2000
J03WMX,four,D1,0.28629867140766496,0.25027041771337455,0.32120624329749764,2000,2000
J03WMX,four,D2,0.20631917330395125,0.17322828128539824,0.2394704736459978,2000,2000
J03WMX,four,D3,0.18458476350461628,0.1504497974755809,0.217608306906704,2000,2000
J03WMX,four,D4,0.14668131839300388,0.11432242060188855,0.17939472777271545,2000,2000
J03WMX,four,D5,0.1474336026494566,0.11442714351409759,0.1794458071629888,2000,2000
J03WMX,four,D6,0.11468183089985359,0.08142953383736028,0.14648991970147598,2000,2000
J03WMX,four,D7,0.10845961277497046,0.07725689670095738,0.13893448940506065,2000,2000
J03WMX,four,D8,0.08819357932670763,0.05650859825925446,0.11961728136000774,2000,2000
J03WMX,four,D9,0.05919886403057673,0.02748207019176642,0.09229414279610867,2000,2000
J03WMX,four,D10,0.07125401820395776,0.03517328120062146,0.10901598374791353,2000,2000
J03WMX,four,near,0.22573420273874414,0.1977628653051186,0.2533833498591421,2000,2000
J03WMX,four,middle,0.12931409117932113,0.10404800813211304,0.15323519683766307,2000,2000
J03WMX,four,far,0.07288215385374737,0.04685878256774124,0.10015128535554602,2000,2000
J03WMX,four,near_minus_middle,0.09642011155942301,0.07480436347946974,0.1194883092569628,2000,2000
J03WMX,four,middle_minus_far,0.056431937325573764,0.030769128831664112,0.080888601617474,2000,2000
J03WMX,paired_primary_minus_placebo,near_minus_middle,0.02484065569146718,0.01432952791799052,0.03586153989446539,2000,2000
J03WN1,primary,D1,0.18349433692547798,0.15252072202101302,0.2133351630956049,2000,2000
J03WN1,primary,D2,0.13465886850009348,0.10149729488134479,0.16762387117779562,2000,2000
J03WN1,primary,D3,0.08955002126036345,0.058254184265616675,0.12292090013730586,2000,2000
J03WN1,primary,D4,0.06486090339396934,0.037964959488936106,0.09267783614219574,2000,2000
J03WN1,primary,D5,0.07102590782278574,0.042200120501735675,0.10008702561766739,2000,2000
J03WN1,primary,D6,0.03209855686148919,-0.00029855766647207135,0.06531692711542048,2000,2000
J03WN1,primary,D7,0.05026340482078686,0.018501070788884907,0.08051093539842848,2000,2000
J03WN1,primary,D8,0.06443507701818531,0.033910088905095566,0.09602629400801133,2000,2000
J03WN1,primary,D9,0.04869036246518843,0.02110124204431992,0.07480839082444575,2000,2000
J03WN1,primary,D10,0.05698479931537712,0.0175332615062758,0.09566045749036627,2000,2000
J03WN1,primary,near,0.1359010755619783,0.11034724058302922,0.1626788300167136,2000,2000
J03WN1,primary,middle,0.054562193224757784,0.03270786848491708,0.07598025977238616,2000,2000
J03WN1,primary,far,0.056703412932916954,0.03163426811869338,0.08152857822185819,2000,2000
J03WN1,primary,near_minus_middle,0.08133888233722053,0.060178076027369534,0.10253960700170145,2000,2000
J03WN1,primary,middle_minus_far,-0.00214121970815917,-0.01855604021960069,0.013922692164716406,2000,2000
J03WN1,placebo,D1,0.098462917324364,0.07494899109606062,0.12190261076753414,2000,2000
J03WN1,placebo,D2,0.08452028187940265,0.05947192662491748,0.11110118307868216,2000,2000
J03WN1,placebo,D3,0.053159883351055086,0.027469245095168363,0.0795425558270759,2000,2000
J03WN1,placebo,D4,0.06264398569222396,0.03697799919698469,0.0878032931581916,2000,2000
J03WN1,placebo,D5,0.03915097151872556,0.013274979482978233,0.06529926098098125,2000,2000
J03WN1,placebo,D6,0.06199880713063238,0.042820762933658,0.08264536846547009,2000,2000
J03WN1,placebo,D7,0.03228150827182721,0.008050114957109658,0.05402841517724505,2000,2000
J03WN1,placebo,D8,0.04845941386720602,0.022584645248494014,0.07174257497584764,2000,2000
J03WN1,placebo,D9,0.03515007394807834,0.004809573214902111,0.06582984425517201,2000,2000
J03WN1,placebo,D10,0.06998951926480476,0.03497733313111182,0.10735785620998443,2000,2000
J03WN1,placebo,near,0.07871436085160725,0.058597619330614074,0.09932313350758927,2000,2000
J03WN1,placebo,middle,0.04901881815335228,0.03166445080700892,0.06637537929179592,2000,2000
J03WN1,placebo,far,0.05119966902669637,0.025872216835525545,0.07477427581596466,2000,2000
J03WN1,placebo,near_minus_middle,0.029695542698254973,0.01539539207218659,0.045191965994778975,2000,2000
J03WN1,placebo,middle_minus_far,-0.0021808508733440896,-0.02413786875295257,0.02053146726634677,2000,2000
J03WN1,one,D1,0.09455769835071459,0.07705745662091244,0.11094645576284044,2000,2000
J03WN1,one,D2,0.06963547118217592,0.05104863326300824,0.0896874544441331,2000,2000
J03WN1,one,D3,0.04106425566871044,0.024175783884240087,0.05861236211578008,2000,2000
J03WN1,one,D4,0.033816956359493604,0.019810689327820714,0.04902992328718467,2000,2000
J03WN1,one,D5,0.029198564788939185,0.014916799862866516,0.04417870629881664,2000,2000
J03WN1,one,D6,0.013557483014877327,-0.003431335661200898,0.030934515450224152,2000,2000
J03WN1,one,D7,0.024546351648176017,0.007110039644452193,0.039904287554386936,2000,2000
J03WN1,one,D8,0.032784481867572234,0.01753671140295841,0.048700948101724886,2000,2000
J03WN1,one,D9,0.02505952837197379,0.01062139193305368,0.03872998336755491,2000,2000
J03WN1,one,D10,0.035363116602341434,0.014406224131385348,0.054832853792848996,2000,2000
J03WN1,one,near,0.06841914173386698,0.05439507416848034,0.08326855247602748,2000,2000
J03WN1,one,middle,0.025279838952871534,0.012964730297729803,0.03692354565088436,2000,2000
J03WN1,one,far,0.03106904228062915,0.018400539371702076,0.043451127955365765,2000,2000
J03WN1,one,near_minus_middle,0.04313930278099545,0.032098420815963674,0.05353636242869239,2000,2000
J03WN1,one,middle_minus_far,-0.005789203327757616,-0.014455619412864421,0.0027979146271616935,2000,2000
J03WN1,trim,D1,0.19124911077470164,0.15800008780467675,0.2238685094709895,2000,2000
J03WN1,trim,D2,0.1428414145795171,0.10351019431383265,0.18130641478948556,2000,2000
J03WN1,trim,D3,0.10162131406694308,0.06607319222796205,0.13880281470028843,2000,2000
J03WN1,trim,D4,0.0801414237830386,0.04951618396929532,0.11075407663129841,2000,2000
J03WN1,trim,D5,0.08391149900183657,0.05310825648322054,0.1157353124850931,2000,2000
J03WN1,trim,D6,0.05542039983282024,0.022754670501901244,0.08705006966611249,2000,2000
J03WN1,trim,D7,0.06111074803764602,0.029482349869545652,0.09140134717418788,2000,2000
J03WN1,trim,D8,0.08432808490411316,0.05025809977171047,0.1195781339892173,2000,2000
J03WN1,trim,D9,0.05938859788555764,0.026567855131164934,0.09181545145614767,2000,2000
J03WN1,trim,D10,0.07893886071211915,0.034298233525688566,0.12231735391926529,2000,2000
J03WN1,trim,near,0.14523727980705395,0.11648647740159056,0.17625690618101833,2000,2000
J03WN1,trim,middle,0.07014601766383535,0.0486250580219785,0.09265856968967098,2000,2000
J03WN1,trim,far,0.07421851450059665,0.04580454689716207,0.10257573765024021,2000,2000
J03WN1,trim,near_minus_middle,0.0750912621432186,0.05203326085003146,0.09877583779380379,2000,2000
J03WN1,trim,middle_minus_far,-0.004072496836761294,-0.022619358042703902,0.016344773114592002,2000,2000
J03WN1,four,D1,0.31101916592017587,0.26167348871971163,0.35912966811485186,2000,2000
J03WN1,four,D2,0.21557403896949687,0.15961921866443302,0.27146671690706264,2000,2000
J03WN1,four,D3,0.18349711776668845,0.1391052724276073,0.23146366966474002,2000,2000
J03WN1,four,D4,0.13231905236121547,0.08975160933818314,0.172117065330359,2000,2000
J03WN1,four,D5,0.15875980967782938,0.11203111237087655,0.20552576688322952,2000,2000
J03WN1,four,D6,0.06401052165439694,0.014114481929885153,0.11299276419096968,2000,2000
J03WN1,four,D7,0.10676660114106201,0.05421693083027412,0.15577413383323127,2000,2000
J03WN1,four,D8,0.12536324930587311,0.07001790908989614,0.17802206245052482,2000,2000
J03WN1,four,D9,0.09601306535691871,0.0512359610232446,0.1325915123720528,2000,2000
J03WN1,four,D10,0.10304937514764645,0.043628789563062854,0.164310029725826,2000,2000
J03WN1,four,near,0.23669677421878707,0.19859536871607386,0.27683879414941714,2000,2000
J03WN1,four,middle,0.11546399620862595,0.08311632963804891,0.14587447333187567,2000,2000
J03WN1,four,far,0.10814189660347943,0.06608765843817528,0.1454597236110886,2000,2000
J03WN1,four,near_minus_middle,0.12123277801016112,0.08376079826268479,0.15985720361566133,2000,2000
J03WN1,four,middle_minus_far,0.007322099605146515,-0.02147847645439968,0.037592078155490594,2000,2000
J03WN1,paired_primary_minus_placebo,near_minus_middle,0.05164333963896556,0.032060960918077926,0.06995325600190118,2000,2000
J03WOH,primary,D1,0.1607801571895491,0.13666339802140148,0.1869675990820451,2000,2000
J03WOH,primary,D2,0.11396795120671212,0.08981723147629506,0.13820500939778835,2000,2000
J03WOH,primary,D3,0.09214644847643057,0.07123894239738132,0.11299249563680576,2000,2000
J03WOH,primary,D4,0.06964601690241938,0.051754786372560174,0.08862205324715652,2000,2000
J03WOH,primary,D5,0.06931344821355037,0.05082975035316017,0.08846934643271513,2000,2000
J03WOH,primary,D6,0.055923601694127106,0.039100958006775016,0.07346662597944233,2000,2000
J03WOH,primary,D7,0.05059315112929282,0.031246512002716612,0.06985457065371381,2000,2000
J03WOH,primary,D8,0.06327048205894469,0.04508099160775572,0.08283655723635083,2000,2000
J03WOH,primary,D9,0.052510366639857746,0.03174404221194704,0.07235507803983192,2000,2000
J03WOH,primary,D10,0.04090458931685857,0.018573823937760227,0.061538944406873505,2000,2000
J03WOH,primary,near,0.1222981856242306,0.10229754092886692,0.1416705736376249,2000,2000
J03WOH,primary,middle,0.06136905448484742,0.04747416745621177,0.07507217678690255,2000,2000
J03WOH,primary,far,0.05222847933855366,0.036126650906887506,0.06778685312714078,2000,2000
J03WOH,primary,near_minus_middle,0.06092913113938318,0.0465532845715297,0.0750031212682381,2000,2000
J03WOH,primary,middle_minus_far,0.00914057514629376,-0.00399630301594437,0.021615882758137885,2000,2000
J03WOH,placebo,D1,0.09147442561401303,0.0703508715643563,0.11258776618827732,2000,2000
J03WOH,placebo,D2,0.07188408399452755,0.0525593022125481,0.09171158753515288,2000,2000
J03WOH,placebo,D3,0.054742557235075075,0.03836410849549735,0.07166595576906017,2000,2000
J03WOH,placebo,D4,0.04957387909313734,0.03163053748651005,0.06765114608516469,2000,2000
J03WOH,placebo,D5,0.04540143996181716,0.028404488043399744,0.06297420225388614,2000,2000
J03WOH,placebo,D6,0.03685104620834488,0.021013447756826092,0.053035615172951696,2000,2000
J03WOH,placebo,D7,0.032868165398384386,0.01436394368487148,0.05132971265546955,2000,2000
J03WOH,placebo,D8,0.0514900109398392,0.03439658371777193,0.0683504743315945,2000,2000
J03WOH,placebo,D9,0.04006849915594077,0.023950038423620715,0.05597121757241788,2000,2000
J03WOH,placebo,D10,0.04678986948681453,0.029124943126853972,0.0637089242035845,2000,2000
J03WOH,placebo,near,0.07270035561453855,0.055667695895430136,0.08979148468770028,2000,2000
J03WOH,placebo,middle,0.04117363266542094,0.027259352160791585,0.055295340839521256,2000,2000
J03WOH,placebo,far,0.0461161265275315,0.03313341774016438,0.05920089357900645,2000,2000
J03WOH,placebo,near_minus_middle,0.03152672294911761,0.020535683674168546,0.043581550246917504,2000,2000
J03WOH,placebo,middle_minus_far,-0.004942493862110556,-0.017188036134988083,0.006805655958741877,2000,2000
J03WOH,one,D1,0.0840430453060778,0.07164333704922432,0.09751020004707232,2000,2000
J03WOH,one,D2,0.05714886212523075,0.044803931302259604,0.06986586940917042,2000,2000
J03WOH,one,D3,0.045433188072809376,0.035083935521987936,0.05625035750086763,2000,2000
J03WOH,one,D4,0.03531032018295771,0.025051714108878922,0.04574684530718311,2000,2000
J03WOH,one,D5,0.03140981285518107,0.02143586686976189,0.041133664791743824,2000,2000
J03WOH,one,D6,0.025172882062224185,0.016289807762087733,0.03423241362671832,2000,2000
J03WOH,one,D7,0.021123363728352863,0.011025897260548338,0.03127943769477187,2000,2000
J03WOH,one,D8,0.029502086687241955,0.019488660561645648,0.040363105354845226,2000,2000
J03WOH,one,D9,0.024138315413746312,0.012990242976421302,0.03494600105905529,2000,2000
J03WOH,one,D10,0.01817071201043793,0.007072576372530149,0.028654767268295436,2000,2000
J03WOH,one,near,0.06220836516803931,0.05195558567547797,0.07233539849188958,2000,2000
J03WOH,one,middle,0.028254094707178955,0.02109127198499967,0.03561657769504741,2000,2000
J03WOH,one,far,0.023937038037142064,0.015534929850420869,0.032381863018215544,2000,2000
J03WOH,one,near_minus_middle,0.03395427046086036,0.026696391979369155,0.04147831744059144,2000,2000
J03WOH,one,middle_minus_far,0.00431705667003689,-0.0027629546701236243,0.01114237680051031,2000,2000
J03WOH,trim,D1,0.16514095519892935,0.13780605556364953,0.19332473383564006,2000,2000
J03WOH,trim,D2,0.12475522573665469,0.10078649117725995,0.14857335421078213,2000,2000
J03WOH,trim,D3,0.10402082459524374,0.08285863514561814,0.1255056527495605,2000,2000
J03WOH,trim,D4,0.08154354410807298,0.061448192853385625,0.10071649986464215,2000,2000
J03WOH,trim,D5,0.08014152967450974,0.059553530857350295,0.10011302731893475,2000,2000
J03WOH,trim,D6,0.06304995721418978,0.04416752020854441,0.08209767362081578,2000,2000
J03WOH,trim,D7,0.0605307199465145,0.04001716053635685,0.08073286915862812,2000,2000
J03WOH,trim,D8,0.07224182475417945,0.05312371291271439,0.09256199317702679,2000,2000
J03WOH,trim,D9,0.06504873062426789,0.043455124766255904,0.0858126764314385,2000,2000
J03WOH,trim,D10,0.05242801130984477,0.029577096017106404,0.0747443987801315,2000,2000
J03WOH,trim,near,0.13130566851027595,0.11049333401091126,0.15136072393423522,2000,2000
J03WOH,trim,middle,0.07131643773582175,0.05639094769987262,0.08560496230125621,2000,2000
J03WOH,trim,far,0.0632395222294307,0.04610211638132086,0.0801106177165436,2000,2000
J03WOH,trim,near_minus_middle,0.0599892307744542,0.04434719630158638,0.07531169956930182,2000,2000
J03WOH,trim,middle_minus_far,0.008076915506391044,-0.006210415761636279,0.02212760385627819,2000,2000
J03WOH,four,D1,0.2803191083288021,0.23619883142660017,0.32538111667641595,2000,2000
J03WOH,four,D2,0.21489786063430222,0.17134900688210858,0.25962243023091486,2000,2000
J03WOH,four,D3,0.1828806009695867,0.14227087620213358,0.2228920537483199,2000,2000
J03WOH,four,D4,0.14566462956495624,0.11110322606479173,0.18092237895829402,2000,2000
J03WOH,four,D5,0.14398131844995435,0.10902181992552602,0.1799414790110224,2000,2000
J03WOH,four,D6,0.11352071987925877,0.08128173674753318,0.14745269651086151,2000,2000
J03WOH,four,D7,0.1203189712115979,0.07957149635473801,0.15878352388032263,2000,2000
J03WOH,four,D8,0.12461722104498077,0.09181756714313463,0.1585041875279193,2000,2000
J03WOH,four,D9,0.09188161583093835,0.055227871270228525,0.1279705528791991,2000,2000
J03WOH,four,D10,0.09388843281140874,0.052642646352914026,0.13301314718570276,2000,2000
J03WOH,four,near,0.226032523310897,0.18967777282728226,0.26175707189152925,2000,2000
J03WOH,four,middle,0.13087140977644182,0.10207181261830654,0.1591772027093192,2000,2000
J03WOH,four,far,0.1034624232291093,0.07410452354829589,0.1319321812424816,2000,2000
J03WOH,four,near_minus_middle,0.09516111353445517,0.0708729807421063,0.11855730928370181,2000,2000
J03WOH,four,middle_minus_far,0.027408986547332523,0.002790274977405504,0.05143085120196068,2000,2000
J03WOH,paired_primary_minus_placebo,near_minus_middle,0.029402408190265572,0.014241216788902259,0.043785854012235156,2000,2000
J03WOY,primary,D1,0.14200543360862677,0.11068110101194857,0.17386275111423402,2000,2000
J03WOY,primary,D2,0.08959338535202092,0.06539454174087178,0.11402974682865978,2000,2000
J03WOY,primary,D3,0.06868269616831608,0.04703631319952813,0.09292378451093276,2000,2000
J03WOY,primary,D4,0.06112444543026165,0.04071392456798273,0.08370149505136927,2000,2000
J03WOY,primary,D5,0.04548056875006151,0.026678257293973603,0.06598116661889439,2000,2000
J03WOY,primary,D6,0.04138383729454561,0.02309067010791139,0.06047420141829087,2000,2000
J03WOY,primary,D7,0.034303764464796466,0.014649273740416082,0.05587921717531381,2000,2000
J03WOY,primary,D8,0.033367531969126334,0.012802857154580152,0.05492066445123663,2000,2000
J03WOY,primary,D9,0.03716083430269325,0.016754727173700537,0.06001026461275011,2000,2000
J03WOY,primary,D10,0.04154589799374731,0.01988484807800353,0.06430814962708896,2000,2000
J03WOY,primary,near,0.10009383837632126,0.07627392336240257,0.12418641998798813,2000,2000
J03WOY,primary,middle,0.04557315398491631,0.028620591568282186,0.06304343360870854,2000,2000
J03WOY,primary,far,0.03735808808852229,0.019397488174923868,0.057031518849840236,2000,2000
J03WOY,primary,near_minus_middle,0.05452068439140494,0.04105414174174791,0.06844187852304413,2000,2000
J03WOY,primary,middle_minus_far,0.008215065896394022,-0.0034358531779991814,0.020446231649747872,2000,2000
J03WOY,placebo,D1,0.1005104906543466,0.07945751294019081,0.12058636704367699,2000,2000
J03WOY,placebo,D2,0.07120469888470343,0.055104766743960414,0.08720816278231079,2000,2000
J03WOY,placebo,D3,0.05470773473122041,0.03786752874809645,0.07116186591143175,2000,2000
J03WOY,placebo,D4,0.0457250931147811,0.030741621202845827,0.06084238867158525,2000,2000
J03WOY,placebo,D5,0.036984144921059725,0.02360852308962131,0.051692025285987694,2000,2000
J03WOY,placebo,D6,0.03606022449111948,0.021505927083648138,0.05163735371971194,2000,2000
