provider,frames_requested,canonical_frames,unravelsports_frames,canonical_rows,canonical_coordinate_valid_rows,unravelsports_rows,shared_rows,unravelsports_null_xy_rows,raw_max_shared_coordinate_difference_m,axis_sign_to_canonical_x,axis_sign_to_canonical_y,aligned_max_shared_coordinate_difference_m,coordinate_tolerance_m,shared_coordinates_pass_after_explicit_axis_mapping,unravelsports_schema,unravelsports_orientation,warnings,possession_inferred,row_membership_equivalent,support_semantics_preserved,provenance_sidecar_preserved
metrica,250,249,249,7221,5727,5727,5727,0,65.34255999999999,1,-1,1.4210854715202004e-14,1e-09,True,"{'period_id': 'Int64', 'timestamp': ""Duration(time_unit='us')"", 'frame_id': 'Int64', 'ball_state': 'Null', 'id': 'String', 'x': 'Float64', 'y': 'Float64', 'z': 'Float64', 'team_id': 'String', 'position_name': 'String', 'game_id': 'String', 'vx': 'Float64', 'vy': 'Float64', 'vz': 'Float64', 'v': 'Float64', 'ax': 'Float64', 'ay': 'Float64', 'az': 'Float64', 'a': 'Float64', 'ball_owning_team_id': 'String', 'is_ball_carrier': 'Boolean'}",fixed-home-away,"[""This dataset does not come with 'ball owning team' information. As a result we infer this using distance to ball using the 'ball_carrier_threshold'. Please note this might cause unexpected results."", ""the default behavior of `how='horizontal'` for `concat` is deprecated and will require equal heights in the next breaking release. Use `how='horizontal_extend'` to keep the current behavior.\n(Deprecated in version 1.42.1)""]",True,False,False,False
idsse_sportec,250,250,250,10250,5750,5750,5750,0,98.94,-1,-1,1.7763568394002505e-14,1e-09,True,"{'period_id': 'Int64', 'timestamp': ""Duration(time_unit='us')"", 'frame_id': 'Int64', 'ball_state': 'String', 'id': 'String', 'x': 'Float64', 'y': 'Float64', 'z': 'Float64', 'team_id': 'String', 'position_name': 'String', 'game_id': 'String', 'vx': 'Float64', 'vy': 'Float64', 'vz': 'Float64', 'v': 'Float64', 'ax': 'Float64', 'ay': 'Float64', 'az': 'Float64', 'a': 'Float64', 'ball_owning_team_id': 'String', 'is_ball_carrier': 'Boolean'}",fixed-home-away,"[""the default behavior of `how='horizontal'` for `concat` is deprecated and will require equal heights in the next breaking release. Use `how='horizontal_extend'` to keep the current behavior.\n(Deprecated in version 1.42.1)""]",False,False,False,False
