provider,shared_finite_player_rows,component_mae_mps,component_max_absolute_difference_mps,speed_correlation,unravelsports_speed_at_cap_rows,project_rule,unravelsports_rule,exact_substitute
metrica,5324,3.6977837979850266e-14,3.552713678800501e-13,1.0,0,"centered 7-frame rolling mean of position, then backward first difference / observed dt","backward first difference of position, Savitzky-Golay velocity smoothing (window 7, polyorder 1), then acceleration; scalar speed/acceleration capped",False
idsse_sportec,5346,4.390033577429083e-14,4.821698595947055e-13,1.0,0,"centered 7-frame rolling mean of position, then backward first difference / observed dt","backward first difference of position, Savitzky-Golay velocity smoothing (window 7, polyorder 1), then acceleration; scalar speed/acceleration capped",False
