prior,current,outer_heldout_match,prior_MAE,current_MAE,relative_MAE_improvement
B4,B5,J03WMX,2.114184636128844,2.1114031850277355,0.0013156140923441574
B4,B5,J03WN1,1.9186177238557416,1.9124190894708242,0.003230781362980612
B4,B5,J03WOH,2.110731716654173,2.0934157088616923,0.008203793810389614
B4,B5,J03WOY,2.1210460833485203,2.1095535162564913,0.005418348607440673
B4,B5,J03WPY,2.073941868832689,2.077986762236713,-0.0019503407809114172
B4,B5,J03WQQ,2.2327876044882418,2.2230798993505863,0.0043477960546455694
B4,B5,J03WR9,2.13189232149592,2.128160497845737,0.001750474736718553
B5,B6,J03WMX,2.1114031850277355,2.109371452454223,0.0009622665097409833
B5,B6,J03WN1,1.9124190894708242,1.9130566403243343,-0.0003333740271786095
B5,B6,J03WOH,2.0934157088616923,2.0973773092677575,-0.001892409801500599
B5,B6,J03WOY,2.1095535162564913,2.1142654756914707,-0.0022336287743678494
B5,B6,J03WPY,2.077986762236713,2.0769403964492144,0.0005035478601280036
B5,B6,J03WQQ,2.2230798993505863,2.221374069447895,0.0007673273026262419
B5,B6,J03WR9,2.128160497845737,2.1275965741690377,0.00026498174234041973
B6,B7,J03WMX,2.109371452454223,2.1048218499443117,0.002156852224684189
B6,B7,J03WN1,1.9130566403243343,1.9142201266558174,-0.0006081818525173702
B6,B7,J03WOH,2.0973773092677575,2.0927333671087283,0.0022141663011747263
B6,B7,J03WOY,2.1142654756914707,2.107825605217418,0.0030459138400992618
B6,B7,J03WPY,2.0769403964492144,2.0745147808443143,0.0011678792559704435
B6,B7,J03WQQ,2.221374069447895,2.2232676788327015,-0.0008524495765259293
B6,B7,J03WR9,2.1275965741690377,2.1267649306048875,0.0003908840492822421
