analysis,outer_heldout_match,model,alpha,n,MAE,median_absolute_error,RMSE,R2
locality_control,J03WMX,B4,100.0,6936,2.1157323267346912,1.604529502842342,2.8921126452573107,0.36788150395863894
locality_control,J03WMX,LOCAL_B5,100.0,6936,2.1128929102420466,1.6021376462054753,2.879829161637346,0.37323961345389023
locality_control,J03WMX,LOCAL_B6,100.0,6936,2.110822750092892,1.605868633822067,2.8788373710360093,0.3736712418499545
locality_control,J03WMX,LOCAL_B7,10.0,6936,2.106354661309165,1.602246197899437,2.8715831191951664,0.37682377978343307
locality_control,J03WMX,NONLOCAL_B5,100.0,6936,2.1098843853130234,1.6020123901634222,2.88046491291944,0.37296285557737463
locality_control,J03WMX,NONLOCAL_B6,10.0,6936,2.1097716651808254,1.5927155300892342,2.8832653618784496,0.3717430253245402
locality_control,J03WMX,NONLOCAL_B7,10.0,6936,2.1079002778103595,1.5822030690479494,2.879735100538799,0.3732805553323143
locality_control,J03WN1,B4,0.1,5428,1.919426363549498,1.4965357108207085,2.663052513967922,0.3899149019100381
locality_control,J03WN1,LOCAL_B5,0.1,5428,1.9132164956608937,1.4722381594172855,2.663034451113405,0.3899231780074408
locality_control,J03WN1,LOCAL_B6,0.1,5428,1.9138184139999321,1.4727446194384513,2.6625910893482088,0.3901263013432553
locality_control,J03WN1,LOCAL_B7,0.1,5428,1.9149450672597859,1.4918319084947669,2.6634248283979955,0.3897443011707965
locality_control,J03WN1,NONLOCAL_B5,0.1,5428,1.9051935744728272,1.4661481090048805,2.660634420229081,0.39102233270696496
locality_control,J03WN1,NONLOCAL_B6,0.1,5428,1.9043434409128324,1.4538299762792783,2.660121383350643,0.3912571623228819
locality_control,J03WN1,NONLOCAL_B7,0.1,5428,1.9052569081805801,1.4740086884774413,2.6583792931499093,0.39205422195164275
locality_control,J03WOH,B4,10.0,6115,2.1107272010372027,1.6203350456753691,2.895740955813873,0.34267968180708197
locality_control,J03WOH,LOCAL_B5,10.0,6115,2.093432482435383,1.5902773346412697,2.8804784813267794,0.3495904491802594
locality_control,J03WOH,LOCAL_B6,1.0,6115,2.0974030570561473,1.599722312741004,2.8820357968746957,0.34888697805892643
locality_control,J03WOH,LOCAL_B7,0.1,6115,2.092765223465718,1.580873365622411,2.875115336436779,0.35201018139817564
locality_control,J03WOH,NONLOCAL_B5,1.0,6115,2.092883285694604,1.6007365421323108,2.875833883645042,0.35168625042268264
locality_control,J03WOH,NONLOCAL_B6,0.1,6115,2.0939089277713694,1.5981418361108095,2.8765348047068366,0.3513701875642926
