model,median_MAE,MAE_min,MAE_max,MAE_IQR,median_relative_improvement_vs_B4,matches_improved_vs_B4,matches_worsened_10pct_or_more_vs_B4
B4,2.114184636128844,1.9186177238557416,2.2327876044882418,0.034132409678789166,0.0,0,0
B5,2.1095535162564913,1.9124190894708242,2.2230798993505863,0.034080605887533366,0.003230781362980612,6,0
B6,2.109371452454223,1.9130566403243343,2.221374069447895,0.0337721720717683,0.002898484394395913,6,0
B7,2.1048218499443117,1.9142201266558174,2.2232676788327015,0.03367119393463147,0.004263695138939225,6,0
