scope,group,n,mean_residual,median_residual,residual_sd,mean_absolute_residual
match,J03WMX,6946,-0.01586509782831321,-0.526365659049687,2.8698453081855306,2.1048218499443117
match,J03WN1,5434,-0.09909337540809762,-0.5639255542469948,2.660539293920441,1.9142201266558174
match,J03WOH,6115,0.05104746253936056,-0.4080832684247122,2.8746212008318706,2.0927333671087283
match,J03WOY,6342,0.03927357052457253,-0.4216838551811741,3.0309153872756203,2.107825605217418
match,J03WPY,7070,-0.025350243218814024,-0.5382557799299632,2.897681065450713,2.0745147808443143
match,J03WQQ,6289,0.06415275707053662,-0.4823782566968551,3.0782181077626465,2.2232676788327015
match,J03WR9,6556,-0.022391801067573578,-0.5557223209630666,2.9043023102123775,2.1267649306048875
defending_team,DFL-CLU-000005,4460,-0.08874353338211352,-0.565889899523919,2.81961739902019,2.046548026479589
defending_team,DFL-CLU-000008,4318,-0.07501682652846794,-0.596493929958035,2.8060794996617653,2.0573580799065803
defending_team,DFL-CLU-00000B,2856,-0.2144377520748666,-0.6483234842439569,2.5411326203151114,1.8436510864217217
defending_team,DFL-CLU-00000G,2628,0.08132560404659853,-0.4198112872145776,2.9690899174625165,2.182808364032183
defending_team,DFL-CLU-00000H,2644,-0.1594021729784123,-0.7180267913745766,3.050936865603482,2.1569427143655178
defending_team,DFL-CLU-00000I,4118,-0.0021396956274529143,-0.4989230318881108,2.8203254142689542,2.0829546774677077
defending_team,DFL-CLU-00000P,14597,0.07573764073675898,-0.43664360756329224,3.0541164115324544,2.1785522212340718
defending_team,DFL-CLU-00000Q,3038,0.10359256973538111,-0.3780012206348704,2.9359161143707597,2.105832861773579
defending_team,DFL-CLU-00000S,2578,0.028689223412806976,-0.44420164007052065,2.781275691686279,1.9923990168453356
defending_team,DFL-CLU-000011,3515,0.012650993370710415,-0.48417717031205765,2.808220629125902,2.0343955168811507
focal_player,DFL-OBJ-00002Z,17,-0.09397411757937725,0.07313866143125569,2.689861960147903,1.960329827040636
focal_player,DFL-OBJ-00003X,244,-0.010928249343898655,-0.5288148790671934,3.243812175883039,2.394376190081435
focal_player,DFL-OBJ-00005H,43,0.6207303371179369,-0.11424276643888209,3.1850253967270947,2.413021805434751
focal_player,DFL-OBJ-00006V,206,-0.015530559632884026,-0.49433967039429905,2.815421078336926,2.0463399377756373
focal_player,DFL-OBJ-00008F,446,-0.23036672385389684,-0.6732835542741284,2.413736866360089,1.8130227415805444
focal_player,DFL-OBJ-00008K,664,-0.008052776154375553,-0.6931329730561826,3.1606902462131736,2.330578958346961
focal_player,DFL-OBJ-0000EJ,401,-0.5997005621877635,-0.9489384312877549,2.778772429674327,2.0120635296720026
focal_player,DFL-OBJ-0000F8,902,0.04984875230502264,-0.3050657967506698,2.9289402808241736,2.0957165626096583
focal_player,DFL-OBJ-0000F9,212,0.21518803575010137,-0.2809922986834805,2.8907759360722802,2.1255926913511156
focal_player,DFL-OBJ-0000IA,193,0.4407398565032162,-0.11900667291622824,3.271006297363027,2.3587267528435776
focal_player,DFL-OBJ-0000NZ,1461,0.1779511384209584,-0.3527203452714929,3.103914545402713,2.2388137973985844
focal_player,DFL-OBJ-0000RP,38,0.19408815283021097,-0.689183739463004,3.0662889381256195,2.420289012505076
focal_player,DFL-OBJ-0000XU,154,0.14755124372985873,-0.08862829096521763,2.365434503916141,1.6881561193748467
focal_player,DFL-OBJ-0000YE,364,0.11346703607066472,-0.5001211282957172,2.952931564827297,2.19630451715564
focal_player,DFL-OBJ-0000YV,241,0.4197352781714929,0.07037956284631264,2.5745996654269825,1.8614744932107667
focal_player,DFL-OBJ-00012X,432,-0.03638131264934999,-0.7094430535276954,2.949359705758887,2.1690771012547816
focal_player,DFL-OBJ-000172,253,-0.5202504651045021,-1.1016036111524299,2.7085955647940088,2.076684552249171
focal_player,DFL-OBJ-00017G,90,-0.39126367012382607,-0.9023048848924315,2.3590984733065627,1.8616920988339327
focal_player,DFL-OBJ-000191,18,0.7538352695513622,0.22908136575878624,2.943519049499879,2.067983041909294
focal_player,DFL-OBJ-000199,258,0.19208778777033508,-0.4685186144917195,3.042751921642201,2.1749586577828763
focal_player,DFL-OBJ-00019R,285,0.6866734793304429,0.23492128808765678,3.098802280688862,2.2760037006172738
focal_player,DFL-OBJ-0001BX,45,-0.8735138207102329,-1.2291538981224006,1.8280642183338658,1.6316615389843487
focal_player,DFL-OBJ-0001CF,20,1.9611768954253477,0.732776021347548,3.540046827095223,2.561790195890933
focal_player,DFL-OBJ-0001IG,304,0.1604550116684782,-0.3207586077628688,2.9723504368214395,2.2462465121717186
focal_player,DFL-OBJ-0001LJ,401,0.4607984801960025,-0.23676102427086132,3.32222667808588,2.295456025578315
focal_player,DFL-OBJ-0001UP,316,-0.10059365985891182,-0.5142826091872554,2.5420391142474577,1.7740392666557074
focal_player,DFL-OBJ-0001ZY,412,0.38575334706765996,-0.17131471894270922,3.0519000887300405,2.167078431552569
focal_player,DFL-OBJ-00021G,412,-0.05186735399382697,-0.5387329845530036,2.809156076791191,2.1545992021753086
focal_player,DFL-OBJ-000270,297,0.6444176746045667,0.3496306437757246,3.2849594472190247,2.465164106724535
focal_player,DFL-OBJ-00028V,1096,-0.5944279796553148,-0.9484354217523179,2.677240461832584,2.054136756583734
focal_player,DFL-OBJ-0002AU,263,0.059863341804009075,-0.39099674049383637,2.9316112731486053,2.22502281817026
focal_player,DFL-OBJ-0002BO,297,0.5793105927180134,-0.28295296793925306,3.274818896843763,2.26276919040863
focal_player,DFL-OBJ-0002DT,412,-0.5032713508884984,-0.7480717246338928,2.4515175656918244,1.9482418293258141
focal_player,DFL-OBJ-0002EL,273,0.37034906651510535,-0.32426031674715716,3.301496604404441,2.384131762298467
focal_player,DFL-OBJ-0002F5,263,-0.16284374635155138,-0.4452665409091754,2.7465690194648418,2.0412283653444225
focal_player,DFL-OBJ-0002LI,269,-0.6686231241288542,-0.9376616485248945,2.1335135171970627,1.7132135016223506
focal_player,DFL-OBJ-002595,292,0.07508915391131157,-0.5563153843979807,3.253012595299751,2.452229999362343
focal_player,DFL-OBJ-0025BB,304,0.02698468792836132,-0.21821124574763395,2.789462775539133,2.03350718339808
focal_player,DFL-OBJ-0025YM,322,0.21598915849759642,-0.261316711303504,3.017195759231134,2.258532266542932
