analysis,outer_heldout_match,model,bin,realized_bins,lower_edge,upper_edge,n,predicted_mean,predicted_median,observed_mean,observed_median,calibration_slope,calibration_intercept,mean_residual
primary_K3_2s,J03WMX,B7,1,5,0.5840585548348676,3.924211953473649,1223,3.2189364459138483,3.341978216248768,2.7865513138705644,2.4869616825332828,,,
primary_K3_2s,J03WMX,B7,2,5,3.924211953473649,4.9003290289489225,1269,4.410782929352411,4.413409136957056,4.247307235986921,3.8793302234087164,,,
primary_K3_2s,J03WMX,B7,3,5,4.9003290289489225,5.964948675498704,1286,5.429410441506968,5.437066521370495,5.621427995289371,5.161255663725221,,,
primary_K3_2s,J03WMX,B7,4,5,5.964948675498704,7.363107582972743,1538,6.616915527685411,6.600043526600528,6.895916011073969,6.318365436445302,,,
primary_K3_2s,J03WMX,B7,5,5,7.363107582972743,51.15289495577562,1630,9.028521271920596,8.616391713605877,8.997859544459558,8.42315961679288,,,
primary_K3_2s,J03WMX,B7,ALL,5,,,6946,5.961642728662474,5.72695837946274,5.9457776308341606,5.141782242343266,1.0244724804651983,-0.1617612830459969,-0.01586509782831321
primary_K3_2s,J03WN1,B7,1,5,0.2537446067951805,4.014123661834976,1467,3.343923312686187,3.4471099788283457,2.93590909498625,2.6555790385183364,,,
primary_K3_2s,J03WN1,B7,2,5,4.014123661834976,5.030074894826665,1434,4.497448511643004,4.480471051588513,4.247504429729941,3.8910239476241237,,,
primary_K3_2s,J03WN1,B7,3,5,5.030074894826665,6.102022565386304,980,5.539489014400759,5.521954465314661,5.64251733921931,5.291293370581144,,,
primary_K3_2s,J03WN1,B7,4,5,6.102022565386304,7.486201494494008,785,6.720845252876521,6.683353660820517,7.076124226412654,6.3259665345699,,,
primary_K3_2s,J03WN1,B7,5,5,7.486201494494008,50.75364147138769,768,9.090885613732967,8.701097794333174,9.141200088099493,8.352991507673192,,,
primary_K3_2s,J03WN1,B7,ALL,5,,,5434,5.344357669189259,4.85759462864999,5.245264293781162,4.425406557749972,1.0711046181609631,-0.4791018867914122,-0.09909337540809762
primary_K3_2s,J03WOH,B7,1,5,0.2484862704077715,3.9334383577600907,1300,3.146232124051742,3.262780786538984,2.8819412370394404,2.5643134119433,,,
primary_K3_2s,J03WOH,B7,2,5,3.9334383577600907,4.929550960981504,1256,4.436024932257605,4.442255222322871,4.453869876001925,4.098012506631312,,,
primary_K3_2s,J03WOH,B7,3,5,4.929550960981504,6.012370155533435,1142,5.463808514154381,5.463573250218651,5.76911922246072,5.240874968385803,,,
primary_K3_2s,J03WOH,B7,4,5,6.012370155533435,7.425470839018768,1237,6.67345113661736,6.647793189475703,7.075069516336426,6.425620602911698,,,
primary_K3_2s,J03WOH,B7,5,5,7.425470839018768,51.05811237188346,1180,9.0452210531688,8.618200191448087,8.86543577571371,8.400995723673121,,,
primary_K3_2s,J03WOH,B7,ALL,5,,,6115,5.695803482924282,5.3951155149007635,5.746850945463642,4.9345852726845765,0.9834900431844099,0.14508493207253045,0.05104746253936056
primary_K3_2s,J03WOY,B7,1,5,1.2160556586244855,3.917375434000254,1361,3.2171890100771106,3.298435418201886,3.054103093834787,2.6712219623100957,,,
primary_K3_2s,J03WOY,B7,2,5,3.917375434000254,4.910194235117876,1219,4.4260589464373385,4.434328911439836,4.383846271885372,4.000725444284319,,,
primary_K3_2s,J03WOY,B7,3,5,4.910194235117876,5.981876568018589,1197,5.445318436722952,5.452252319861837,5.782128675614859,5.2649797484044125,,,
primary_K3_2s,J03WOY,B7,4,5,5.981876568018589,7.407212663602938,1246,6.633085046739166,6.60827512670504,7.001189652918951,6.366444517278531,,,
primary_K3_2s,J03WOY,B7,5,5,7.407212663602938,27.987734897029643,1319,9.123527841086355,8.600904929283631,8.866264741236364,8.052084475341841,,,
primary_K3_2s,J03WOY,B7,ALL,5,,,6342,5.769593733492484,5.448085889425046,5.808867304017058,4.930496791001204,0.8962028682546564,0.6381408513970027,0.03927357052457253
primary_K3_2s,J03WPY,B7,1,5,1.3301002096131151,3.9779086307416924,1665,3.2204123035681156,3.3409716888669974,2.8384932466438175,2.5067615426572765,,,
primary_K3_2s,J03WPY,B7,2,5,3.9779086307416924,4.965982484247306,1363,4.468795702031834,4.4878068505934205,4.478309864801521,4.1046218235590635,,,
primary_K3_2s,J03WPY,B7,3,5,4.965982484247306,6.041239861676862,1405,5.477620659102558,5.472407409263427,5.641065794201618,5.148344200604755,,,
primary_K3_2s,J03WPY,B7,4,5,6.041239861676862,7.437872823193876,1342,6.676787116857094,6.648533136367378,6.817547786851353,6.237293777498293,,,
primary_K3_2s,J03WPY,B7,5,5,7.437872823193876,51.09078314578558,1295,9.139734006084113,8.633956444908943,9.159162556215682,8.333491506143405,,,
primary_K3_2s,J03WPY,B7,ALL,5,,,7070,5.649959816414505,5.319566548642568,5.6246095731956895,4.773791851232872,1.0364743304130688,-0.23142874438327574,-0.025350243218814024
primary_K3_2s,J03WQQ,B7,1,5,-0.07516979717943961,3.9125401725214295,1095,3.277905948540858,3.3422903527328307,2.939697381338463,2.5970006217014254,,,
primary_K3_2s,J03WQQ,B7,2,5,3.9125401725214295,4.872368359562396,1028,4.397877008633323,4.403053530696946,4.44351439283549,3.864103282383123,,,
primary_K3_2s,J03WQQ,B7,3,5,4.872368359562396,5.946648798209243,1298,5.413630589604035,5.4095573767138365,5.807612172330571,5.259518587347432,,,
primary_K3_2s,J03WQQ,B7,4,5,5.946648798209243,7.367570577923655,1404,6.612335075650211,6.601475774528235,6.839361960322996,6.235326531129073,,,
primary_K3_2s,J03WQQ,B7,5,5,7.367570577923655,52.1997447945899,1464,9.11771267527993,8.66474628970656,9.047183985992886,8.312376460390638,,,
primary_K3_2s,J03WQQ,B7,ALL,5,,,6289,6.00560770975609,5.72301653590594,6.069760466826627,5.231762675283203,0.9904801311425621,0.12132535487662896,0.06415275707053662
primary_K3_2s,J03WR9,B7,1,5,0.2879833154374136,3.8860932835005437,875,3.2699194106071507,3.3691322462641433,2.8598266260511758,2.532698821126639,,,
primary_K3_2s,J03WR9,B7,2,5,3.8860932835005437,4.8818566506065295,1333,4.413984767602005,4.426551691306441,4.349676884393651,3.777113290952208,,,
primary_K3_2s,J03WR9,B7,3,5,4.8818566506065295,5.993233549578049,1589,5.429744390651298,5.436947234595298,5.662675700203739,5.13489552747452,,,
primary_K3_2s,J03WR9,B7,4,5,5.993233549578049,7.427067806569335,1437,6.648756780662468,6.60688556228101,6.841216555994612,6.317640090048917,,,
primary_K3_2s,J03WR9,B7,5,5,7.427067806569335,52.38935340905664,1322,9.119082233167791,8.625273322304984,8.8551339721792,8.092105670312554,,,
