level,outer_heldout_match,local_MAE,nonlocal_MAE,local_minus_nonlocal_MAE,local_relative_improvement_vs_nonlocal
B5,J03WMX,2.1128929102420466,2.1098843853130234,0.0030085249290232596,-0.0014259193299716816
B5,J03WN1,1.9132164956608937,1.9051935744728272,0.008022921188066467,-0.00421107928116251
B5,J03WOH,2.093432482435383,2.092883285694604,0.0005491967407791343,-0.00026241154704279755
B5,J03WOY,2.10956160835826,2.1172801917266395,-0.007718583368379495,0.0036455181503799922
B5,J03WPY,2.078493797571537,2.078036553803789,0.0004572437677481389,-0.00022003644108722087
B5,J03WQQ,2.223588989691884,2.2178880440485367,0.005700945643347222,-0.002570438872532405
B5,J03WR9,2.128172577368227,2.134841989620922,-0.006669412252694684,0.0031240776999514395
B6,J03WMX,2.110822750092892,2.1097716651808254,0.0010510849120666244,-0.0004981984209066233
B6,J03WN1,1.9138184139999321,1.9043434409128324,0.00947497308709977,-0.004975453945722109
B6,J03WOH,2.0974030570561473,2.0939089277713694,0.0034941292847778804,-0.0016687112024957175
B6,J03WOY,2.1142966675133454,2.1194188989886817,-0.005122231475336303,0.00241680938005246
B6,J03WPY,2.077428916967092,2.077038466482934,0.0003904504841578671,-0.0001879842335414327
B6,J03WQQ,2.2218881547360865,2.2175730163618548,0.004315138374231697,-0.001945883333894053
B6,J03WR9,2.127599438804468,2.1347401786617506,-0.007140739857282696,0.003345015908099487
B7,J03WMX,2.106354661309165,2.1079002778103595,-0.0015456165011946688,0.0007332493465014489
B7,J03WN1,1.9149450672597859,1.9052569081805801,0.009688159079205727,-0.005084962052942985
B7,J03WOH,2.092765223465718,2.093491127337518,-0.0007259038718001598,0.00034674322824733314
B7,J03WOY,2.1078480796076104,2.119680349603254,-0.011832269995643685,0.005582101092675771
B7,J03WPY,2.075019395707933,2.074027371830382,0.0009920238775507073,-0.000478307996810679
B7,J03WQQ,2.2238215038932854,2.218658268624495,0.005163235268790256,-0.002327188166743369
B7,J03WR9,2.1267610523618155,2.133408939093592,-0.00664788673177652,0.0031160864707921237
