match_id,interval_id,period,start_ns,prediction_cutoff_ns,defending_team_id,attacking_team_id,focal_player_id,A1_player_id,A2_player_id,A3_player_id
J03WMX,J03WMX_firstHalf_1685194217230000128_5s,firstHalf,1685194217230000128,1685194217200000000,DFL-CLU-000008,DFL-CLU-00000G,DFL-OBJ-00012X,DFL-OBJ-0002AU,DFL-OBJ-0027G6,DFL-OBJ-J01B8N
J03WMX,J03WMX_firstHalf_1685194217230000128_5s,firstHalf,1685194217230000128,1685194217200000000,DFL-CLU-000008,DFL-CLU-00000G,DFL-OBJ-000270,DFL-OBJ-0027KL,DFL-OBJ-0002F5,DFL-OBJ-J017RE
J03WMX,J03WMX_firstHalf_1685194217230000128_5s,firstHalf,1685194217230000128,1685194217200000000,DFL-CLU-000008,DFL-CLU-00000G,DFL-OBJ-0002BO,DFL-OBJ-0026PM,DFL-OBJ-0000IA,DFL-OBJ-J01B8N
J03WMX,J03WMX_firstHalf_1685194217230000128_5s,firstHalf,1685194217230000128,1685194217200000000,DFL-CLU-000008,DFL-CLU-00000G,DFL-OBJ-0027AX,DFL-OBJ-0002F5,DFL-OBJ-0027G6,DFL-OBJ-J01B8N
J03WMX,J03WMX_firstHalf_1685194217230000128_5s,firstHalf,1685194217230000128,1685194217200000000,DFL-CLU-000008,DFL-CLU-00000G,DFL-OBJ-0027B6,DFL-OBJ-0000IA,DFL-OBJ-J01B8N,DFL-OBJ-0026PM
J03WMX,J03WMX_firstHalf_1685194217230000128_5s,firstHalf,1685194217230000128,1685194217200000000,DFL-CLU-000008,DFL-CLU-00000G,DFL-OBJ-0028BD,DFL-OBJ-0002AU,DFL-OBJ-0027G0,DFL-OBJ-0002F5
J03WMX,J03WMX_firstHalf_1685194217230000128_5s,firstHalf,1685194217230000128,1685194217200000000,DFL-CLU-000008,DFL-CLU-00000G,DFL-OBJ-002G4A,DFL-OBJ-0027G6,DFL-OBJ-J01B8N,DFL-OBJ-0002F5
J03WMX,J03WMX_firstHalf_1685194217230000128_5s,firstHalf,1685194217230000128,1685194217200000000,DFL-CLU-000008,DFL-CLU-00000G,DFL-OBJ-002GKO,DFL-OBJ-J01B8N,DFL-OBJ-0000IA,DFL-OBJ-0027G6
J03WMX,J03WMX_firstHalf_1685194217230000128_5s,firstHalf,1685194217230000128,1685194217200000000,DFL-CLU-000008,DFL-CLU-00000G,DFL-OBJ-J01BGM,DFL-OBJ-J01B8N,DFL-OBJ-0000IA,DFL-OBJ-0027G6
J03WMX,J03WMX_firstHalf_1685194217230000128_5s,firstHalf,1685194217230000128,1685194217200000000,DFL-CLU-000008,DFL-CLU-00000G,DFL-OBJ-J01D1W,DFL-OBJ-0027G6,DFL-OBJ-J01B8N,DFL-OBJ-0000IA
