model,median_MAE,MAE_min,MAE_max,MAE_IQR,median_relative_improvement_vs_B4,matches_improved_vs_B4,matches_worsened_10pct_or_more_vs_B4
B4,2.1157323267346912,1.919426363549498,2.233377345181871,0.033919814821313565,0.0,0,0
LOCAL_B5,2.10956160835826,1.9132164956608937,2.223588989691884,0.03456960380167695,0.003235272791148201,6,0
LOCAL_B6,2.110822750092892,1.9138184139999321,2.2218881547360865,0.03353206614728732,0.002921679964421915,6,0
LOCAL_B7,2.106354661309165,1.9149450672597859,2.2238215038932854,0.03341225639788803,0.004278650586834668,6,0
NONLOCAL_B5,2.1098843853130234,1.9051935744728272,2.2178880440485367,0.04060117092458393,0.0027640270689124895,5,0
NONLOCAL_B6,2.1097716651808254,1.9043434409128324,2.2175730163618548,0.04160584169806425,0.002817304192286575,5,0
NONLOCAL_B7,2.1079002778103595,1.9052569081805801,2.218658268624495,0.04278539476447296,0.003701814650825573,6,0
