model,median_MAE,MAE_min,MAE_max,MAE_IQR,median_relative_improvement_vs_B4,matches_improved_vs_B4,matches_worsened_10pct_or_more_vs_B4
B4,2.114184636128844,1.9186177238557416,2.2327876044882418,0.034132409678789166,0.0,0,0
K1_B5,2.1133927291704455,1.9202312087922753,2.2309847314186704,0.035076901993208676,0.00037456849551636355,4,0
K1_B6,2.1140100138019897,1.9211544216281067,2.2287515208829274,0.034212403179441964,0.0005927220443722597,4,0
K1_B7,2.1097390101194557,1.9217857331142205,2.229911647005926,0.033036128747433224,0.0012880569009495152,6,0
