analysis,outer_heldout_match,model,inner_heldout_match,alpha,MAE,constant_features_removed,solver
primary_K3_2s,J03WMX,B6,J03WPY,0.01,2.080733820476528,0,solve
primary_K3_2s,J03WMX,B6,J03WPY,0.1,2.080735328991777,0,solve
primary_K3_2s,J03WMX,B6,J03WPY,1.0,2.080750398844821,0,solve
primary_K3_2s,J03WMX,B6,J03WPY,10.0,2.080900501020224,0,solve
primary_K3_2s,J03WMX,B6,J03WPY,100.0,2.0823561564610595,0,solve
primary_K3_2s,J03WMX,B6,J03WQQ,0.01,2.2221356388104887,0,solve
primary_K3_2s,J03WMX,B6,J03WQQ,0.1,2.222134990493487,0,solve
primary_K3_2s,J03WMX,B6,J03WQQ,1.0,2.2221285947412563,0,solve
primary_K3_2s,J03WMX,B6,J03WQQ,10.0,2.2220710745287717,0,solve
primary_K3_2s,J03WMX,B6,J03WQQ,100.0,2.2218068541927636,0,solve
primary_K3_2s,J03WMX,B6,J03WR9,0.01,2.1278879552324557,0,solve
primary_K3_2s,J03WMX,B6,J03WR9,0.1,2.1278883042745034,0,solve
primary_K3_2s,J03WMX,B6,J03WR9,1.0,2.127891765467209,0,solve
primary_K3_2s,J03WMX,B6,J03WR9,10.0,2.1279274558570855,0,solve
primary_K3_2s,J03WMX,B6,J03WR9,100.0,2.1282461349404325,0,solve
primary_K3_2s,J03WMX,B7,J03WN1,0.01,1.917763818683854,0,solve
primary_K3_2s,J03WMX,B7,J03WN1,0.1,1.9177663290188705,0,solve
primary_K3_2s,J03WMX,B7,J03WN1,1.0,1.9177913516282075,0,solve
primary_K3_2s,J03WMX,B7,J03WN1,10.0,1.9180355068555335,0,solve
primary_K3_2s,J03WMX,B7,J03WN1,100.0,1.9201663034426368,0,solve
primary_K3_2s,J03WMX,B7,J03WOH,0.01,2.099232747009091,0,solve
primary_K3_2s,J03WMX,B7,J03WOH,0.1,2.099230877537987,0,solve
primary_K3_2s,J03WMX,B7,J03WOH,1.0,2.099212409312763,0,solve
primary_K3_2s,J03WMX,B7,J03WOH,10.0,2.0990598197522266,0,solve
primary_K3_2s,J03WMX,B7,J03WOH,100.0,2.0985416627435454,0,solve
primary_K3_2s,J03WMX,B7,J03WOY,0.01,2.10642008240531,0,solve
primary_K3_2s,J03WMX,B7,J03WOY,0.1,2.1064211332027116,0,solve
primary_K3_2s,J03WMX,B7,J03WOY,1.0,2.106431618694608,0,solve
primary_K3_2s,J03WMX,B7,J03WOY,10.0,2.1065350534683027,0,solve
primary_K3_2s,J03WMX,B7,J03WOY,100.0,2.107476620310762,0,solve
primary_K3_2s,J03WMX,B7,J03WPY,0.01,2.0782458639496015,0,solve
primary_K3_2s,J03WMX,B7,J03WPY,0.1,2.0782471922028907,0,solve
primary_K3_2s,J03WMX,B7,J03WPY,1.0,2.078260452679593,0,solve
primary_K3_2s,J03WMX,B7,J03WPY,10.0,2.0783948049607432,0,solve
primary_K3_2s,J03WMX,B7,J03WPY,100.0,2.0796859129993504,0,solve
primary_K3_2s,J03WMX,B7,J03WQQ,0.01,2.224339253142585,0,solve
primary_K3_2s,J03WMX,B7,J03WQQ,0.1,2.224338393604611,0,solve
primary_K3_2s,J03WMX,B7,J03WQQ,1.0,2.2243299946078565,0,solve
primary_K3_2s,J03WMX,B7,J03WQQ,10.0,2.224251119766665,0,solve
primary_K3_2s,J03WMX,B7,J03WQQ,100.0,2.223750789695604,0,solve
primary_K3_2s,J03WMX,B7,J03WR9,0.01,2.1278595802404183,0,solve
primary_K3_2s,J03WMX,B7,J03WR9,0.1,2.127859617165249,0,solve
primary_K3_2s,J03WMX,B7,J03WR9,1.0,2.1278599619909255,0,solve
primary_K3_2s,J03WMX,B7,J03WR9,10.0,2.1278632832492916,0,solve
primary_K3_2s,J03WMX,B7,J03WR9,100.0,2.127913510898162,0,solve
primary_K3_2s,J03WN1,B4,J03WMX,0.01,2.120562224810447,0,solve
primary_K3_2s,J03WN1,B4,J03WMX,0.1,2.1205621008167124,0,solve
primary_K3_2s,J03WN1,B4,J03WMX,1.0,2.120560894133118,0,solve
primary_K3_2s,J03WN1,B4,J03WMX,10.0,2.1205540160196668,0,solve
primary_K3_2s,J03WN1,B4,J03WMX,100.0,2.120600479708735,0,solve
primary_K3_2s,J03WN1,B4,J03WOH,0.01,2.1188642515911846,0,solve
primary_K3_2s,J03WN1,B4,J03WOH,0.1,2.118862981886,0,solve
primary_K3_2s,J03WN1,B4,J03WOH,1.0,2.118850474573461,0,solve
primary_K3_2s,J03WN1,B4,J03WOH,10.0,2.1187434069840525,0,solve
primary_K3_2s,J03WN1,B4,J03WOH,100.0,2.1185892508778545,0,solve
primary_K3_2s,J03WN1,B4,J03WOY,0.01,2.1261637792484467,0,solve
primary_K3_2s,J03WN1,B4,J03WOY,0.1,2.1261647213327195,0,solve
primary_K3_2s,J03WN1,B4,J03WOY,1.0,2.1261741315803726,0,solve
primary_K3_2s,J03WN1,B4,J03WOY,10.0,2.126268388365469,0,solve
primary_K3_2s,J03WN1,B4,J03WOY,100.0,2.1272014835796607,0,solve
primary_K3_2s,J03WN1,B4,J03WPY,0.01,2.0818744136276144,0,solve
primary_K3_2s,J03WN1,B4,J03WPY,0.1,2.081876030079058,0,solve
