game,level,count,mean,maximum,median,p75,p90,p95,p97_5,p99
1,player,2894460,2.5108315370970256,86.68300226101184,2.0523132460152915,3.2765389997791456,4.891764276546157,6.069365007029382,7.210012946750667,8.626779313319222
1,team_mean,289446,2.5108315370970256,17.93875930408639,2.4658858222435613,,3.8494187245159264,4.249849131811118,,5.057585903921116
2,player,2818600,2.4903583177194393,53.8770304683002,2.0385459430403943,3.268688915805912,4.838050954621079,5.956829279462385,7.025614069866911,8.419526380421054
2,team_mean,281860,2.4903583177194393,16.042481063968786,2.4346479346065335,,3.8190228045289407,4.215872975868097,,4.992054725829805
