match_id,region,observation_count,unique_time_anchor_count,temporal_block_count,time_count_pass,block_count_pass,region_pass
1886347,0_10,704,284,78,True,True,True
1886347,10_20,436,230,73,True,True,True
1886347,20_plus,389,206,73,True,True,True
1899585,0_10,498,224,74,True,True,True
1899585,10_20,328,192,76,True,True,True
1899585,20_plus,242,145,61,True,True,True
1925299,0_10,631,272,70,True,True,True
1925299,10_20,394,231,70,True,True,True
1925299,20_plus,280,170,62,True,True,True
1996435,0_10,1138,415,88,True,True,True
1996435,10_20,746,359,85,True,True,True
1996435,20_plus,675,321,80,True,True,True
2006229,0_10,872,384,78,True,True,True
2006229,10_20,711,357,74,True,True,True
2006229,20_plus,695,315,75,True,True,True
2011166,0_10,278,132,59,True,True,True
2011166,10_20,192,120,55,True,True,True
2011166,20_plus,155,91,48,True,True,True
2013725,0_10,390,198,75,True,True,True
2013725,10_20,298,184,69,True,True,True
2013725,20_plus,254,136,60,True,True,True
2015213,0_10,321,174,69,True,True,True
2015213,10_20,261,155,62,True,True,True
2015213,20_plus,221,115,60,True,True,True
2017461,0_10,293,159,63,True,True,True
2017461,10_20,225,138,62,True,True,True
2017461,20_plus,183,101,57,True,True,True
