match_id,sample,observation_count,unique_time_anchor_count,period_count,temporal_block_count,z_min_m,z_q05_m,z_q25_m,z_median_m,z_q75_m,z_q95_m,z_max_m,z_variance_m2,mean_focal_detected_fraction,mean_ball_detected_fraction,mean_min_D1_D7_detected_fraction,out_of_pitch_count,outside_lateral_pitch_count,goalward_x_min_m,goalward_x_median_m,goalward_x_max_m
1886347,primary,5670,630,2,88,0,0.96266666666666645,5.5933333333333328,12.091666666666665,20.830000000000002,30.77,34.536666666666662,87.670498766688752,0.69573848488577172,0.95828719084533032,0.3271604938271605,14,12,-52.540384615384617,2.6485576923076923,56.730288461538464
1886347,quality,1529,328,2,80,0,0.79933333333333345,5.1033333333333326,11.016666666666666,20.359999999999999,30.532666666666653,34.356666666666662,87.547630127084503,0.96046967922490756,0.99102620651892859,0.90721414962891356,2,2,-48.919230769230772,15.470673076923077,51.274999999999999
1899585,primary,5083,565,2,89,0.01999999999999999,1.0943333333333336,5.5300000000000002,12.183333333333332,20.664999999999999,30.175666666666647,37.823333333333331,84.606729553075141,0.6605465550924422,0.94519350868604413,0.26765261870343598,16,16,-51.089903846153845,1.7365384615384614,51.362500000000004
1899585,quality,1068,270,2,78,0.01999999999999999,1.0423333333333333,4.6141666666666667,10.715,18.920833333333334,30.409333333333333,35.329999999999998,83.575494771945486,0.95416340040066183,0.96171936242487588,0.92672203224230576,3,3,-47.488942307692305,14.81610576923077,50.837499999999999
1925299,primary,6570,730,2,89,0,0.93666666666666665,5.1299999999999999,11.606666666666666,19.763333333333335,30.105166666666666,40.873333333333335,84.213421028330629,0.62717779901596404,0.95323351385791655,0.2781351333465687,15,14,-51.826666666666661,3.9849999999999999,55.186666666666667
1925299,quality,1305,341,2,75,0,0.69999999999999984,4.1599999999999993,10.403333333333334,18.643333333333334,30.40133333333333,34.576666666666668,86.1764488232932,0.95092221331194871,0.98986010870533725,0.89265367316341837,3,3,-50.379999999999995,17.733333333333334,50.436666666666667
1996435,primary,5967,663,2,91,0,0.9996666666666667,5.1016666666666666,11.5,20.305,30.879000000000005,35.99666666666667,89.331779425619601,0.775618615563896,0.93875618225823421,0.48044680525498945,30,29,-50.229999999999997,0.56333333333333335,52.560000000000002
1996435,quality,2559,463,2,90,0.0066666666666666636,1.0066666666666666,5.1516666666666673,11.43,20.538333333333334,31.390999999999998,35.076666666666661,92.266366126702607,0.97539918391086633,0.98072466533984004,0.94133238187471313,14,13,-50.229999999999997,8.1266666666666669,52.560000000000002
2006229,primary,5795,644,2,80,0,1.2523333333333333,6.5633333333333326,13.686666666666667,22.070000000000004,31.096000000000004,39.206666666666663,89.098996871048982,0.75906254389309136,0.96839697413568226,0.44984056720561205,29,28,-50.873333333333335,2.0299999999999998,56.649999999999999
2006229,quality,2278,447,2,79,0,1.1180000000000001,5.9983333333333331,13.531666666666666,21.811666666666667,31.17016666666667,35.126666666666665,90.071749668560585,0.96446291116238236,0.98417624599301712,0.91376875214719244,4,4,-50.873333333333335,6.1883333333333335,51.173333333333339
2011166,primary,4522,503,2,83,0,0.99016666666666675,5.5100000000000007,12.283333333333331,20.655833333333334,30.299833333333332,35.940000000000005,85.583943805453302,0.60209004042253378,0.96653569628585823,0.18654692998480857,9,9,-51.733333333333327,0.59333333333333327,50.710000000000001
2011166,quality,625,184,2,66,0.029999999999999999,0.88400000000000001,4.7766666666666673,11.566666666666668,19.933333333333334,29.739333333333331,34.07,86.218085734229319,0.94407441860465113,0.99445581395348837,0.86344347826086965,1,1,-48.096666666666664,22.580000000000002,48.690000000000005
2013725,primary,5471,608,2,88,0.0033333333333333318,1.1166666666666667,5.9516666666666662,12.476666666666667,20.778333333333336,30.84,36.646666666666668,86.070532350761709,0.63674002031855059,0.9533651005513214,0.22177807093528723,22,19,-51.370754716981132,-1.7830188679245282,54.524056603773595
2013725,quality,942,262,2,77,0.016666666666666666,1.177,6.0166666666666666,12.045,20.947500000000002,31.204666666666657,34.146666666666668,88.174997407853169,0.95136522984249239,0.98689083098800179,0.86887288839656607,1,1,-51.324528301886794,2.3228773584905662,48.577358490566041
2015213,primary,5143,572,2,87,0.0033333333333333318,1.2503333333333335,6.4866666666666672,13.663333333333334,21.846666666666668,31.14566666666666,41.189999999999998,87.567912037656185,0.63496556620197242,0.94416434168818308,0.20027221466070386,20,20,-50.891981132075479,-2.9584905660377356,49.964150943396227
2015213,quality,803,233,2,75,0.0066666666666666636,1.0599999999999998,6.2483333333333331,12.380000000000001,21.233333333333334,30.911666666666669,34.346666666666664,85.928812744859329,0.95479162443163712,0.98905268035564298,0.85278033461475999,2,2,-44.390566037735852,3.5132075471698112,47.180660377358492
2017461,primary,4886,543,2,84,0.01,0.97999999999999998,5.3416666666666668,12.011666666666667,20.013333333333335,29.716666666666669,36.729999999999997,80.947632833607855,0.59752115679349638,0.97138478233967007,0.20399900336364771,6,5,-51.096666666666671,2.3983333333333334,52.530000000000001
2017461,quality,701,216,2,71,0.01,0.91000000000000003,5.666666666666667,12.276666666666666,20.286666666666665,29.426666666666666,33.823333333333331,80.514916061266092,0.9351756626745843,0.98726072388282515,0.84270917323078831,0,0,-48.453333333333326,12.633333333333333,49.966666666666661
