replicate,absolute_improvement_mps,relative_improvement_percent
1888,-0.000250358621551,-0.034620315389
1889,-0.000300159857905,-0.0409655375905
1890,-0.000466197962886,-0.0630844404328
1891,-0.000356173140608,-0.0492990315577
1892,-0.000104915652518,-0.0144515791291
1893,-0.000784708194113,-0.112631650591
1894,-0.000361700751104,-0.0505102605415
1895,-0.000619283345188,-0.0850771886807
1896,-0.000214305638897,-0.0303852364668
1897,-0.000496861808482,-0.0685596563561
1898,-0.000406972700543,-0.0571524539096
1899,-0.000250673943354,-0.0348906136556
1900,-0.000336868031218,-0.0460852553156
1901,-0.000393994788338,-0.0549829308884
1902,-0.000462787506784,-0.0642768295424
1903,-0.000506458287446,-0.070779416329
1904,-0.000380055392908,-0.0508018710068
1905,-0.000478671238674,-0.0682070404175
1906,-0.000626390976388,-0.0871646696988
1907,-0.000660922899185,-0.0925163052234
1908,-0.000488053770815,-0.0691048029271
1909,-0.000552604470535,-0.0755789240564
1910,-0.000749086925956,-0.100817006131
1911,-0.000474500099108,-0.0647780875285
1912,-0.000535819592953,-0.0748622488877
1913,-0.000407875825301,-0.0577080923208
1914,-0.00017217050787,-0.0236243808381
1915,-0.000343943072833,-0.047559989777
1916,-0.000749516270376,-0.102678352146
1917,-0.000568862097635,-0.0793174811696
1918,-0.000840278245782,-0.114878891468
1919,-0.000570658985217,-0.0803063095906
1920,-0.000340038809644,-0.0476752957276
1921,-0.000265400189563,-0.0369238355424
1922,-0.000504635609622,-0.0716347087042
1923,-0.000453531244252,-0.0607065481132
1924,-0.000651633484514,-0.0889958553706
1925,-0.000452389383065,-0.0633404920819
1926,-0.000281148024763,-0.0393064843659
1927,-0.000369316798616,-0.0505192599181
1928,-0.000756307680708,-0.105765632221
1929,-0.000569492125468,-0.0780951208154
1930,-0.000291163987992,-0.0408500130543
1931,-0.000583127152752,-0.081306757059
1932,-0.000305484942769,-0.0413688458653
1933,-8.80545228835e-05,-0.0121081085542
1934,-0.000552509632465,-0.0758738710567
1935,-0.000433646321215,-0.060362669401
1936,-0.000397275592237,-0.0563408484517
1937,-0.000286646509914,-0.0392718902924
1938,-0.000600343499794,-0.0827087032313
1939,-0.000312382220554,-0.0430800000726
1940,-0.000582299615656,-0.0808839606026
1941,-0.0008357106758,-0.112572360643
1942,-0.00048114843613,-0.0655771793358
1943,-0.000336087668213,-0.0470428618849
1944,-0.00052121362828,-0.0707523599457
1945,-0.000575356249118,-0.0794757641457
1946,-0.000271815404122,-0.0376660764472
1947,-0.000229592470919,-0.03192902227
1948,-0.000658395150675,-0.0892184103716
1949,-0.000393253163838,-0.053008674316
1950,-0.000604408494393,-0.0842239210953
1951,-0.00018921321292,-0.0263217259157
1952,-0.000415239407092,-0.057140738917
