match_id,defending_team,rows,mean_residual_mps,median_residual_mps,mean_absolute_residual_mps
J03WMX,DFL-CLU-000008,7261,0.00964836427446,0.0152494815825,0.705969829859
J03WMX,DFL-CLU-00000G,5074,-0.00732740003392,-0.000441674086102,0.780075906114
J03WN1,DFL-CLU-00000S,4574,0.0103148120845,0.0248719447379,0.714416077421
J03WOH,DFL-CLU-00000P,5140,0.0228410099532,0.0185964120193,0.756411048471
J03WOH,DFL-CLU-000011,6108,-0.0191147991466,0.00127708634528,0.690468199944
J03WOY,DFL-CLU-00000P,5908,0.0171274653271,0.016438747762,0.71705804026
J03WOY,DFL-CLU-00000Q,5611,-0.0244123250816,-0.0107864649473,0.743379518808
J03WPY,DFL-CLU-000005,7501,0.00900800406933,0.00716668640599,0.658418625582
J03WPY,DFL-CLU-00000P,4896,-0.00395013915213,0.00732276707655,0.704149294779
J03WQQ,DFL-CLU-00000H,3570,0.0174908227394,0.0108858750984,0.736158464577
J03WQQ,DFL-CLU-00000P,6391,-0.00595097621063,0.0122264576279,0.766933973457
J03WR9,DFL-CLU-00000I,6930,-0.00514144162993,-0.00197019550495,0.72494176917
J03WR9,DFL-CLU-00000P,4588,-0.000654996361693,-0.0253596262316,0.772253504893
