seconds,smoothing_frames,n_intervals_game1,n_intervals_game2,n_obs_game1,n_obs_game2,median_game1,median_game2,rho_focal_abs_game1,rho_focal_abs_game2
4.0,5,594,555,5940,5550,4.4409722856094636,4.569114849724633,0.5101553957870488,0.44021187280590096
4.0,7,594,555,5940,5550,4.343524933548134,4.465907857502715,0.5081042080136372,0.43779370866998524
4.0,9,594,555,5940,5550,4.240494475197765,4.362213292206402,0.5059712279244017,0.4352624476380344
5.0,5,422,407,4220,4070,5.6024478925410595,5.766379737797625,0.5428276519483852,0.4638402588687585
5.0,7,422,407,4220,4070,5.4888968609502005,5.653258310504461,0.5410572733460154,0.4620027828350075
5.0,9,422,407,4220,4070,5.370382702272366,5.545549110601285,0.5391286641707868,0.460058096413899
6.0,5,324,324,3240,3240,6.845349288933126,7.178522341421312,0.5849323700555683,0.4724970492635366
6.0,7,324,324,3240,3240,6.727753163744332,7.058597239214415,0.5833202532700484,0.4705615541229953
6.0,9,324,324,3240,3240,6.606180531932569,6.931737761599088,0.5817756810302439,0.4685513131427764
