interval_id,game,period,start_s,seconds,possession_team,defending_team,focal_player,focal_absolute_path_m,full_defending_outfield_centroid_path_m,sum_defending_outfield_paths_m,ball_path_m,focal_bin,collective_bin,team_activity_bin,ball_bin,smoothing_frames,focal_relative_path_m,focal_relative_net_x_change_m,focal_relative_net_y_change_m,focal_relative_net_displacement_m,leave_one_out_centroid_path_m,misaligned_relative_path_m,misaligned_interval_id
G1_P1_5.00_5s,1,1,5.0,5.0,Away,Home,1,24.052855887391104,16.013234313842464,169.11151176443641,35.35052599896784,2,2,2,2,7,14.771051462061124,8.855550000000008,8.321904761904754,12.152154733573514,15.785249295166418,36.5170871106374,G1_P1_25.00_5s
G1_P1_5.00_5s,1,1,5.0,5.0,Away,Home,2,18.01749128313006,16.013234313842464,169.11151176443641,35.35052599896784,2,2,2,2,7,4.0422484129256695,-1.9066166666666717,1.2301523809523651,2.2690222550635997,15.831604847106453,25.902011122029595,G1_P1_25.00_5s
G1_P1_5.00_5s,1,1,5.0,5.0,Away,Home,3,13.558472205874365,16.013234313842464,169.11151176443641,35.35052599896784,2,2,2,2,7,5.950474389784931,-1.9624500000000005,-5.437301587301594,5.780610569288718,16.37363667311797,20.24363081522627,G1_P1_25.00_5s
G1_P1_5.00_5s,1,1,5.0,5.0,Away,Home,4,13.991990392459364,16.013234313842464,169.11151176443641,35.35052599896784,2,2,2,2,7,5.1698821227270395,-2.053783333333346,-4.6837968253968185,5.114291610954067,16.303005268897643,21.491247707670144,G1_P1_25.00_5s
G1_P1_5.00_5s,1,1,5.0,5.0,Away,Home,5,16.088715866895228,16.013234313842464,169.11151176443641,35.35052599896784,2,2,2,2,7,4.072592125657754,0.526883333333334,0.22429206349206865,0.5726368628458837,16.01284226867966,25.44231467659021,G1_P1_25.00_5s
G1_P1_5.00_5s,1,1,5.0,5.0,Away,Home,6,19.93583552198782,16.013234313842464,169.11151176443641,35.35052599896784,2,2,2,2,7,5.638979824224296,-0.3042833333333341,4.803174603174593,4.81280319725686,15.613381841002093,29.02351991419887,G1_P1_25.00_5s
G1_P1_5.00_5s,1,1,5.0,5.0,Away,Home,7,18.298526226941373,16.013234313842464,169.11151176443641,35.35052599896784,2,2,2,2,7,5.699654294654417,-5.498116666666668,-1.2061904761904785,5.62887043243406,15.84909878486093,24.890181747852665,G1_P1_25.00_5s
G1_P1_5.00_5s,1,1,5.0,5.0,Away,Home,8,18.745355211440817,16.013234313842464,169.11151176443641,35.35052599896784,2,2,2,2,7,5.8495302821173585,-4.763783333333329,0.31700952380952074,4.774319499691066,15.775983904720126,25.516086548778972,G1_P1_25.00_5s
G1_P1_5.00_5s,1,1,5.0,5.0,Away,Home,9,10.664753941923298,16.013234313842464,169.11151176443641,35.35052599896784,1,2,2,2,7,6.945301560135066,5.0532166666666605,-3.9132380952380856,6.391277733779085,16.64625424266636,20.486855108569248,G1_P1_25.00_5s
G1_P1_5.00_5s,1,1,5.0,5.0,Away,Home,10,15.757515226392986,16.013234313842464,169.11151176443641,35.35052599896784,2,2,2,2,7,5.1159459375580125,2.053383333333329,0.34399365079366007,2.081997777471783,16.07822647002382,25.789019620618514,G1_P1_25.00_5s
G1_P1_10.00_5s,1,1,10.0,5.0,Away,Home,1,12.978887716942493,8.381923975902245,115.00019951442847,38.544915270936464,1,1,1,2,7,15.066746453789504,-6.087499999999999,-4.15255492063492,7.3689462353099895,8.91632567951022,13.409431363855743,G1_P1_30.00_5s
G1_P1_10.00_5s,1,1,10.0,5.0,Away,Home,2,13.452374526770203,8.381923975902245,115.00019951442847,38.544915270936464,2,1,1,2,7,8.765020220836037,-1.592333333333336,-1.0108469841269851,1.8860904192967722,8.269407108046234,17.761810223487814,G1_P1_30.00_5s
G1_P1_10.00_5s,1,1,10.0,5.0,Away,Home,3,14.86948530495741,8.381923975902245,115.00019951442847,38.544915270936464,2,1,1,2,7,11.272757908859043,-4.802166666666675,7.832283174603155,9.187244658852633,8.547537659814065,10.371047003098637,G1_P1_30.00_5s
G1_P1_10.00_5s,1,1,10.0,5.0,Away,Home,4,11.656805178632808,8.381923975902245,115.00019951442847,38.544915270936464,1,1,1,2,7,6.963294704334246,0.5116666666666667,2.8428101587301704,2.88848963584037,8.263439257400778,12.843694323040081,G1_P1_30.00_5s
