game,period,possession_team,defending_team,n,median,iqr
1,1,Away,Home,1120,4.749780614707307,3.954071418020277
1,1,Home,Away,600,6.963596479760531,4.894368974893446
1,2,Away,Home,1120,5.319670016195369,3.978730855687036
1,2,Home,Away,1380,5.763961951408072,4.481870216163175
2,1,Away,Home,1190,5.614493598063655,4.286000439175579
2,1,Home,Away,1280,5.492157363208072,4.352277898919304
2,2,Away,Home,710,6.084863782792004,4.25785358470619
2,2,Home,Away,890,5.642538255120254,4.059487935928599
