grid_index,start_s,end_s,period,team,selected,reason,focal
1,300,308.0,1,Home,True,selected,1
2,600,608.0,1,Away,True,selected,15
3,900,908.0,1,Home,True,selected,1
4,1200,1208.0,1,Away,True,selected,15
5,1500,1508.0,1,Home,True,selected,1
6,1800,1808.0,1,Away,False,restart_or_ball_out,
7,2100,2108.0,1,Home,True,selected,2
8,2400,2408.0,1,Away,False,restart_or_ball_out,
9,2700,2708.0,1,Home,True,selected,2
10,3000,3008.0,2,Away,True,selected,15
11,3300,3308.0,2,Home,True,selected,2
12,3600,3608.0,2,Away,True,selected,15
13,3900,3908.0,2,Home,True,selected,2
14,4200,4208.0,2,Away,True,selected,15
15,4500,4508.0,2,Home,True,selected,2
16,4800,4808.0,2,Away,False,restart_or_ball_out,
17,5100,5108.0,2,Home,True,selected,2
18,5400,5408.0,2,Away,False,restart_or_ball_out,
19,5700,5708.0,2,Home,False,restart_or_ball_out,
