kind,case,label,period,start_s,end_s,tau_s,team,focal,relative_path_m,relative_displacement_x_m,relative_displacement_y_m,relative_displacement_m,relative_displacement_angle_deg,focal_absolute_path_m,centroid_path_m,path_to_displacement_ratio,innovation_x_0.4s_m,innovation_y_0.4s_m,innovation_mag_0.4s_m,innovation_x_0.8s_m,innovation_y_0.8s_m,innovation_mag_0.8s_m,innovation_x_1.2s_m,innovation_y_1.2s_m,innovation_mag_1.2s_m,innovation_horizon_direction_coherence,innovation_0.8s_next5_direction_coherence,pre_tau_relative_path_causal_m
anchor,1888_translation,1888–1896 coordinated collective movement,1,1888.0,1896.0,1892.0,Home,2,5.056751413663074,1.1176833333333338,-1.5660507936507937,1.9239883372581532,-54.48472237448646,32.267662869022374,31.58962311532085,2.6282651072975702,-0.036949999999908556,-0.01907238095246022,0.041581945784066064,-0.10434999999981898,-0.055015238095402985,0.11796439684352267,-0.17918333333306258,-0.10068317460342247,0.20553288932083513,0.9998862970014792,0.9982897907357166,1.1051938615318975
anchor,590_excursion,590–598 apparent focal excursion,1,590.0,598.0,594.0,Home,2,12.049898849596328,7.517583333333334,0.7381561904761895,7.553736408900528,5.607931618995304,13.641127858739692,15.40848495968886,1.5952236346767403,0.14815000000014322,0.018036190475969466,0.14924384967873178,0.5992833333336094,0.12671746031702036,0.6125339405785101,1.4363833333337404,0.2785949206342601,1.463151465188125,0.9992861136955331,0.9992948823954023,1.4894037307146524
anchor,550_tackle,550.76–555.76 tackle/engagement,1,550.76,555.76,550.76,Away,16,15.770339110339405,6.3710499999999985,-12.07128444444444,13.649402413336135,-62.17555346215883,29.434757310483363,17.455367605173816,1.1553867805180256,-0.08763333333366319,-0.38540888888850633,0.3952462684775682,-0.2650000000006436,-1.3235930158722509,1.3498605378579454,-0.4233000000009728,-2.5354933333321803,2.570585406745466,0.9997171460554941,0.9998952147516227,3.8293595475503714
anchor,1230_interior,1228.12–1232.12 interior-threat anchor,1,1228.12,1232.12,1230.12,Away,19,13.532515036188382,3.293450000000007,-11.937874920634918,12.383847161654742,-74.57675432750794,13.234062559226864,3.634077125161941,1.0927553335840874,0.1235833333331533,-0.15114349206193012,0.19523625552240037,0.46811666666630813,-0.4334838095206912,0.637997983325454,1.1041333333327994,-0.726067301582626,1.3214704477225645,0.9923090734341328,0.9966248853586894,3.6844408315349484
anchor,1232_accommodation,1229.28–1234.28 accommodation sequence,1,1229.28,1234.28,1232.28,Away,19,16.491874218742463,5.60118333333334,-10.275156190476192,11.70265309544346,-61.40435740162959,18.08470287545204,5.049415222001518,1.4092423388303061,-0.12340000000113571,0.25977079365149214,0.28759072522354817,-0.7245000000022719,1.0241771428585462,1.2545274289377601,-1.8876666666700759,2.1349949206370216,2.8498225831800825,0.9933403597178445,0.9984073043298233,9.903473008567182
anchor,3682_translation,3679.88–3684.88 collective-translation contrast,2,3679.88,3684.88,3682.88,Home,8,12.197701374151762,-11.66141666666666,1.2932196825396822,11.73290483302916,173.67190932477817,29.282620407871455,17.7269509276897,1.0396147883015432,0.18608333333432725,0.014798095237779307,0.18667080802171704,0.6841000000019903,-0.0048139682545951246,0.6841169375867545,1.2030833333363233,-0.41894476190570984,1.2739404305068078,0.9841271843226065,0.9966686773718333,6.258830834567654
anchor,4197_negative,4195.04–4199.04 heterogeneous negative,2,4195.04,4199.04,4197.04,Away,16,1.035598295476829,-0.47168333333333834,-0.015564444444446046,0.4719400585617981,-178.11005932080812,5.132186182636644,4.954747836863951,2.1943428549649653,0.008283333333293896,-0.012261587301521715,0.014797301587225163,0.01303333333325618,-0.02715682539669828,0.03012243256117479,-0.05965000000012033,-0.058900952380762206,0.0838298556086981,0.8163245407653539,0.779451908151915,0.5431704221636935
neutral,neutral_300,Neutral 300–308.0s,1,300.0,308.0,304.0,Home,1,5.57731345431,0.43458333333333243,0.32648634920634656,0.5435586535317039,36.916180410478034,7.007035242052411,4.4478306787221245,10.260738961788407,-0.04855000000019949,0.036709206349227586,0.060865986649437806,-0.09165000000039747,0.15812698412702275,0.1827672443551649,-0.006500000000594142,0.3580901587302119,0.3581491473945402,0.9325505491607056,0.9796619290812598,1.0099035968903225
neutral,neutral_600,Neutral 600–608.0s,1,600.0,608.0,604.0,Away,15,13.802494829301736,-5.937266666666668,-10.387906666666666,11.96493795999331,-119.7503694659238,31.68834492840675,32.21847907836332,1.1535784703148977,-0.03484999999954397,-0.0371085714277779,0.05090745105953262,-0.11736666666575957,-0.06592761904603428,0.1346156952116303,-0.16456666666530495,0.09758539682777467,0.19132458663581073,0.8394472758376479,0.9260619541789662,4.315925023854391
neutral,neutral_900,Neutral 900–908.0s,1,900.0,908.0,904.0,Home,1,6.522618437110422,2.4951999999999996,-2.1861028571428527,3.3173888439566657,-41.22235674600856,12.702513696890566,11.511645484555217,1.9661905022056032,-0.018649999999882816,0.000906666666963929,0.01867202571872191,-0.026666666666427474,0.044351111111708974,0.05175067311583019,0.055950000000361655,0.24282476190565916,0.24918721374617223,0.7599393601720076,0.9509821097293419,1.6844342508935195
