kind,case,Time [s],rel_x_m,rel_y_m,rel_dx_m,rel_dy_m,rel_x_m_causal7,rel_y_m_causal7,focal_speed_mps,centroid_speed_mps,rel_speed_mps,innovation_horizon_direction_coherence,innovation_0.8s_next5_direction_coherence,innovation_x_0.4s_m,innovation_y_0.4s_m,innovation_mag_0.4s_m,innovation_x_0.8s_m,innovation_y_0.8s_m,innovation_mag_0.8s_m,innovation_x_1.2s_m,innovation_y_1.2s_m,innovation_mag_1.2s_m
anchor,1888_translation,1886.0,-12.850366666666666,4.5694488888889,,,,,,,,,,,,,,,,,,
anchor,1888_translation,1886.04,-12.856316666666665,4.581462222222207,-0.0059499999999985675,0.01201333333330723,,,,,,,,,,,,,,,,
anchor,1888_translation,1886.08,-12.860983333333337,4.594835555555548,-0.00466666666667237,0.013373333333341009,,,,,,,,,,,,,,,,
anchor,1888_translation,1886.12,-12.866233333333348,4.6073022222222235,-0.005250000000010857,0.012466666666675508,,,,,,,,,,,,,,,,
anchor,1888_translation,1886.16,-12.87253333333333,4.617426666666653,-0.006299999999981765,0.01012444444442906,,,,,,,,,,,,,,,,
anchor,1888_translation,1886.2,-12.878949999999996,4.6274000000000015,-0.006416666666666515,0.009973333333348933,,,,,,,,,,,,,,,,
anchor,1888_translation,1886.24,-12.884549999999983,4.6348799999999954,-0.005599999999986949,0.007479999999993936,-12.867133333333332,4.604679365079361,,,,,,,,,,,,,,
anchor,1888_translation,1886.28,-12.89085,4.6428888888888835,-0.006300000000017292,0.008008888888888066,-12.872916666666665,4.615170793650788,0.7053201843847732,1.0043986129511782,0.2994964710915314,0.9981050610740292,0.9980666076714944,-0.004299999999949122,-0.07216634920641773,0.07229434250190116,0.01763333333344619,-0.23832380952395216,0.23897525526810814,0.03305000000015923,-0.4839980952383094,0.4851251989892116
anchor,1888_translation,1886.32,-12.898199999999989,4.648328888888884,-0.007349999999988199,0.005440000000000111,-12.878899999999998,4.62472317460317,0.758616289533855,1.0403857692004042,0.2817892160346019,0.9989396177179329,0.9977585839736837,-0.0003999999999493298,-0.07420634920644353,0.07420742727347851,0.024083333333441814,-0.24094666666685516,0.242147275686344,0.039883333333481374,-0.4804253968256802,0.48207804574871677
anchor,1888_translation,1886.36,-12.90496666666666,4.652106666666661,-0.0067666666666710285,0.0037777777777776578,-12.885183333333329,4.632904761904757,0.8166447157965825,1.0727317730607708,0.25789853691838727,0.9996269262597469,0.9986300596783321,0.005183333333354412,-0.07115174603181984,0.07134029652182035,0.03288333333339111,-0.23399555555570206,0.23629480237816608,0.04985000000007922,-0.4619250793653018,0.46460714743388126
