period,frame_id,provider_time_s,kloppy_period_time_s,object_type,team_id,player_id,kloppy_player_id,is_goalkeeper,observed,x_norm,y_norm,x_m,y_m
1,3,0.12,0.12,player,Home,11,home_11,True,True,0.00114,0.48238000000000003,0.1197,32.80184
1,3,0.12,0.12,player,Home,1,home_1,False,True,0.32648,0.65322,34.2804,44.41896
1,3,0.12,0.12,player,Home,2,home_2,False,True,0.33701,0.48863,35.38605,33.22684
1,3,0.12,0.12,player,Home,3,home_3,False,True,0.30927,0.35529,32.473349999999996,24.15972
1,3,0.12,0.12,player,Home,4,home_4,False,True,0.32137,0.21262000000000003,33.74385,14.458160000000003
1,3,0.12,0.12,player,Home,5,home_5,False,True,0.41094,0.72589,43.148700000000005,49.36052
1,3,0.12,0.12,player,Home,6,home_6,False,True,0.41698,0.47843,43.782900000000005,32.53324
1,3,0.12,0.12,player,Home,7,home_7,False,True,0.39125,0.3255,41.08125,22.134
1,3,0.12,0.12,player,Home,8,home_8,False,True,0.45388,0.21174000000000004,47.6574,14.398320000000002
1,3,0.12,0.12,player,Home,9,home_9,False,True,0.52697,0.3798,55.33185,25.826400000000003
1,3,0.12,0.12,player,Home,10,home_10,False,True,0.55243,0.43269,58.00515,29.42292
1,3,0.12,0.12,player,Home,12,home_12,False,False,,,,
1,3,0.12,0.12,player,Home,13,home_13,False,False,,,,
1,3,0.12,0.12,player,Home,14,home_14,False,False,,,,
1,3,0.12,0.12,player,Away,25,away_25,True,True,0.90434,0.47463,94.95570000000001,32.27484
1,3,0.12,0.12,player,Away,15,away_15,False,True,0.58393,0.20794,61.31265,14.13992
1,3,0.12,0.12,player,Away,16,away_16,False,True,0.67658,0.46710000000000007,71.0409,31.762800000000006
1,3,0.12,0.12,player,Away,17,away_17,False,True,0.6731,0.76476,70.6755,52.00368
1,3,0.12,0.12,player,Away,18,away_18,False,True,0.40783,0.61525,42.82215,41.836999999999996
1,3,0.12,0.12,player,Away,19,away_19,False,True,0.45472,0.38708999999999993,47.7456,26.322119999999995
1,3,0.12,0.12,player,Away,20,away_20,False,True,0.5596,0.67775,58.757999999999996,46.086999999999996
1,3,0.12,0.12,player,Away,21,away_21,False,True,0.55243,0.43269,58.00515,29.42292
1,3,0.12,0.12,player,Away,22,away_22,False,True,0.50067,0.94322,52.57035,64.13896
1,3,0.12,0.12,player,Away,23,away_23,False,True,0.43693,0.05001999999999995,45.877649999999996,3.401359999999997
1,3,0.12,0.12,player,Away,24,away_24,False,True,0.37833,0.27383,39.72465,18.620440000000002
1,3,0.12,0.12,player,Away,26,away_26,False,False,,,,
1,3,0.12,0.12,player,Away,27,away_27,False,False,,,,
1,3,0.12,0.12,player,Away,28,away_28,False,False,,,,
1,3,0.12,0.12,ball,,,,False,True,0.53716,0.42555999999999994,56.401799999999994,28.938079999999996
1,4,0.16,0.16,player,Home,11,home_11,True,True,0.00121,0.48238000000000003,0.12705,32.80184
1,4,0.16,0.16,player,Home,1,home_1,False,True,0.32622,0.65317,34.2531,44.41556
1,4,0.16,0.16,player,Home,2,home_2,False,True,0.33687,0.48988,35.37135,33.31184
1,4,0.16,0.16,player,Home,3,home_3,False,True,0.30944,0.35553999999999997,32.4912,24.176719999999996
1,4,0.16,0.16,player,Home,4,home_4,False,True,0.32142,0.21241,33.7491,14.44388
1,4,0.16,0.16,player,Home,5,home_5,False,True,0.41067,0.72565,43.120349999999995,49.3442
1,4,0.16,0.16,player,Home,6,home_6,False,True,0.41703,0.47965,43.78815,32.6162
1,4,0.16,0.16,player,Home,7,home_7,False,True,0.39134,0.32566000000000006,41.090700000000005,22.144880000000004
1,4,0.16,0.16,player,Home,8,home_8,False,True,0.45379,0.21053,47.64795,14.31604
1,4,0.16,0.16,player,Home,9,home_9,False,True,0.52731,0.3801,55.367549999999994,25.846799999999998
1,4,0.16,0.16,player,Home,10,home_10,False,True,0.55236,0.43313,57.9978,29.452840000000002
1,4,0.16,0.16,player,Home,12,home_12,False,False,,,,
1,4,0.16,0.16,player,Home,13,home_13,False,False,,,,
1,4,0.16,0.16,player,Home,14,home_14,False,False,,,,
1,4,0.16,0.16,player,Away,25,away_25,True,True,0.90377,0.47463,94.89585,32.27484
1,4,0.16,0.16,player,Away,15,away_15,False,True,0.58351,0.20867999999999998,61.26855,14.19024
1,4,0.16,0.16,player,Away,16,away_16,False,True,0.6764,0.4676199999999999,71.022,31.798159999999996
1,4,0.16,0.16,player,Away,17,away_17,False,True,0.67279,0.76542,70.64295,52.04856
1,4,0.16,0.16,player,Away,18,away_18,False,True,0.40771,0.61505,42.80955,41.8234
1,4,0.16,0.16,player,Away,19,away_19,False,True,0.45454,0.38817999999999997,47.7267,26.39624
1,4,0.16,0.16,player,Away,20,away_20,False,True,0.55974,0.67776,58.7727,46.08768
1,4,0.16,0.16,player,Away,21,away_21,False,True,0.55236,0.43313,57.9978,29.452840000000002
1,4,0.16,0.16,player,Away,22,away_22,False,True,0.50034,0.94391,52.5357,64.18588
1,4,0.16,0.16,player,Away,23,away_23,False,True,0.43644,0.05037999999999998,45.8262,3.4258399999999987
1,4,0.16,0.16,player,Away,24,away_24,False,True,0.37756,0.2747299999999999,39.6438,18.681639999999994
1,4,0.16,0.16,player,Away,26,away_26,False,False,,,,
1,4,0.16,0.16,player,Away,27,away_27,False,False,,,,
1,4,0.16,0.16,player,Away,28,away_28,False,False,,,,
1,4,0.16,0.16,ball,,,,False,True,0.55346,0.42230999999999996,58.113299999999995,28.717079999999996
1,5,0.2,0.2,player,Home,11,home_11,True,True,0.00129,0.48238000000000003,0.13545,32.80184
1,5,0.2,0.2,player,Home,1,home_1,False,True,0.32597,0.65269,34.22685,44.38292
1,5,0.2,0.2,player,Home,2,home_2,False,True,0.33664,0.49018000000000006,35.3472,33.332240000000006
1,5,0.2,0.2,player,Home,3,home_3,False,True,0.30948,0.35528000000000004,32.4954,24.159040000000005
1,5,0.2,0.2,player,Home,4,home_4,False,True,0.32136,0.21158999999999994,33.742799999999995,14.388119999999997
1,5,0.2,0.2,player,Home,5,home_5,False,True,0.41065,0.7251,43.11825,49.306799999999996
1,5,0.2,0.2,player,Home,6,home_6,False,True,0.41682,0.47951999999999995,43.7661,32.60736
1,5,0.2,0.2,player,Home,7,home_7,False,True,0.39141,0.32427000000000006,41.09805,22.050360000000005
1,5,0.2,0.2,player,Home,8,home_8,False,True,0.45376,0.20950000000000002,47.6448,14.246000000000002
1,5,0.2,0.2,player,Home,9,home_9,False,True,0.52737,0.37990999999999997,55.37385,25.833879999999997
1,5,0.2,0.2,player,Home,10,home_10,False,True,0.55202,0.43311,57.96209999999999,29.45148
1,5,0.2,0.2,player,Home,12,home_12,False,False,,,,
1,5,0.2,0.2,player,Home,13,home_13,False,False,,,,
1,5,0.2,0.2,player,Home,14,home_14,False,False,,,,
1,5,0.2,0.2,player,Away,25,away_25,True,True,0.90324,0.47463999999999995,94.84020000000001,32.27552
1,5,0.2,0.2,player,Away,15,away_15,False,True,0.58291,0.21038999999999997,61.20555,14.306519999999997
1,5,0.2,0.2,player,Away,16,away_16,False,True,0.67599,0.46768999999999994,70.97895,31.802919999999997
1,5,0.2,0.2,player,Away,17,away_17,False,True,0.67253,0.76564,70.61565,52.06352
1,5,0.2,0.2,player,Away,18,away_18,False,True,0.40736,0.61471,42.7728,41.80028
1,5,0.2,0.2,player,Away,19,away_19,False,True,0.45426,0.38725,47.6973,26.333
1,5,0.2,0.2,player,Away,20,away_20,False,True,0.55992,0.67791,58.791599999999995,46.09788
1,5,0.2,0.2,player,Away,21,away_21,False,True,0.55202,0.43311,57.96209999999999,29.45148
1,5,0.2,0.2,player,Away,22,away_22,False,True,0.50017,0.94434,52.51785,64.21512
1,5,0.2,0.2,player,Away,23,away_23,False,True,0.4358,0.04976999999999998,45.759,3.3843599999999987
1,5,0.2,0.2,player,Away,24,away_24,False,True,0.37663,0.27543000000000006,39.546150000000004,18.729240000000004
1,5,0.2,0.2,player,Away,26,away_26,False,False,,,,
1,5,0.2,0.2,player,Away,27,away_27,False,False,,,,
1,5,0.2,0.2,player,Away,28,away_28,False,False,,,,
1,5,0.2,0.2,ball,,,,False,True,0.55512,0.40569999999999995,58.2876,27.587599999999995
