window_s,feature,statistic,game1_value,game2_value,validation_gate
1,delta_x_m,min,-8.803049999999995,-9.07125,false
1,delta_x_m,q25,-0.964349999999996,-0.9692999999999969,false
1,delta_x_m,median,0.0030750000000026034,-0.002549999999999386,false
1,delta_x_m,q75,0.9621000000000004,0.9365999999999985,false
1,delta_x_m,max,8.951849999999993,8.630249999999997,false
1,delta_y_m,min,-11.100805714285714,-8.031577142857142,false
1,delta_y_m,q25,-0.7145828571428547,-0.7041885714285702,false
1,delta_y_m,median,-0.002622857142853263,-0.003302857142857718,false
1,delta_y_m,q75,0.6781542857142853,0.7034114285714281,false
1,delta_y_m,max,9.30074857142857,8.505925714285716,false
1,displacement_m,min,0,0,false
1,displacement_m,q25,0.846474857179567,0.8720447285835395,false
1,displacement_m,median,1.425668805307337,1.4140786917026595,false
1,displacement_m,q75,2.563498197936642,2.492174701818818,false
1,displacement_m,max,11.151076675766262,10.67189963218578,false
1,path_length_m,min,0,0,false
1,path_length_m,q25,0.8708848779398692,0.8987563866281791,false
1,path_length_m,median,1.441093705000306,1.4294458857589254,false
1,path_length_m,q75,2.585839129616409,2.5148596978994027,false
1,path_length_m,max,12.91379738960778,10.678556385159983,false
1,straightness_valid,min,0.006735071254229169,0.005846558391438861,false
1,straightness_valid,q25,0.9853964044608998,0.9844821715243581,false
1,straightness_valid,median,0.9971259511494375,0.9967808177763354,false
1,straightness_valid,q75,0.9994129288394041,0.999301468892221,false
1,straightness_valid,max,1.0000000000000002,1,false
1,zero_path_rate,rate,0.0014304766821545344,0.002237527281081288,false
1,invalid_straightness_rate,rate,0.0014304766821545344,0.002237527281081288,false
2,delta_x_m,min,-17.446800000000003,-17.715299999999996,false
2,delta_x_m,q25,-1.8909000000000002,-1.9007999999999985,false
2,delta_x_m,median,0.007199999999993878,-0.006450000000005014,false
2,delta_x_m,q75,1.8850499999999997,1.8340500000000013,false
2,delta_x_m,max,17.479650000000007,16.875000000000004,false
2,delta_y_m,min,-17.12337142857143,-15.122422857142858,false
2,delta_y_m,q25,-1.3885599999999956,-1.3639828571428545,false
2,delta_y_m,median,-0.006022857142855997,-0.005537142857146904,false
2,delta_y_m,q75,1.3171600000000008,1.3611657142857165,false
2,delta_y_m,max,16.006519999999995,16.02993142857143,false
2,displacement_m,min,0,0,false
2,displacement_m,q25,1.6409416647351907,1.6890800087476687,false
2,displacement_m,median,2.8065099618670826,2.7848810608259247,false
2,displacement_m,q75,4.9651552476869085,4.825440095404433,false
2,displacement_m,max,17.90955891421799,17.861469379651744,false
2,path_length_m,min,0,0,false
2,path_length_m,q25,1.7957985615686134,1.8534507053247475,false
2,path_length_m,median,2.9201545567462412,2.8938859652684035,false
2,path_length_m,q75,5.119954007605692,4.975290912278871,false
2,path_length_m,max,17.912464616301463,17.994965992193375,false
2,straightness_valid,min,0.003871742057058745,0.0057257782829533786,false
2,straightness_valid,q25,0.9407346843604318,0.9375340755201742,false
2,straightness_valid,median,0.988258794885266,0.9872367849665605,false
2,straightness_valid,q75,0.9976307069240792,0.9973166841502249,false
2,straightness_valid,max,1,1,false
2,zero_path_rate,rate,0.0013055228278198306,0.0020752008703382864,false
2,invalid_straightness_rate,rate,0.0013055228278198306,0.0020752008703382864,false
4,delta_x_m,min,-33.31679999999999,-30.970800000000008,false
4,delta_x_m,q25,-3.573900000000002,-3.6114749999999987,false
4,delta_x_m,median,0.013799999999999812,-0.020699999999997942,false
4,delta_x_m,q75,3.56685,3.456150000000001,false
4,delta_x_m,max,33.474000000000004,30.9306,false
4,delta_y_m,min,-31.20996,-26.419651428571434,false
4,delta_y_m,q25,-2.5827371428571455,-2.5322714285714265,false
4,delta_y_m,median,-0.013697142857140854,-0.01437714285714975,false
4,delta_y_m,q75,2.443920000000001,2.5261999999999993,false
4,delta_y_m,max,27.907297142857146,30.56570857142857,false
4,displacement_m,min,0,0,false
4,displacement_m,q25,3.0281083088793377,3.1253521475101715,false
4,displacement_m,median,5.365679515424388,5.346151327152866,false
4,displacement_m,q75,9.082650418717126,8.842937544831734,false
4,displacement_m,max,34.33003618468643,34.15533367696618,false
4,path_length_m,min,0,0,false
4,path_length_m,q25,3.7875538095199794,3.9083388191738266,false
4,path_length_m,median,6.053611242429314,5.997244799816018,false
4,path_length_m,q75,10.11298400300093,9.833243558422751,false
4,path_length_m,max,34.77900410778852,34.1761122653822,false
4,straightness_valid,min,0.0006184271197705114,0.0012711479082807647,false
4,straightness_valid,q25,0.8066826736047785,0.8001827770737061,false
4,straightness_valid,median,0.94916864265454,0.9458971293250584,false
4,straightness_valid,q75,0.9894450799220174,0.9883930249037245,false
4,straightness_valid,max,1,1,false
4,zero_path_rate,rate,0.0010822336009303978,0.0017924118030076958,false
4,invalid_straightness_rate,rate,0.0010822336009303978,0.0017924118030076958,false
