window_s,team_key,period,player_key,feature,count,min,q01,q25,median,mean,q75,q99,max
1,metrica:Away,1,metrica:Away:15,delta_x_m,1976,-5.128500000000001,-4.769812500000002,-0.8778374999999993,0.33562500000000206,-0.0293259109311741,1.1877374999999988,2.9993624999999975,3.934199999999997
1,metrica:Away,1,metrica:Away:15,delta_y_m,1976,-5.032680000000001,-3.4341457142857132,-0.8398485714285728,-0.11754285714285917,0.003039991324464998,0.9852957142857113,3.4873071428571394,3.847828571428572
1,metrica:Away,1,metrica:Away:15,displacement_m,1976,0,0.03436577747326773,1.131752214702435,1.5567055295545633,1.8718578696084764,2.5315503886694124,5.3345272552255025,6.17729291781784
1,metrica:Away,1,metrica:Away:15,path_length_m,1976,0,0.05562394339953294,1.147923794782353,1.5655415618693171,1.8915864964352826,2.5359135354503435,5.339992953200458,6.177654085280643
1,metrica:Away,1,metrica:Away:15,straightness,1960,0.15342650327103255,0.5956928503528045,0.9906924137022213,0.9979856544368927,0.9799571721640524,0.9995536119145534,0.9999817589507953,0.9999974263704149
1,metrica:Away,2,metrica:Away:15,delta_x_m,1266,-5.387249999999996,-4.830374999999998,-0.03607500000000474,0.32812500000000533,0.1327490521327014,1.1013,3.012292499999999,3.3634499999999967
1,metrica:Away,2,metrica:Away:15,delta_y_m,1266,-2.694645714285709,-2.3970582857142864,-0.4435299999999973,-0.004614285714286126,0.026338605280974942,0.19598571428571576,3.5093051428571447,3.867645714285712
1,metrica:Away,2,metrica:Away:15,displacement_m,1266,0,0,0.47642927554752856,1.1851421349349975,1.367641617572632,1.6522917239224353,5.456967590418359,5.683272300804694
1,metrica:Away,2,metrica:Away:15,path_length_m,1266,0,0,0.5237132271882672,1.2032667046949541,1.3878599596762817,1.6564094238578246,5.466342324473927,5.685233095620549
1,metrica:Away,2,metrica:Away:15,straightness,1146,0.14424054819695817,0.4297025995050723,0.9791461362419956,0.9967027334604747,0.9592240850069822,0.9991510689351334,0.9999463736336047,1
1,metrica:Away,1,metrica:Away:16,delta_x_m,13564,-7.1828999999999965,-4.482653999999996,-0.8104875000000011,0.0024000000000012345,-0.0008126253317605327,0.9765375000000008,3.7378830000000005,4.662449999999996
1,metrica:Away,1,metrica:Away:16,delta_y_m,13564,-4.92698857142857,-3.5646046857142832,-0.7580057142857131,-0.026325714285714064,-0.005938877701478702,0.7862742857142848,3.3613186857142847,4.558817142857141
1,metrica:Away,1,metrica:Away:16,displacement_m,13564,0.0019636201469817294,0.03889636922199224,0.913534038616985,1.4920340410544,1.7509827975129646,2.496746037547606,5.22699686237358,7.230932954826365
1,metrica:Away,1,metrica:Away:16,path_length_m,13564,0.00825761987815934,0.06004578707954341,0.9431640022404538,1.5122521787743919,1.7764700104663125,2.5197790936703472,5.233785715878019,7.276453664671362
1,metrica:Away,1,metrica:Away:16,straightness,13564,0.05872350420453264,0.41040424908063705,0.9831075846327708,0.9967313513296701,0.9654698167820229,0.999306946387287,0.9999861340284409,0.9999999621863739
1,metrica:Away,2,metrica:Away:16,delta_x_m,14614,-7.144650000000006,-3.6536354999999987,-0.8891625000000017,-0.016499999999997073,-0.0047732722047352065,0.6795374999999975,4.538474999999991,7.809600000000003
1,metrica:Away,2,metrica:Away:16,delta_y_m,14614,-5.666245714285717,-3.3089965714285725,-0.5771014285714295,0.021225714285716808,0.0016842726153003904,0.5992742857142843,3.22598508571428,4.9913942857142874
1,metrica:Away,2,metrica:Away:16,displacement_m,14614,0.000570892605789148,0.031159319174881708,0.6962635103313703,1.2541532651977954,1.5500651595598667,2.1674555984133312,5.523595169674919,8.001562339101191
1,metrica:Away,2,metrica:Away:16,path_length_m,14614,0.023556381769907084,0.052868186736028805,0.738453721404813,1.274231951558837,1.581821480714226,2.205331761253474,5.559110884212977,8.009106629254145
1,metrica:Away,2,metrica:Away:16,straightness,14614,0.00830849640115032,0.32042631250815384,0.9780009971544569,0.9958742790453892,0.9536418722115723,0.9991250291196307,0.9999731326828845,0.9999999280376863
1,metrica:Away,1,metrica:Away:17,delta_x_m,4696,-7.212900000000005,-4.138154999999987,-1.0949999999999998,-0.08257499999999851,-0.018691514054514493,1.1498249999999999,3.7665000000000024,4.302900000000001
1,metrica:Away,1,metrica:Away:17,delta_y_m,4696,-4.246211428571426,-2.996925142857143,-0.7294700000000007,-0.016222857142856206,-0.013332567534679972,0.6106642857142863,3.0891525714285715,3.9540057142857123
1,metrica:Away,1,metrica:Away:17,displacement_m,4696,0.005738303809683891,0.08020003900280635,0.9574183132467697,1.5397282717714025,1.7454717384301104,2.4048794655122343,4.568980104372981,7.215266092056175
1,metrica:Away,1,metrica:Away:17,path_length_m,4696,0.030203736729659647,0.11372940519349194,0.9950406411642472,1.565149746052874,1.7752019945373916,2.42981636119677,4.5727951543180465,7.251927416806871
1,metrica:Away,1,metrica:Away:17,straightness,4696,0.05539492233497503,0.49354037024323655,0.9859026909870642,0.996959564153602,0.9699385228664358,0.9993021947310972,0.9999647243074538,0.9999984463151477
1,metrica:Away,2,metrica:Away:17,delta_x_m,14637,-5.322599999999998,-3.404357999999997,-0.9344999999999999,-0.0013500000000021828,-0.0023475609756097725,0.6403500000000015,5.1912899999999915,6.858150000000002
1,metrica:Away,2,metrica:Away:17,delta_y_m,14637,-6.374611428571425,-3.3544827428571424,-0.495914285714286,0.008062857142858704,0.0009356562137049966,0.5799428571428575,3.159536457142856,4.920674285714286
1,metrica:Away,2,metrica:Away:17,displacement_m,14637,0.0008154140052780036,0.034973438398920725,0.6662952379388593,1.2131197639986264,1.4899077693915128,1.9254611907784251,5.727798752999632,7.593717937966215
1,metrica:Away,2,metrica:Away:17,path_length_m,14637,0.021164009051603254,0.05479233701984733,0.688179394696077,1.2298494594812128,1.5094389047523429,1.950314502927866,5.744024791192606,7.593881883817875
1,metrica:Away,2,metrica:Away:17,straightness,14637,0.009067862462401804,0.42934843863506533,0.9821575151933662,0.9962389922716126,0.9642696737979405,0.9991452203087743,0.9999840306924985,0.9999995806890808
1,metrica:Away,1,metrica:Away:18,delta_x_m,13582,-7.89824999999999,-5.076954000000002,-1.0411875000000008,0.009675000000000544,-0.0009124024444117165,1.044637499999999,5.0910345,7.855349999999996
1,metrica:Away,1,metrica:Away:18,delta_y_m,13582,-5.500325714285713,-3.1138773714285723,-0.9518057142857151,-0.08655428571428558,-0.004291315396428045,0.7601428571428528,3.8340877142857184,5.950194285714284
1,metrica:Away,1,metrica:Away:18,displacement_m,13582,0,0.15111189842471573,1.038489221071743,1.541424225462503,1.9522094707723479,2.6550917499993707,6.2725264041700965,8.329894782909122
1,metrica:Away,1,metrica:Away:18,path_length_m,13582,0,0.21992769607945975,1.0636063876531507,1.5579653093490768,1.9811555737396158,2.6799735558394815,6.2824698410392585,8.491099368796691
