window_s,check,violation_count,pass
1,duplicate_observation_ids,0,true
1,null_support_segment_ids,0,true
1,nonfinite_scientific_values,0,true
1,negative_path,0,true
1,negative_displacement,0,true
1,path_below_displacement,0,true
1,valid_straightness_outside_unit_interval,0,true
1,straightness_null_validity_mismatch,0,true
1,zero_path_nonzero_displacement,0,true
1,zero_path_valid_straightness,0,true
1,positive_path_invalid_straightness,0,true
1,positive_path_zero_displacement_nonzero_straightness,0,true
2,duplicate_observation_ids,0,true
2,null_support_segment_ids,0,true
2,nonfinite_scientific_values,0,true
2,negative_path,0,true
2,negative_displacement,0,true
2,path_below_displacement,0,true
2,valid_straightness_outside_unit_interval,0,true
2,straightness_null_validity_mismatch,0,true
2,zero_path_nonzero_displacement,0,true
2,zero_path_valid_straightness,0,true
2,positive_path_invalid_straightness,0,true
2,positive_path_zero_displacement_nonzero_straightness,0,true
4,duplicate_observation_ids,0,true
4,null_support_segment_ids,0,true
4,nonfinite_scientific_values,0,true
4,negative_path,0,true
4,negative_displacement,0,true
4,path_below_displacement,0,true
4,valid_straightness_outside_unit_interval,0,true
4,straightness_null_validity_mismatch,0,true
4,zero_path_nonzero_displacement,0,true
4,zero_path_valid_straightness,0,true
4,positive_path_invalid_straightness,0,true
4,positive_path_zero_displacement_nonzero_straightness,0,true
