window_s,observable,denominator,signed_bias,absolute_signed_bias,median_absolute_error,p95_absolute_error,max_absolute_error,pass,relative_denominator,median_relative_error,p95_relative_error,validity_mismatch_count,numerator,match_rate
1,delta_x_m,417872,0.000000000000000015650925591725156,0.000000000000000015650925591725156,0,0.00000000000018030021919912542,0.000000000007013056801952189,true,,,,,,
1,delta_y_m,417872,-0.00000000000000006653295241540277,0.00000000000000006653295241540277,0,0.00000000000018118839761882555,0.000000000005559996907322784,true,,,,,,
1,path_length_m,417872,-0.00046522162183705546,0.00046522162183705546,0.00010370245645607845,0.0016137412838443,0.14404239815356057,true,295958,0.00003982486336833828,0.0006545814581670099,,,
1,straightness,416937,0.0005787225045816447,0.0005787225045816447,0.00006940738542426939,0.0025494779168650588,0.1510030324064141,true,,,,0,,
1,eligibility,417872,,,,,,true,,,,,417872,1
2,delta_x_m,417309,0.000000000000000032404301478173625,0.000000000000000032404301478173625,0,0.00000000000031796787425264483,0.000000000007212008767965017,true,,,,,,
2,delta_y_m,417309,-0.00000000000000012995397527947734,0.00000000000000012995397527947734,0,0.0000000000003019806626980426,0.000000000005092815058560518,true,,,,,,
2,path_length_m,417309,-0.000928028522325906,0.000928028522325906,0.0002770206438498235,0.002905880083628883,0.1495498058750684,true,371265,0.00007141550325850763,0.001067512603226484,,,
2,straightness,416443,0.0004537512087447166,0.0004537512087447166,0.00008917045331069406,0.001891403762176854,0.09816752435089948,true,,,,0,,
2,eligibility,417309,,,,,,true,,,,,417309,1
4,delta_x_m,416199,0.00000000000000007514062975362658,0.00000000000000007514062975362658,0,0.0000000000004973799150320701,0.00000000000879296635503124,true,,,,,,
4,delta_y_m,416199,-0.0000000000000002729210636364855,0.0000000000000002729210636364855,0,0.00000000000044297898682543746,0.000000000006860290113763767,true,,,,,,
4,path_length_m,416199,-0.001847640328268809,0.001847640328268809,0.0007698165561258463,0.00519100207505003,0.21206563580978077,true,400422,0.00011754666535245087,0.0014382313907076278,,,
4,straightness,415453,0.0003426757671981904,0.0003426757671981904,0.0001094927655634903,0.001407070876159233,0.07207219741354504,true,,,,0,,
4,eligibility,416199,,,,,,true,,,,,416199,1
