block_id,team,player,period,frames,start_s,end_s
metrica:Away:15|P1|S001|O001,Away,15,1,4,0.2,0.32
metrica:Away:15|P1|S002|O001,Away,15,1,2556,2329.72,2431.92
metrica:Away:15|P1|S002|O002,Away,15,1,1739,2432.28,2501.8
metrica:Away:15|P1|S002|O003,Away,15,1,5197,2509.68,2717.52
metrica:Away:15|P2|S001|O001,Away,15,2,10,2717.84,2718.2
metrica:Away:15|P2|S002|O001,Away,15,2,3446,5392.0,5529.8
metrica:Away:15|P2|S002|O002,Away,15,2,1631,5530.24,5595.44
metrica:Away:15|P2|S002|O003,Away,15,2,364,5595.88,5610.4
metrica:Away:15|P2|S002|O004,Away,15,2,883,5610.84,5646.12
metrica:Away:16|P1|S001|O001,Away,16,1,43,0.2,1.88
metrica:Away:16|P1|S001|O002,Away,16,1,445,2.24,20.0
metrica:Away:16|P1|S001|O003,Away,16,1,5419,27.08,243.8
metrica:Away:16|P1|S001|O004,Away,16,1,709,254.36,282.68
metrica:Away:16|P1|S001|O005,Away,16,1,409,326.12,342.44
metrica:Away:16|P1|S001|O006,Away,16,1,1191,349.0,396.6
metrica:Away:16|P1|S001|O007,Away,16,1,35,418.72,420.08
metrica:Away:16|P1|S001|O008,Away,16,1,3078,428.8,551.88
metrica:Away:16|P1|S001|O009,Away,16,1,737,552.24,581.68
metrica:Away:16|P1|S001|O010,Away,16,1,360,593.96,608.32
metrica:Away:16|P1|S001|O011,Away,16,1,3064,618.16,740.68
metrica:Away:16|P1|S001|O012,Away,16,1,2144,779.6,865.32
metrica:Away:16|P1|S001|O013,Away,16,1,1017,865.68,906.32
metrica:Away:16|P1|S001|O014,Away,16,1,2749,917.24,1027.16
metrica:Away:16|P1|S001|O015,Away,16,1,567,1036.92,1059.56
metrica:Away:16|P1|S001|O016,Away,16,1,1537,1084.4,1145.84
metrica:Away:16|P1|S001|O017,Away,16,1,1732,1146.2,1215.44
metrica:Away:16|P1|S001|O018,Away,16,1,2454,1215.8,1313.92
metrica:Away:16|P1|S001|O019,Away,16,1,943,1314.28,1351.96
metrica:Away:16|P1|S001|O020,Away,16,1,1017,1448.84,1489.48
metrica:Away:16|P1|S001|O021,Away,16,1,209,1489.84,1498.16
metrica:Away:16|P1|S001|O022,Away,16,1,314,1531.68,1544.2
metrica:Away:16|P1|S001|O023,Away,16,1,521,1565.16,1585.96
metrica:Away:16|P1|S001|O024,Away,16,1,290,1586.32,1597.88
metrica:Away:16|P1|S001|O025,Away,16,1,1755,1603.48,1673.64
metrica:Away:16|P1|S001|O026,Away,16,1,654,1674.0,1700.12
metrica:Away:16|P1|S001|O027,Away,16,1,623,1700.48,1725.36
metrica:Away:16|P1|S001|O028,Away,16,1,371,1725.72,1740.52
metrica:Away:16|P1|S001|O029,Away,16,1,493,1811.8,1831.48
metrica:Away:16|P1|S001|O030,Away,16,1,2724,1838.88,1947.8
metrica:Away:16|P1|S001|O031,Away,16,1,975,1948.16,1987.12
metrica:Away:16|P1|S001|O032,Away,16,1,2161,1993.44,2079.84
metrica:Away:16|P1|S001|O033,Away,16,1,1678,2179.08,2246.16
metrica:Away:16|P1|S002|O001,Away,16,1,42,2247.0,2248.64
metrica:Away:16|P1|S003|O001,Away,16,1,1157,2249.52,2295.76
metrica:Away:16|P1|S003|O002,Away,16,1,2556,2329.72,2431.92
