candidate,quantity,n,min,q1,median,q3,max
A_game2_baseline,duration_s,29679,0.9999999999999982,1.2800000000002,1.8400000000000034,2.6799999999998363,33.59999999999991
A_game2_baseline,path_m,29679,0.005051428571427152,1.384121940959099,2.6554231084899453,5.2834885500187205,58.549686706288156
A_game2_baseline,displacement_m,29679,0.0047335399015959855,1.3473637774887304,2.5861379271900833,5.138934034952934,55.05754286270742
A_game2_baseline,peak_speed_mps,29679,0.00728571428574961,1.148294615312146,1.6911523981222791,3.1397006677709474,18.158793128102648
A_game2_baseline,displacement_path_ratio,29679,0.05786874691610471,0.9621646795895877,0.9868530479745609,0.9969272125519993,1.0
A_game2_baseline,absolute_heading_change_deg,29679,0.0,16.050409195798217,34.32667273593283,64.1154317939754,921.002307939069
B_game2_direction_aware,duration_s,25579,1.0,1.519999999999527,2.199999999999818,3.119999999999891,33.59999999999991
B_game2_direction_aware,path_m,25579,0.008132745082464789,1.5296788802355628,3.167761211063313,6.243339260307975,65.25196022327573
B_game2_direction_aware,displacement_m,25579,0.006449079826779558,1.4854062520694298,3.081836244846733,6.039916142998413,65.25025048922434
B_game2_direction_aware,peak_speed_mps,25579,0.00728571428574961,1.157904577627984,1.7523118839924994,3.2098234999994775,18.158793128102648
B_game2_direction_aware,displacement_path_ratio,25579,0.024007977673857428,0.9567787301401389,0.9820460733580503,0.9936867587022807,1.0
B_game2_direction_aware,absolute_heading_change_deg,25579,0.0,27.63731241181365,42.84406916532671,70.74443784874481,757.0899802646107
