episode_id,duration_s,path_m,displacement_m,delta_x_m,delta_y_m,displacement_path_ratio,path_displacement_ratio,peak_speed_mps,mean_speed_mps,start_speed_mps,end_speed_mps,max_chord_deviation_m,signed_heading_change_deg,absolute_heading_change_deg,heading_changes_ge45_count,team,player,period,block_id,start_frame,end_frame,start_s,end_s,start_x_m,start_y_m,end_x_m,end_y_m,start_boundary_kind,end_boundary_kind,method_b_overlap,diag_short,diag_tiny_path,diag_tiny_displacement,diag_long,diag_low_displacement_path_ratio,diag_direction_change,diag_lower_speed_meaningful_displacement,diag_fragmentation_any,diag_merging_any
G2B000001,1.28,0.771982080938264,0.7536634705184263,-0.1171499999999952,0.7445028571428587,0.9762706792396355,1.0243060877121148,1.004815398316535,0.5848349098017152,0.0,0.5552486584442019,0.067850021358009,-18.75685493852607,63.24533330741667,0,Home,1,1,metrica:Home:1|P1|S001|O001,6,38,0.24,1.52,15.552599999999998,14.548599999999997,15.435450000000003,15.293102857142856,valley,valley,False,True,True,False,False,False,False,False,True,False
G2B000002,1.6,1.7398950137235034,1.7150208131354392,-1.6138499999999958,0.58033142857143,0.9857036198208123,1.0145037310320384,1.2484584785662762,1.0609115937338436,0.0,1.16563876024595,0.09922472717669291,-24.135229602077846,39.36540893535879,0,Home,3,1,metrica:Home:3|P1|S001|O001,6,46,0.24,1.84,20.876099999999994,-3.8120800000000012,19.262249999999998,-3.231748571428571,valley,valley,False,False,False,False,False,False,False,False,False,False
G2B000003,1.12,0.37287832604358184,0.2963203462470873,0.15869999999998896,-0.25023999999999447,0.7946837494986327,1.2583622109183705,0.4907004065930582,0.3214468327961912,0.0,0.39457070445775133,0.0877713144409734,0.0,0.0,0,Home,4,1,metrica:Home:4|P1|S001|O001,6,34,0.24,1.36,15.065400000000013,-17.852040000000002,15.224100000000002,-18.102279999999997,valley,valley,False,True,True,True,False,False,False,False,True,False
G2B000004,1.04,0.03645897179824582,0.009326920549615078,0.00015000000000298108,-0.009325714285717268,0.2558196265442634,3.9090042210931544,0.1313637310939839,0.03375830722059797,0.0,0.07697966369404814,0.005241509520432672,0.0,0.0,0,Away,24,1,metrica:Away:24|P1|S001|O001,20,46,0.8,1.84,-0.5071500000000029,9.360880000000002,-0.5069999999999999,9.351554285714284,valley,valley,False,True,True,True,False,True,False,False,True,True
G2B000005,1.3200000000000003,1.5899011996819565,1.5644098264684405,-1.5326999999999984,-0.31338285714285785,0.9839666935161661,1.0162945621935022,1.290935211150358,1.2015065203540252,1.1036916999879514,1.2117045444583563,0.12336387902081679,33.83232072161447,33.83232072161447,0,Home,3,1,metrica:Home:3|P1|S001|O002,57,90,2.28,3.6,18.7908,-3.076708571428572,17.258100000000002,-3.39009142857143,valley,valley,False,True,False,False,False,False,False,False,True,False
G2B000006,3.56,6.194410561158084,6.102150808298361,5.062800000000003,3.406508571428569,0.9851059673961173,1.0151192187407527,2.715544184056097,1.7285179144250855,0.7063482693055791,2.5884252267231074,0.47074006062292,10.847484985330905,63.296641684747804,0,Away,18,1,metrica:Away:18|P1|S001|O002,60,149,2.4,5.96,-13.827,13.268354285714286,-8.764199999999997,16.674862857142855,valley,valley,False,False,False,False,False,False,False,True,False,False
G2B000007,4.32,9.915261823320753,9.80717958732077,9.802649999999998,0.29803428571428014,0.9890994067604172,1.0110207256875072,3.9443135782181677,2.276559791410261,0.26347168069959737,0.2591271676816022,0.49260694259599763,-46.46670343540179,62.26367962757545,0,Away,22,1,metrica:Away:22|P1|S002|O002,60,168,2.4,6.72,-0.5108999999999994,32.5414,9.291749999999999,32.83943428571428,valley,direction,False,False,False,False,False,False,False,True,False,False
G2B000008,1.2799999999999998,0.32804280251214635,0.3123269111795171,-0.3028499999999994,0.07635428571428271,0.952091948939964,1.050318723011339,0.30514483220665056,0.2528410967450724,0.14268612978373096,0.24230020435524305,0.03269205321257748,0.0,0.0,0,Home,2,1,metrica:Home:2|P1|S001|O002,64,96,2.56,3.84,18.618,5.027142857142859,18.31515,5.103497142857142,valley,valley,False,True,True,True,False,False,False,False,True,False
G2B000009,3.8399999999999994,6.353422970324192,6.17041154156624,-2.569199999999995,5.610097142857144,0.9711948299975041,1.029659517444682,3.4498776227925845,1.6376490985855137,0.016388304690017973,3.3971699123336623,0.4445002570890484,-60.45355721483815,63.96745962018546,0,Home,6,1,metrica:Home:6|P1|S001|O002,68,164,2.72,6.56,11.085599999999996,1.8215257142857124,8.5164,7.431622857142856,valley,valley,False,False,False,False,False,False,False,True,False,False
G2B000010,1.1199999999999997,0.4653465645417885,0.45650055591535466,-0.41880000000000805,0.18165714285714474,0.9809904933215866,1.0193778704358776,0.5131012264869963,0.41090823961460965,0.2826748352789617,0.5117200000179977,0.03647883274792844,-0.5580493490645901,1.5994230418064428,0,Home,7,1,metrica:Home:7|P1|S002|O002,68,96,2.72,3.84,8.679600000000002,-3.821502857142858,8.260799999999994,-3.6398457142857135,valley,valley,False,True,True,True,False,False,False,False,True,False
