history,outer_heldout_match,model,inner_heldout_match,alpha,MAE,constant_features_removed,solver
2s,J03WMX,B3,J03WR9,10.0,2.1371875303666723,0,solve
2s,J03WMX,B3,J03WR9,100.0,2.137401062893636,0,solve
2s,J03WMX,B4,J03WN1,0.01,1.920598784033949,0,solve
2s,J03WMX,B4,J03WN1,0.1,1.9206015326819712,0,solve
2s,J03WMX,B4,J03WN1,1.0,1.920628965987555,0,solve
2s,J03WMX,B4,J03WN1,10.0,1.9208989747736667,0,solve
2s,J03WMX,B4,J03WN1,100.0,1.9233201188770952,0,solve
2s,J03WMX,B4,J03WOH,0.01,2.114784168575082,0,solve
2s,J03WMX,B4,J03WOH,0.1,2.114781911284134,0,solve
2s,J03WMX,B4,J03WOH,1.0,2.114759688793191,0,solve
2s,J03WMX,B4,J03WOH,10.0,2.1145627388310335,0,solve
2s,J03WMX,B4,J03WOH,100.0,2.1138135727665093,0,solve
2s,J03WMX,B4,J03WOY,0.01,2.118009341830919,0,solve
2s,J03WMX,B4,J03WOY,0.1,2.1180100323617825,0,solve
2s,J03WMX,B4,J03WOY,1.0,2.118016923640003,0,solve
2s,J03WMX,B4,J03WOY,10.0,2.118084671379533,0,solve
2s,J03WMX,B4,J03WOY,100.0,2.118728587691465,0,solve
2s,J03WMX,B4,J03WPY,0.01,2.075982924318428,0,solve
2s,J03WMX,B4,J03WPY,0.1,2.0759840277840063,0,solve
2s,J03WMX,B4,J03WPY,1.0,2.0759951150778453,0,solve
2s,J03WMX,B4,J03WPY,10.0,2.0761086523089025,0,solve
2s,J03WMX,B4,J03WPY,100.0,2.077322398361315,0,solve
2s,J03WMX,B4,J03WQQ,0.01,2.231937397579685,0,solve
2s,J03WMX,B4,J03WQQ,0.1,2.2319372244818023,0,solve
2s,J03WMX,B4,J03WQQ,1.0,2.231935497131662,0,solve
2s,J03WMX,B4,J03WQQ,10.0,2.231918582288216,0,solve
2s,J03WMX,B4,J03WQQ,100.0,2.231847012056974,0,solve
2s,J03WMX,B4,J03WR9,0.01,2.1316008558828945,0,solve
2s,J03WMX,B4,J03WR9,0.1,2.1316009532607283,0,solve
2s,J03WMX,B4,J03WR9,1.0,2.1316019129309813,0,solve
2s,J03WMX,B4,J03WR9,10.0,2.131613490628059,0,solve
2s,J03WMX,B4,J03WR9,100.0,2.131755671462802,0,solve
2s,J03WN1,B1,J03WMX,0.01,2.1704720432664177,0,solve
2s,J03WN1,B1,J03WMX,0.1,2.1704724361784464,0,solve
2s,J03WN1,B1,J03WMX,1.0,2.1704763652058596,0,solve
2s,J03WN1,B1,J03WMX,10.0,2.1705156461961006,0,solve
2s,J03WN1,B1,J03WMX,100.0,2.170909054675339,0,solve
2s,J03WN1,B1,J03WOH,0.01,2.176007848328357,0,solve
2s,J03WN1,B1,J03WOH,0.1,2.176008277444012,0,solve
2s,J03WN1,B1,J03WOH,1.0,2.17601256849794,0,solve
2s,J03WN1,B1,J03WOH,10.0,2.1760554687794733,0,solve
