scope,group,n,mean_residual,median_residual,residual_sd,mean_absolute_residual
match,J03WMX,6948,0.013067068174643556,-0.5139860219911938,2.8901347243192412,2.1139455310038757
match,J03WN1,5436,-0.13406187056884095,-0.6059929433141309,2.6581172602786483,1.9182028181020585
match,J03WOH,6115,0.02566919731603352,-0.4642940817896255,2.8956026993435926,2.110713100641036
match,J03WOY,6342,0.02441051266275905,-0.46131350264722815,3.0572116529900852,2.1209970572661976
match,J03WPY,7074,-0.03172068113559357,-0.5565506272407417,2.902451867891702,2.0734508930916684
match,J03WQQ,6296,0.059285209932979754,-0.5166921605012005,3.092114333662747,2.2326691805787022
match,J03WR9,6556,0.020075293722326634,-0.5333338019741953,2.9196798075539645,2.13192827252855
defending_team,DFL-CLU-000005,4464,-0.09332045124575916,-0.5905860163226762,2.8259995207081783,2.048746943109326
defending_team,DFL-CLU-000008,4320,-0.05433058970021523,-0.6003731616244465,2.8285586814999597,2.067355182503633
defending_team,DFL-CLU-00000B,2856,-0.24706028775309255,-0.6757135832228625,2.525988231134871,1.8414926342681477
defending_team,DFL-CLU-00000G,2628,0.12385773865386346,-0.39388238792773844,2.9852953571975918,2.190532405250849
defending_team,DFL-CLU-00000H,2650,-0.15773767015454213,-0.6781930454293756,3.0603489468455205,2.160455538192387
defending_team,DFL-CLU-00000I,4118,0.03991733362195517,-0.4817414025849671,2.840784157024575,2.0941468410574666
defending_team,DFL-CLU-00000P,14598,0.06408252385473981,-0.45867769887237086,3.071300082164457,2.1878801981314826
defending_team,DFL-CLU-00000Q,3038,0.09676395003082887,-0.41622921713437444,2.9470696482815586,2.1091801434446342
defending_team,DFL-CLU-00000S,2580,-0.008975250616041597,-0.5235123875493475,2.791783102458824,2.003119207648434
defending_team,DFL-CLU-000011,3515,0.009394594285471354,-0.5188802494456057,2.836176143305264,2.053740498185098
player,DFL-OBJ-00002Z,17,0.00849630655625981,0.3564551145831931,2.8111697098923014,2.014698632053871
player,DFL-OBJ-00003X,244,0.02566515646145439,-0.5071615702985028,3.2796407657973954,2.426840544334805
player,DFL-OBJ-00005H,43,0.4920559729339385,-0.24092762523159816,3.2587815169727508,2.522696020212488
player,DFL-OBJ-00006V,206,-0.13089070818408144,-0.6953012664159326,2.840333438925776,2.08399598395582
player,DFL-OBJ-00008F,447,-0.32480045971113625,-0.8238023044941329,2.4008955370756637,1.8196434002005761
player,DFL-OBJ-00008K,664,0.016403068614958986,-0.7056145790032369,3.2165267468163856,2.3561980692829274
player,DFL-OBJ-0000EJ,402,-0.6060864839529244,-0.9029087359136677,2.7280745778708484,1.9917081205747047
player,DFL-OBJ-0000F8,902,0.05087952128021196,-0.33715417475684695,2.940007766242845,2.100162841017236
player,DFL-OBJ-0000F9,212,0.16960667356680326,-0.3650899044182805,2.913068948598971,2.1286767364710686
player,DFL-OBJ-0000IA,193,0.5218234577676698,-0.0877846118496306,3.316298003148132,2.363466075039147
player,DFL-OBJ-0000NZ,1461,0.14692517184033907,-0.3772436296548811,3.1065516982218004,2.235526813719709
player,DFL-OBJ-0000RP,38,0.2415844483528915,-0.7028832854090636,3.01338829664771,2.3866811435310846
player,DFL-OBJ-0000XU,154,0.07076785680506259,-0.05665365672304157,2.3675499199249335,1.6783010510828662
player,DFL-OBJ-0000YE,364,0.3108135681475341,-0.34637899259162763,2.98483895091048,2.196475889663625
player,DFL-OBJ-0000YV,241,0.3472839137451969,-0.019171900907121397,2.5662510860891876,1.852817224868946
player,DFL-OBJ-00012X,432,-0.014202651099713805,-0.7381961378693234,2.9520806098241152,2.1617832167507176
player,DFL-OBJ-000172,253,-0.5478603939668043,-1.1534659086819659,2.7332449375942347,2.0970179389212658
player,DFL-OBJ-00017G,90,-0.4040813631939559,-0.817414937417619,2.4518660145740623,1.9082920607593412
player,DFL-OBJ-000191,18,0.7761387159428791,0.1813960543223465,2.9945158580944926,2.127964350745461
player,DFL-OBJ-000199,258,0.14034967686613073,-0.5897325934202913,3.036172056706875,2.193554432199993
player,DFL-OBJ-00019R,285,0.7337705071860001,0.2282000322134241,3.085273840699872,2.2620236035251757
player,DFL-OBJ-0001BX,45,-0.9222483480362671,-1.098644868585677,1.706308192991592,1.6160224639338974
player,DFL-OBJ-0001CF,20,1.965736625207357,1.1408786914654798,3.5859526272635454,2.7119153351247354
player,DFL-OBJ-0001IG,304,0.16021499192199998,-0.3852003710384533,2.925659641790596,2.194395016645887
player,DFL-OBJ-0001LJ,402,0.3965286525542441,-0.29913458962640815,3.300188630352323,2.2789956500373987
player,DFL-OBJ-0001UP,316,-0.16939761489123217,-0.5723334224356127,2.5181920670145135,1.7718476325884898
player,DFL-OBJ-0001ZY,412,0.48968009597048867,-0.021757349194152287,3.0349601269675723,2.1332861314901064
