model,2s_median_MAE,1s_median_MAE
B0,2.6659293100277877,2.6659293100277877
B1,2.165298199566168,2.0888679780457733
B2,2.1289022617073408,2.0596627366872964
B3,2.1192310831356256,2.0531672619344934
B4,2.1139455310038757,2.048268999003212
