prior,current,outer_heldout_match,prior_MAE,current_MAE,absolute_MAE_change,relative_MAE_improvement
B0,B1,J03WMX,2.73049291982639,2.1591030902891606,-0.5713898295372295,0.20926252010701407
B0,B1,J03WN1,2.4913646142689476,2.0287428504665943,-0.4626217638023533,0.18569010780387218
B0,B1,J03WOH,2.657639749451241,2.1623011733421835,-0.4953385761090576,0.18638288963405852
B0,B1,J03WOY,2.6659293100277877,2.19954821611364,-0.4663810939141477,0.17494128301147135
B0,B1,J03WPY,2.6744337256840143,2.165298199566168,-0.5091355261178463,0.19037133776333515
B0,B1,J03WQQ,2.8034095757362762,2.2795466295972315,-0.5238629461390447,0.18686636111723326
B0,B1,J03WR9,2.6154624513088756,2.181730545688189,-0.43373190562068675,0.16583373445244112
B1,B2,J03WMX,2.1591030902891606,2.1289022617073408,-0.030200828581819827,0.013987673269355167
B1,B2,J03WN1,2.0287428504665943,1.9408141800192442,-0.08792867044735009,0.04334145671893666
B1,B2,J03WOH,2.1623011733421835,2.123723043797979,-0.038578129544204476,0.017841237853363313
B1,B2,J03WOY,2.19954821611364,2.158186835259015,-0.04136138085462493,0.018804489281760754
B1,B2,J03WPY,2.165298199566168,2.111705979978412,-0.05359221958775606,0.024750503001615954
B1,B2,J03WQQ,2.2795466295972315,2.2496304345400646,-0.029916195057166917,0.013123747796487386
B1,B2,J03WR9,2.181730545688189,2.1559226300384062,-0.025807915649782576,0.011829103140526421
B2,B3,J03WMX,2.1289022617073408,2.1192310831356256,-0.009671178571715178,0.0045428006469207605
B2,B3,J03WN1,1.9408141800192442,1.9263492129167603,-0.014464967102483905,0.007453040714253478
B2,B3,J03WOH,2.123723043797979,2.1117486240254193,-0.011974419772559752,0.005638409305549179
B2,B3,J03WOY,2.158186835259015,2.1256699407115796,-0.03251689454743545,0.015066765312528157
B2,B3,J03WPY,2.111705979978412,2.084724561054805,-0.02698141892360706,0.01277707179854787
B2,B3,J03WQQ,2.2496304345400646,2.2377857897406814,-0.011844644799383186,0.005265151385545162
B2,B3,J03WR9,2.1559226300384062,2.137541029428108,-0.018381600610298143,0.008526094746716718
B3,B4,J03WMX,2.1192310831356256,2.1139455310038757,-0.00528555213174986,0.002494089565697257
B3,B4,J03WN1,1.9263492129167603,1.9182028181020585,-0.008146394814701807,0.0042289293966419695
B3,B4,J03WOH,2.1117486240254193,2.110713100641036,-0.0010355233843832856,0.0004903629970926033
B3,B4,J03WOY,2.1256699407115796,2.1209970572661976,-0.00467288344538197,0.0021983109211290335
B3,B4,J03WPY,2.084724561054805,2.0734508930916684,-0.011273667963136447,0.005407749385094944
B3,B4,J03WQQ,2.2377857897406814,2.2326691805787022,-0.005116609161979202,0.0022864606547403823
B3,B4,J03WR9,2.137541029428108,2.13192827252855,-0.005612756899557869,0.0026258007786917397
