model,median_MAE,MAE_min,MAE_max,MAE_IQR,median_relative_improvement_vs_B0,matches_improved_vs_B0,matches_worsened_10pct_or_more_vs_B0
B0,2.6659293100277877,2.4913646142689476,2.8034095757362762,0.0659122223751436,0.0,0,0
B1,2.165298199566168,2.0287428504665943,2.2795466295972315,0.029937249085242534,0.18638288963405852,7,0
B2,2.1289022617073408,1.9408141800192442,2.2496304345400646,0.039340220760515354,0.20089882602166342,7,0
B3,2.1192310831356256,1.9263492129167603,2.2377857897406814,0.03336889252973174,0.20540448551709817,7,0
B4,2.1139455310038757,1.9182028181020585,2.2326691805787022,0.034380668031021244,0.20579412575505635,7,0
