observation_id,anchor_id,period,time_period_s,time_match_s,block_id,focal_attacker_key,attacking_team,defending_team,recipient_keys_ranked,defender_keys_ranked,O,O_fixed_start,O_three_nearest,A,D,S0,MR,Apre,Dpre,D_deformation,local_separation_change,remote_separation_change,recipient_nearest_identity_churn
OR1|P1|T770.04|metrica:Away:19,P1|T770.04,1,770.04,770.04,12,metrica:Away:19,metrica:Away,metrica:Home,metrica:Away:15|metrica:Away:18|metrica:Away:16|metrica:Away:20|metrica:Away:23|metrica:Away:24|metrica:Away:21|metrica:Away:17|metrica:Away:22,metrica:Home:8|metrica:Home:7|metrica:Home:10|metrica:Home:6|metrica:Home:4|metrica:Home:3|metrica:Home:2|metrica:Home:9|metrica:Home:5|metrica:Home:1,-1.3453486926190807,-2.8367287293304266,-2.2380624478277857,5.087223488430173,0.8779772124953542,1.7081422663376156,-2.1451564536440224,9.165102392610626,-0.0025229695816126885,-0.032325651531833755,0.06556981043472494,1.4109185030538056,2
OR1|P1|T770.04|metrica:Away:20,P1|T770.04,1,770.04,770.04,12,metrica:Away:20,metrica:Away,metrica:Home,metrica:Away:16|metrica:Away:21|metrica:Away:23|metrica:Away:17|metrica:Away:24|metrica:Away:19|metrica:Away:22|metrica:Away:15|metrica:Away:18,metrica:Home:10|metrica:Home:9|metrica:Home:6|metrica:Home:5|metrica:Home:7|metrica:Home:2|metrica:Home:1|metrica:Home:3|metrica:Home:8|metrica:Home:4,0.0660517360512376,2.5008972364586923,0.31013302614447635,4.554956010332441,0.24844573273951975,-6.653315658523551,1.582902341032839,5.558226081416408,1.6232348453206296,0.13758045596066415,0.029974431967432064,-0.03607730408380553,3
OR1|P1|T770.04|metrica:Away:21,P1|T770.04,1,770.04,770.04,12,metrica:Away:21,metrica:Away,metrica:Home,metrica:Away:23|metrica:Away:24|metrica:Away:20|metrica:Away:22|metrica:Away:16|metrica:Away:17|metrica:Away:19|metrica:Away:15|metrica:Away:18,metrica:Home:5|metrica:Home:6|metrica:Home:1|metrica:Home:2|metrica:Home:3|metrica:Home:9|metrica:Home:10|metrica:Home:7|metrica:Home:4|metrica:Home:8,-0.14971127045131527,0.15569414993694713,0.25016494100773634,6.332891886796936,-0.44654863372039033,-4.919157547146004,1.9150385679106519,9.414304249050092,0.6081594546655238,-0.26291634146042164,-1.2870495701357727,-1.1373382996844574,2
OR1|P1|T770.04|metrica:Away:22,P1|T770.04,1,770.04,770.04,12,metrica:Away:22,metrica:Away,metrica:Home,metrica:Away:17|metrica:Away:21|metrica:Away:20|metrica:Away:23|metrica:Away:24|metrica:Away:16|metrica:Away:19|metrica:Away:15|metrica:Away:18,metrica:Home:5|metrica:Home:9|metrica:Home:1|metrica:Home:2|metrica:Home:6|metrica:Home:3|metrica:Home:10|metrica:Home:7|metrica:Home:4|metrica:Home:8,1.1574755982760383,2.0107955916795386,1.6536202561797329,6.63172940460729,-0.2283044421098499,-3.534618152380493,0.8082842007612703,6.428399727178928,-0.5695572172097674,-0.11548691408638478,0.020137298591580866,-1.1373382996844574,3
OR1|P1|T770.04|metrica:Away:23,P1|T770.04,1,770.04,770.04,12,metrica:Away:23,metrica:Away,metrica:Home,metrica:Away:24|metrica:Away:21|metrica:Away:20|metrica:Away:22|metrica:Away:19|metrica:Away:16|metrica:Away:17|metrica:Away:15|metrica:Away:18,metrica:Home:2|metrica:Home:6|metrica:Home:3|metrica:Home:1|metrica:Home:5|metrica:Home:7|metrica:Home:10|metrica:Home:4|metrica:Home:9|metrica:Home:8,-1.5389178402785813,-0.04753780356723483,0.10221331621181662,8.735424081452814,-0.3141319058256793,-3.839069579952982,1.6547730464403116,9.18246017179054,1.256546943439991,0.008018029095049561,-1.354816907157138,0.18410093312144316,2
OR1|P1|T770.04|metrica:Away:24,P1|T770.04,1,770.04,770.04,12,metrica:Away:24,metrica:Away,metrica:Home,metrica:Away:23|metrica:Away:21|metrica:Away:20|metrica:Away:19|metrica:Away:22|metrica:Away:16|metrica:Away:17|metrica:Away:18|metrica:Away:15,metrica:Home:2|metrica:Home:3|metrica:Home:6|metrica:Home:1|metrica:Home:5|metrica:Home:7|metrica:Home:4|metrica:Home:10|metrica:Home:8|metrica:Home:9,-1.6465548201347664,0.7882906802726884,-0.14824841966006103,4.383218764977583,-0.5305757744072996,-3.0794092851448296,3.1055081519320558,8.03773469696898,1.2957917700784123,-0.0852346639459789,-1.4624538870133232,0.18410093312144316,3
OR1|P1|T774.04|metrica:Away:15,P1|T774.04,1,774.04,774.04,12,metrica:Away:15,metrica:Away,metrica:Home,metrica:Away:19|metrica:Away:16|metrica:Away:18|metrica:Away:20|metrica:Away:23|metrica:Away:21|metrica:Away:24|metrica:Away:17|metrica:Away:22,metrica:Home:7|metrica:Home:10|metrica:Home:8|metrica:Home:6|metrica:Home:9|metrica:Home:4|metrica:Home:3|metrica:Home:2|metrica:Home:5|metrica:Home:1,-0.08736561587161251,1.2070351339233683,0.8389007471376168,2.650148215675768,1.3748694482777455,-2.8818294178254247,0.89574285665097,2.7135161064323436,0.4253749292625475,0.06655833243547882,2.1018057309972744,2.189171346868887,2
OR1|P1|T774.04|metrica:Away:16,P1|T774.04,1,774.04,774.04,12,metrica:Away:16,metrica:Away,metrica:Home,metrica:Away:20|metrica:Away:17|metrica:Away:19|metrica:Away:15|metrica:Away:21|metrica:Away:23|metrica:Away:24|metrica:Away:18|metrica:Away:22,metrica:Home:10|metrica:Home:9|metrica:Home:7|metrica:Home:6|metrica:Home:5|metrica:Home:3|metrica:Home:8|metrica:Home:2|metrica:Home:4|metrica:Home:1,-3.805860088312925,-2.5114593385179447,-3.335432221536467,1.6901156521442662,2.447563040250299,-1.543600015929365,3.0012345642265306,1.9537755850604333,1.4900575564197682,0.7506998863075234,-1.005830398762334,2.800029689550591,3
OR1|P1|T774.04|metrica:Away:17,P1|T774.04,1,774.04,774.04,12,metrica:Away:17,metrica:Away,metrica:Home,metrica:Away:16|metrica:Away:20|metrica:Away:21|metrica:Away:22|metrica:Away:24|metrica:Away:19|metrica:Away:23|metrica:Away:15|metrica:Away:18,metrica:Home:9|metrica:Home:5|metrica:Home:10|metrica:Home:6|metrica:Home:1|metrica:Home:7|metrica:Home:2|metrica:Home:3|metrica:Home:8|metrica:Home:4,-3.100275633132651,-5.14101533566779,-1.3048637487230823,5.1320721863193945,1.199915796805176,-1.8832681734076333,-0.24926399771304153,4.352841467458498,0.49278716581825543,0.46381530254905723,-1.269978186470002,1.8302974466626492,3
OR1|P1|T774.04|metrica:Away:18,P1|T774.04,1,774.04,774.04,12,metrica:Away:18,metrica:Away,metrica:Home,metrica:Away:19|metrica:Away:15|metrica:Away:23|metrica:Away:24|metrica:Away:20|metrica:Away:21|metrica:Away:16|metrica:Away:17|metrica:Away:22,metrica:Home:8|metrica:Home:4|metrica:Home:7|metrica:Home:10|metrica:Home:3|metrica:Home:6|metrica:Home:2|metrica:Home:9|metrica:Home:1|metrica:Home:5,-3.1409703946528924,0.19417005767722673,-1.651084886878472,3.518848123478377,2.41379381977685,-5.478831946035099,1.2604202746532667,4.40162469399907,0.9202316646034903,1.593323588515625,-0.45136733024670955,2.689603064406183,3
