predictor,estimate,ci_low,ci_high,valid_bootstrap,attempted_bootstrap
A,-0.04776042622495763,-0.0918594256518747,-0.0027101741678301834,2000,2000
D,0.00914446241441045,-0.0641122704162272,0.08426573582943171,2000,2000
S0,-0.09733026496779539,-0.12167084337708334,-0.0755420925386272,2000,2000
MR,0.02905349488583782,-0.05096789769929766,0.10482061525496421,2000,2000
Apre,0.015944526496522143,-0.03612621286712237,0.06678138324409698,2000,2000
Dpre,0.019062100053879396,-0.05252442963887143,0.09753678250347006,2000,2000
