predictor,estimate,ci_low,ci_high,valid_bootstrap,attempted_bootstrap
A,-0.049402450943340774,-0.09074332675178168,-0.004590338346964905,2000,2000
D,-0.028523626500487512,-0.10268150698197057,0.045783619776274175,2000,2000
S0,-0.08608557716940998,-0.10916154194236787,-0.0682206686977233,2000,2000
MR,-0.12653242414786375,-0.18790325900568866,-0.06656280552035344,2000,2000
Apre,-0.0005223621892024627,-0.046952857811847964,0.046696034696782046,2000,2000
Dpre,0.040809137874244734,-0.02971093757514376,0.11797755566368186,2000,2000
