predictor,estimate,ci_low,ci_high,valid_bootstrap,attempted_bootstrap
A,-0.042346596304979944,-0.08377998589121333,-0.0003794695806635187,2000,2000
D,-0.024068120793194883,-0.09391508349840921,0.04775547628240976,2000,2000
S0,-0.08714758511557413,-0.11033068138694509,-0.06919941100591248,2000,2000
MR,-0.1284067332792511,-0.18673308826549143,-0.07144641874545829,2000,2000
Apre,-0.004830178297783362,-0.0507460413063328,0.04145055232112099,2000,2000
Dpre,0.03968337307847683,-0.026769617103603503,0.11305615046871433,2000,2000
