predictor,estimate,ci_low,ci_high,valid_bootstrap,attempted_bootstrap
A,-0.025944661379187346,-0.06183646668734529,0.011871977395585072,2000,2000
D,-0.08116998421324036,-0.1525139633574253,-0.0028198363797103825,2000,2000
S0,-0.05910183401429299,-0.083673339697377,-0.038270763288731864,2000,2000
MR,-0.17964573758074276,-0.2291758588023161,-0.1288475735256602,2000,2000
Apre,-0.03528632368833426,-0.08240060459294805,0.012816994012325127,2000,2000
Dpre,0.029607758997371288,-0.03120534990142673,0.09178683874824493,2000,2000
