predictor,estimate,ci_low,ci_high,valid_bootstrap,attempted_bootstrap
A,-0.044032417991791965,-0.0852548102040106,-0.0024612689138343072,2000,2000
D,0.051219576281725285,-0.04476687594314139,0.1513915717100263,2000,2000
S0,-0.08728405278163355,-0.11040491742597855,-0.0693813532635074,2000,2000
MR,-0.12953759866319717,-0.1874207880910599,-0.072367975114348,2000,2000
Apre,-0.005065067299450656,-0.05102392756950129,0.04102859535886265,2000,2000
Dpre,0.013403958622146677,-0.041250101897764756,0.07218480920814047,2000,2000
