match_id,candidate_anchors,retained_anchors,retained_rows,period_1_anchors,period_2_anchors,majority_detected_rows
1874553,1504,655,5895,344,311,1506
1927964,1474,799,7191,445,354,2163
1959846,1461,587,5283,287,300,1177
1986691,1474,611,5499,311,300,1586
1996436,1504,516,4644,288,228,1287
2006363,1474,677,6086,353,324,809
2007448,1449,587,5283,270,317,965
2007721,1436,688,6192,371,317,2324
2010085,1472,670,6030,329,341,859
2016236,1499,647,5814,316,331,467
