match_id,eligible_rows,eligible_anchors,model_rank,beta_goalward_m_per_m,beta_outward_m_per_m,outward_minus_goalward_m_per_m,positive_contrast
1874553,5895,655,10,-0.017886769280851752,0.02510542837042502,0.04299219765127677,True
1927964,7191,799,10,-0.029199723058297704,0.04065809579059928,0.06985781884889698,True
1959846,5283,587,10,-0.01529644068461574,0.029433392389031778,0.044729833073647515,True
1986691,5499,611,10,-0.010744593395053544,0.03720501820527903,0.04794961160033257,True
1996436,4644,516,10,-0.02908339279465018,0.03901942951419446,0.06810282230884464,True
2006363,6086,677,10,-0.02776341701655005,0.031929582507884295,0.05969299952443435,True
2007448,5283,587,10,-0.018012086127290657,0.03536254618708913,0.05337463231437979,True
2007721,6192,688,10,-0.019428195382683356,0.039001891008279686,0.058430086390963046,True
2010085,6030,670,10,-0.02164424169353114,0.035000456342145006,0.05664469803567615,True
2016236,5814,647,10,-0.021933809023013246,0.031358982882021366,0.05329279190503461,True
