diagnostic_id,match_id,team_key,player_key,period,start_frame_provider,end_frame_provider,start_time_period_s,end_time_period_s,start_time_match_s,end_time_match_s,raw_link_delta_x_m,raw_link_delta_y_m,coordinate_difference_m,elapsed_s,raw_link_speed_mps,above_report_threshold,hard_raw_jump
LINK-metrica:Away:15-P1-F12-13,metrica:sample-game-2,metrica:Away,metrica:Away:15,1,12,13,0.47999999999999998,0.52000000000000002,0.47999999999999998,0.52000000000000002,1.0583999999999918,0.0034000000000098396,1.0584054610592213,0.040000000000000036,26.460136526480508,True,True
LINK-metrica:Away:15-P1-F13-14,metrica:sample-game-2,metrica:Away,metrica:Away:15,1,13,14,0.52000000000000002,0.56000000000000005,0.52000000000000002,0.56000000000000005,1.0594500000000053,0.0033999999999991815,1.0594554556469145,0.040000000000000036,26.486386391172839,True,True
LINK-metrica:Away:15-P1-F14-15,metrica:sample-game-2,metrica:Away,metrica:Away:15,1,14,15,0.56000000000000005,0.59999999999999998,0.56000000000000005,0.59999999999999998,1.0594499999999982,0.0027199999999929503,1.0594534916172564,0.039999999999999925,26.486337290431461,True,True
LINK-metrica:Away:15-P1-F15-16,metrica:sample-game-2,metrica:Away,metrica:Away:15,1,15,16,0.59999999999999998,0.64000000000000001,0.59999999999999998,0.64000000000000001,1.0594499999999982,0.0034000000000027342,1.0594554556469074,0.040000000000000036,26.486386391172662,True,True
LINK-metrica:Away:15-P1-F16-17,metrica:sample-game-2,metrica:Away,metrica:Away:15,1,16,17,0.64000000000000001,0.68000000000000005,0.64000000000000001,0.68000000000000005,1.0605000000000047,0.0033999999999991815,1.0605054502453111,0.040000000000000036,26.512636256132755,True,True
LINK-metrica:Away:15-P1-F17-18,metrica:sample-game-2,metrica:Away,metrica:Away:15,1,17,18,0.68000000000000005,0.71999999999999997,0.68000000000000005,0.71999999999999997,1.0604999999999976,0.0033999999999991815,1.060505450245304,0.039999999999999925,26.512636256132648,True,True
LINK-metrica:Away:15-P1-F10050-10051,metrica:sample-game-2,metrica:Away,metrica:Away:15,1,10050,10051,402,402.04000000000002,402,402.04000000000002,-0.19635000000000247,0.81940000000000168,0.842596986999125,0.040000000000020464,21.064924674967347,True,True
LINK-metrica:Away:15-P1-F10051-10052,metrica:sample-game-2,metrica:Away,metrica:Away:15,1,10051,10052,402.04000000000002,402.07999999999998,402.04000000000002,402.07999999999998,-0.19950000000000045,0.83708000000000027,0.86052494234624055,0.03999999999996362,21.513123558675581,True,True
LINK-metrica:Away:15-P1-F10052-10053,metrica:sample-game-2,metrica:Away,metrica:Away:15,1,10052,10053,402.07999999999998,402.12,402.07999999999998,402.12,-0.20475000000000421,0.85612000000000066,0.88026360648387758,0.040000000000020464,22.006590162085683,True,True
LINK-metrica:Away:15-P1-F10053-10054,metrica:sample-game-2,metrica:Away,metrica:Away:15,1,10053,10054,402.12,402.16000000000003,402.12,402.16000000000003,-0.20999999999999375,0.8751600000000046,0.90000279199567235,0.040000000000020464,22.500069799880297,True,True
