match_id,team_key,player_key,period,first_observed_frame,last_observed_frame,period_start_frame,period_end_frame,first_observed_time_match_s,last_observed_time_match_s,total_canonical_rows,observed_valid_rows,unsupported_rows,coordinate_valid_rows,coordinate_invalid_rows,present_rows,absent_rows,internal_unsupported_gaps,starts_after_period_start,ends_before_period_end,finite_out_of_bounds_rows
metrica:sample-game-2,metrica:Home,metrica:Home:14,2,125738,141156,67942,141156,5029.5200000000004,5646.2399999999998,73215,15419,57796,15419,57796,15419,57796,0,True,False,465
metrica:sample-game-2,metrica:Home,metrica:Home:2,1,1,67941,1,67941,0.040000000000000001,2717.6399999999999,67941,67941,0,67941,0,67941,0,0,False,False,94
metrica:sample-game-2,metrica:Home,metrica:Home:2,2,67942,141156,67942,141156,2717.6799999999998,5646.2399999999998,73215,73215,0,73215,0,73215,0,0,False,False,71
metrica:sample-game-2,metrica:Home,metrica:Home:3,1,1,67941,1,67941,0.040000000000000001,2717.6399999999999,67941,67941,0,67941,0,67941,0,0,False,False,323
metrica:sample-game-2,metrica:Home,metrica:Home:3,2,67942,141156,67942,141156,2717.6799999999998,5646.2399999999998,73215,73215,0,73215,0,73215,0,0,False,False,366
metrica:sample-game-2,metrica:Home,metrica:Home:4,1,1,67941,1,67941,0.040000000000000001,2717.6399999999999,67941,67941,0,67941,0,67941,0,0,False,False,948
metrica:sample-game-2,metrica:Home,metrica:Home:4,2,67942,95703,67942,141156,2717.6799999999998,3828.1199999999999,73215,27762,45453,27762,45453,27762,45453,0,False,True,180
metrica:sample-game-2,metrica:Home,metrica:Home:5,1,1,67941,1,67941,0.040000000000000001,2717.6399999999999,67941,67941,0,67941,0,67941,0,0,False,False,610
metrica:sample-game-2,metrica:Home,metrica:Home:5,2,67942,141156,67942,141156,2717.6799999999998,5646.2399999999998,73215,73215,0,73215,0,73215,0,0,False,False,952
metrica:sample-game-2,metrica:Home,metrica:Home:6,1,1,67941,1,67941,0.040000000000000001,2717.6399999999999,67941,67941,0,67941,0,67941,0,0,False,False,0
metrica:sample-game-2,metrica:Home,metrica:Home:6,2,67942,141156,67942,141156,2717.6799999999998,5646.2399999999998,73215,73215,0,73215,0,73215,0,0,False,False,79
metrica:sample-game-2,metrica:Home,metrica:Home:7,1,1,67941,1,67941,0.040000000000000001,2717.6399999999999,67941,67941,0,67941,0,67941,0,0,False,False,17
metrica:sample-game-2,metrica:Home,metrica:Home:7,2,67942,141156,67942,141156,2717.6799999999998,5646.2399999999998,73215,73215,0,73215,0,73215,0,0,False,False,1100
metrica:sample-game-2,metrica:Home,metrica:Home:8,1,1,67941,1,67941,0.040000000000000001,2717.6399999999999,67941,67941,0,67941,0,67941,0,0,False,False,44
metrica:sample-game-2,metrica:Home,metrica:Home:8,2,67942,106111,67942,141156,2717.6799999999998,4244.4399999999996,73215,38170,35045,38170,35045,38170,35045,0,False,True,21
metrica:sample-game-2,metrica:Home,metrica:Home:9,1,1,67941,1,67941,0.040000000000000001,2717.6399999999999,67941,67941,0,67941,0,67941,0,0,False,False,97
metrica:sample-game-2,metrica:Home,metrica:Home:9,2,67942,141156,67942,141156,2717.6799999999998,5646.2399999999998,73215,73215,0,73215,0,73215,0,0,False,False,758
