family,rank,estimate
cross,1,0.045756489488198396
cross,2,0.03158110897152322
cross,3,0.015977818709151659
cross,4,0.012719077589162339
cross,5,0.011951523235790018
cross,6,0.014864321091934529
cross,7,0.02466391501560658
cross,8,0.030197967732024968
cross,9,0.01806762545619902
cross,10,0.018525577330677223
absolute,1,0.26401903031840213
absolute,2,0.27985053532699605
absolute,3,0.18070863977984886
absolute,4,0.1681646959525579
absolute,5,0.18462744957940691
absolute,6,0.18026513250245257
absolute,7,0.21975957125502532
absolute,8,0.18243299676717409
absolute,9,0.19771895464422412
absolute,10,0.18675456183633304
deformation,1,0.12091673355081078
deformation,2,0.10951247800579539
deformation,3,0.047703504509107833
deformation,4,0.060649409748102179
deformation,5,0.041595622046918024
deformation,6,0.043297450021861639
deformation,7,0.075135052517491446
deformation,8,0.074734181816012116
deformation,9,0.081879868674206976
deformation,10,0.090090471984659776
