match_id,kind,file,bytes,sha256
J03WMX,metadata,DFL_02_01_matchinformation_DFL-COM-000001_DFL-MAT-J03WMX.xml,11930,a884728647a564cf8b20e5223a1d04a5da6f6725e1e506c8651505327c197ba9
J03WMX,events,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WMX.xml,776578,6f9741ea62e9dee35b604942e1dad2ac0a4dc3fce14ef2f3858aa12b74dafe00
J03WMX,tracking,DFL_04_03_positions_raw_observed_DFL-COM-000001_DFL-MAT-J03WMX.xml,418524833,d3dd92e509421a6466acb0a083c009035f1751bc5fd9ef42ffa8f20d01cf7d49
J03WN1,metadata,DFL_02_01_matchinformation_DFL-COM-000001_DFL-MAT-J03WN1.xml,11722,5490286436c86e6f80a538d2b1b379d0efd016e0defcaf594bc59d9ef5079f4c
J03WN1,events,DFL_03_02_events_raw_DFL-COM-000001_DFL-MAT-J03WN1.xml,612114,d7fa1d4445e3215eb79ec62fabefa4779b4974e496195c2fdc25624c375a9b9b
J03WN1,tracking,DFL_04_03_positions_raw_observed_DFL-COM-000001_DFL-MAT-J03WN1.xml,391722803,56ef948961a18e150dba0b7b16869d0008ff66f3050a0c355d31fa5b8ec2fcec
J03WOH,metadata,DFL_02_01_matchinformation_DFL-COM-000002_DFL-MAT-J03WOH.xml,11745,f23b3ee13b988b1ff9a0bce438c416dac47e71355bbc7ee1dab21aaf3e33c18c
J03WOH,events,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WOH.xml,635747,abc27e3268e6126fb3e6e90bff5cca8d4586a5e0cefe9bd59bf32871e89d8544
J03WOH,tracking,DFL_04_03_positions_raw_observed_DFL-COM-000002_DFL-MAT-J03WOH.xml,348945715,ec4dcf30200aad694dea263d5289485fcd0ca42badddaeb7c81f5cd5a4229d4f
J03WOY,metadata,DFL_02_01_matchinformation_DFL-COM-000002_DFL-MAT-J03WOY.xml,11952,4c497fac683eee8292901c18ca02c0be1d9609d0b9d4bd8aa092c61f9e0b19e9
J03WOY,events,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WOY.xml,683018,dbb014df1b80d5c99b7fb806a278432c445a5fdd99f59d379d601f20eaf7e142
J03WOY,tracking,DFL_04_03_positions_raw_observed_DFL-COM-000002_DFL-MAT-J03WOY.xml,362567859,a228ef0e676d009cefff1580fcb721b53f598454eb120ec347e0a628a3a4646b
J03WPY,metadata,DFL_02_01_matchinformation_DFL-COM-000002_DFL-MAT-J03WPY.xml,11922,566dd5e4c86e124ab90fcdba51100881f0436e22afa71832945a451a2d95a420
J03WPY,events,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WPY.xml,698898,e440a3adf9a38d3e4ce4289343a59a3b5f76018a78e97c765114f7817591fb3c
J03WPY,tracking,DFL_04_03_positions_raw_observed_DFL-COM-000002_DFL-MAT-J03WPY.xml,371688499,845202c29ad93d696653436da426a7cdaefb848298e07b7343de6529581671e1
J03WQQ,metadata,DFL_02_01_matchinformation_DFL-COM-000002_DFL-MAT-J03WQQ.xml,11932,e976aa0c5dba862cfa898ea57ec226efce9d1bc04b23b8d775908db86aa6fa41
J03WQQ,events,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WQQ.xml,732186,b79ccc1ee3de5ba662546a9a21304784642d00a791ccc1175550eaa463ea0074
J03WQQ,tracking,DFL_04_03_positions_raw_observed_DFL-COM-000002_DFL-MAT-J03WQQ.xml,356219423,cbefcb0bd7f39f3b94ee69a7bc97aac0f936425062c1cc1b144733df36804d6f
J03WR9,metadata,DFL_02_01_matchinformation_DFL-COM-000002_DFL-MAT-J03WR9.xml,11823,429b584e89df3e3e8b81f4bd0d004b38bd0b4298bb390b8fb43efccb60963e01
J03WR9,events,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WR9.xml,681050,31735a2d7b9008c44cae9b6ac43ab38ddeaa435d0416265ec0ebfebf53b3c982
J03WR9,tracking,DFL_04_03_positions_raw_observed_DFL-COM-000002_DFL-MAT-J03WR9.xml,372934140,70b63069189019066fb7e3d9db891122edfe787f3a43ba522ebe45ed89ea0269
