match_id,seconds,smoothing_frames,eligible_interval_support_fraction,supported_intervals,paired_focal_observations,paired_median_difference_m,fraction_misaligned_greater,fraction_misaligned_nonnegative,pass,material_contradiction,classification
J03WMX,4,5,0.9600862998921251,890,8899,1.95189436985709,0.7730082031688954,0.7730082031688954,True,False,pass
J03WMX,4,7,0.9600862998921251,890,8899,1.9007869170388982,0.7715473648724576,0.7715473648724576,True,False,pass
J03WMX,4,9,0.9600862998921251,890,8899,1.8434739770041544,0.770423643105967,0.770423643105967,True,False,pass
J03WMX,5,5,0.9467625899280575,658,6579,2.347574473191235,0.7733698130414957,0.7733698130414957,True,False,pass
J03WMX,5,7,0.9467625899280575,658,6579,2.3615927222177167,0.7736738106095151,0.7736738106095151,True,False,pass
J03WMX,5,9,0.9467625899280575,658,6579,2.304951591959381,0.7710898312813498,0.7710898312813498,True,False,pass
J03WMX,6,5,0.9257884972170687,499,4989,2.8573841498941555,0.7785127280016035,0.7785127280016035,True,False,pass
J03WMX,6,7,0.9257884972170687,499,4989,2.81453420784349,0.7773100821807978,0.7773100821807978,True,False,pass
J03WMX,6,9,0.9257884972170687,499,4989,2.76817967623509,0.7785127280016035,0.7785127280016035,True,False,pass
J03WN1,4,5,0.9606598984771574,757,7166,1.1572788116257198,0.7376500139547865,0.7376500139547865,True,False,pass
J03WN1,4,7,0.9631979695431472,759,7184,1.124287473318548,0.7369153674832962,0.7369153674832962,True,False,pass
J03WN1,4,9,0.9631979695431472,759,7184,1.1111130254405353,0.7344097995545658,0.7344097995545658,True,False,pass
J03WN1,5,5,0.9581881533101045,550,5206,1.1569247862773637,0.7185939300806762,0.7185939300806762,True,False,pass
J03WN1,5,7,0.9581881533101045,550,5206,1.1372088010164472,0.7174414137533615,0.7174414137533615,True,False,pass
J03WN1,5,9,0.9581881533101045,550,5206,1.1136142208660398,0.7180176719170188,0.7180176719170188,True,False,pass
J03WN1,6,5,0.9148471615720524,419,3964,1.5416870580119266,0.7333501513622603,0.7333501513622603,True,False,pass
J03WN1,6,7,0.9148471615720524,419,3964,1.5133251505871042,0.7320887991927346,0.7320887991927346,True,False,pass
J03WN1,6,9,0.9148471615720524,419,3964,1.4884607642567673,0.7320887991927346,0.7320887991927346,True,False,pass
J03WOH,4,5,0.9586374695863747,788,7876,1.9086874103244376,0.7687912646013204,0.7687912646013204,True,False,pass
J03WOH,4,7,0.9598540145985401,789,7886,1.8560119914131576,0.7671823484656353,0.7671823484656353,True,False,pass
J03WOH,4,9,0.9598540145985401,789,7886,1.8052900962070384,0.7665483134669033,0.7665483134669033,True,False,pass
J03WOH,5,5,0.9493464052287581,581,5806,2.2348060952036946,0.7791939373062349,0.7791939373062349,True,False,pass
J03WOH,5,7,0.9493464052287581,581,5806,2.176332277423106,0.7774715811229762,0.7774715811229762,True,False,pass
J03WOH,5,9,0.9509803921568627,582,5816,2.1027532288857134,0.7757909215955984,0.7757909215955984,True,False,pass
J03WOH,6,5,0.9261603375527426,439,4386,2.6288079481804174,0.7733698130414957,0.7733698130414957,True,False,pass
J03WOH,6,7,0.9261603375527426,439,4386,2.581495660527513,0.7717738258093936,0.7717738258093936,True,False,pass
J03WOH,6,9,0.9261603375527426,439,4386,2.538201820049747,0.7701778385772914,0.7701778385772914,True,False,pass
J03WOY,4,5,0.9665127020785219,837,8362,2.1110141209688154,0.791676632384597,0.791676632384597,True,False,pass
J03WOY,4,7,0.9665127020785219,837,8362,2.046239511127969,0.7904807462329586,0.7904807462329586,True,False,pass
J03WOY,4,9,0.9665127020785219,837,8362,1.9597043384625867,0.786534321932552,0.786534321932552,True,False,pass
J03WOY,5,5,0.9559055118110236,607,6065,2.3602469021064625,0.7833470733718054,0.7833470733718054,True,False,pass
J03WOY,5,7,0.9559055118110236,607,6065,2.277286221813238,0.7812036273701566,0.7812036273701566,True,False,pass
J03WOY,5,9,0.952755905511811,605,6045,2.1921285289677535,0.7811414392059554,0.7811414392059554,True,False,pass
J03WOY,6,5,0.9434697855750487,484,4834,3.4872074555477224,0.8053371948696731,0.8053371948696731,True,False,pass
J03WOY,6,7,0.9434697855750487,484,4834,3.392735093477744,0.8053371948696731,0.8053371948696731,True,False,pass
J03WOY,6,9,0.9434697855750487,484,4834,3.2995034397446523,0.8051303268514688,0.8051303268514688,True,False,pass
J03WPY,4,5,0.9655172413793104,924,9237,1.6696131589938732,0.7631265562412038,0.7631265562412038,True,False,pass
J03WPY,4,7,0.9655172413793104,924,9237,1.6167294044403047,0.7621522139222692,0.7621522139222692,True,False,pass
J03WPY,4,9,0.9655172413793104,924,9237,1.5716079444870994,0.7613943921186532,0.7613943921186532,True,False,pass
J03WPY,5,5,0.963276836158192,682,6817,1.843144863687841,0.7617720404870177,0.7617720404870177,True,False,pass
J03WPY,5,7,0.961864406779661,681,6807,1.79448449661311,0.7606875275451741,0.7606875275451741,True,False,pass
J03WPY,5,9,0.961864406779661,681,6807,1.7482369481303435,0.7608344351402968,0.7608344351402968,True,False,pass
J03WPY,6,5,0.9474605954465849,541,5407,2.5878474858000367,0.7769557980395784,0.7769557980395784,True,False,pass
J03WPY,6,7,0.9474605954465849,541,5407,2.5352162082320526,0.7760310708341039,0.7760310708341039,True,False,pass
J03WPY,6,9,0.9457092819614711,540,5397,2.4965384299972255,0.7752455067630165,0.7752455067630165,True,False,pass
J03WQQ,4,5,0.9714611872146118,851,8372,1.9742277869179528,0.781055900621118,0.781055900621118,True,False,pass
J03WQQ,4,7,0.9714611872146118,851,8372,1.912668468184365,0.7792642140468228,0.7792642140468228,True,False,pass
J03WQQ,4,9,0.9714611872146118,851,8372,1.8657110156426575,0.7780697563306259,0.7780697563306259,True,False,pass
J03WQQ,5,5,0.9546875,611,6014,2.3274180120581103,0.7783505154639175,0.7783505154639175,True,False,pass
J03WQQ,5,7,0.9546875,611,6014,2.267225420856512,0.7753574991686066,0.7753574991686066,True,False,pass
J03WQQ,5,9,0.959375,614,6044,2.201008797915372,0.7738252812706816,0.7738252812706816,True,False,pass
J03WQQ,6,5,0.9155206286836935,466,4591,3.0006401073137985,0.7911130472663908,0.7911130472663908,True,False,pass
J03WQQ,6,7,0.9155206286836935,466,4591,2.940706490490294,0.7900239599215857,0.7900239599215857,True,False,pass
J03WQQ,6,9,0.9155206286836935,466,4591,2.862397483505511,0.7891526900457416,0.7891526900457416,True,False,pass
J03WR9,4,5,0.9477866061293984,835,8348,2.321753305316793,0.7901293723047437,0.7901293723047437,True,False,pass
J03WR9,4,7,0.9511918274687855,838,8378,2.270891724182518,0.7900453568870852,0.7900453568870852,True,False,pass
J03WR9,4,9,0.9511918274687855,838,8378,2.1999110693306463,0.7878968727619957,0.7878968727619957,True,False,pass
J03WR9,5,5,0.9405487804878049,617,6168,3.0466402042998197,0.8043125810635539,0.8043125810635539,True,False,pass
J03WR9,5,7,0.9390243902439024,616,6158,2.941064052647285,0.8013965573238064,0.8013965573238064,True,False,pass
